"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.495705300E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
5.986986500E-2,-1.990237087E-2,7.586479187E-3,3.054380417E-2,3.723685011E-2
6.478273000E-2,1.375235617E-3,2.161788940E-2,4.664707184E-2,5.143125243E-2
6.969554200E-2,2.975703031E-2,2.411174774E-2,4.834365845E-2,6.167630456E-2
7.460840700E-2,4.654127359E-2,1.430892944E-2,4.334926605E-2,6.519198169E-2
7.952121900E-2,5.629142374E-2,1.078462601E-2,3.892278671E-2,6.928214683E-2
8.443403200E-2,7.637567073E-2,2.460479736E-2,3.197908401E-2,8.637882233E-2
8.934689600E-2,1.018063724E-1,1.015472412E-2,6.193780899E-2,1.195991140E-1
9.425970900E-2,1.177669615E-1,-6.575584412E-3,4.669666290E-2,1.268576913E-1
9.917257400E-2,1.341709495E-1,-4.282474518E-3,2.251005173E-2,1.361135030E-1
1.040853860E-1,1.619012207E-1,8.867263794E-3,6.353950500E-2,1.741490807E-1
1.089981990E-1,1.762048751E-1,3.215026855E-2,1.057991982E-1,2.080270850E-1
1.139110630E-1,1.980976611E-1,1.641702652E-2,1.387305260E-1,2.424012396E-1
1.188238760E-1,2.136112452E-1,3.970909119E-2,1.767697334E-1,2.800966166E-1
1.237367400E-1,2.231119573E-1,4.145574570E-2,2.199802399E-1,3.160519424E-1
1.286495530E-1,1.952853054E-1,2.743387222E-2,2.728652954E-1,3.366666560E-1
1.335623650E-1,1.970782578E-1,4.340887070E-2,2.834587097E-1,3.479554711E-1
1.384752300E-1,1.859745532E-1,5.381584167E-2,3.242640495E-1,3.776636772E-1
1.433880420E-1,1.717460006E-1,4.983472824E-2,3.236331940E-1,3.697548284E-1
1.483008550E-1,1.405781060E-1,3.897190094E-2,2.858028412E-1,3.208804715E-1
1.532137190E-1,9.294335544E-2,3.290748596E-2,2.076807022E-1,2.298970292E-1
1.581265320E-1,2.683693171E-2,4.756689072E-2,1.429977417E-1,1.530724800E-1
1.630393960E-1,1.620467007E-2,2.032041550E-2,8.849859238E-2,9.223617225E-2
1.679522090E-1,2.902412415E-2,3.775835037E-2,6.723403931E-3,4.809674589E-2
1.728650740E-1,3.930188715E-2,3.917217255E-3,-7.855796814E-2,8.792802331E-2
1.777778860E-1,2.199232578E-2,-3.296852112E-3,-1.814103127E-1,1.827682499E-1
1.826906990E-1,-3.140261769E-2,3.368759155E-2,-2.601537704E-1,2.641987178E-1
1.876035630E-1,-6.218428910E-2,4.423522949E-2,-3.182816505E-1,3.273023838E-1
1.925163760E-1,-1.152284369E-1,3.857946396E-2,-3.774991035E-1,3.965747608E-1
1.974291880E-1,-1.922897547E-1,3.809022903E-2,-4.286470413E-1,4.713432946E-1
2.023420530E-1,-2.605612874E-1,2.878189087E-2,-4.327940941E-1,5.059953652E-1
2.072548650E-1,-3.207377195E-1,3.637266159E-2,-4.052324295E-1,5.180820178E-1
2.121677300E-1,-3.615037501E-1,1.623439789E-2,-3.514618874E-1,5.044541359E-1
2.170805420E-1,-4.044350386E-1,3.968238831E-3,-3.278584480E-1,5.206482587E-1
2.219934070E-1,-4.448985159E-1,1.328134537E-2,-2.893152237E-1,5.308619239E-1
2.269062190E-1,-4.784505665E-1,-3.320455551E-2,-2.292103767E-1,5.315589186E-1
2.318190320E-1,-4.542129934E-1,-4.327440262E-2,-9.202098846E-2,4.654567430E-1
2.367318960E-1,-4.342601299E-1,-5.295133591E-2,3.196716309E-2,4.386429116E-1
2.416447090E-1,-3.715481460E-1,-4.151201248E-2,1.762642860E-1,4.133284052E-1
2.465575210E-1,-3.229357600E-1,-4.928588867E-2,3.057198524E-1,4.474161733E-1
2.514703860E-1,-2.504438162E-1,-6.885528564E-2,4.022321701E-1,4.788046304E-1
2.563831990E-1,-1.474149972E-1,-8.363723755E-2,4.760866165E-1,5.053561470E-1
2.612960630E-1,-9.600317478E-2,-4.473686218E-2,4.929180145E-1,5.041687867E-1
2.662088760E-1,-3.876534849E-2,-3.754377365E-2,5.265345573E-1,5.292928559E-1
2.711216880E-1,5.658410490E-3,-4.032993317E-2,5.438818932E-1,5.454044690E-1
2.760345530E-1,7.163055241E-3,-2.482938766E-2,5.524120331E-1,5.530161500E-1
2.809473650E-1,4.873234034E-2,-1.483440399E-2,5.429143906E-1,5.452989419E-1
2.858602300E-1,8.509806544E-2,-3.171920776E-3,4.922780991E-1,4.995893000E-1
2.907730420E-1,1.000672430E-1,2.432250977E-2,3.589148521E-1,3.733964498E-1
2.956858550E-1,1.010781676E-1,4.166698456E-2,2.497792244E-1,2.726583842E-1
3.005987190E-1,7.681139559E-2,8.686637878E-2,1.240816116E-1,1.698293396E-1
3.055115320E-1,9.101595730E-2,1.172394753E-1,-1.636981964E-3,1.484307204E-1
3.104243960E-1,1.077991650E-1,1.449184418E-1,-9.939718246E-2,2.061596823E-1
3.153372090E-1,9.175164253E-2,1.582918167E-1,-1.910262108E-1,2.645102576E-1
3.202500210E-1,6.687799841E-2,1.717462540E-1,-2.414593697E-1,3.037631802E-1
3.251628860E-1,8.035147935E-2,1.476821899E-1,-2.655949593E-1,3.143359220E-1
3.300756990E-1,7.505124062E-2,1.196708679E-1,-2.733163834E-1,3.076615848E-1
3.349885110E-1,7.717165351E-2,4.776620865E-2,-2.460889816E-1,2.622915585E-1
3.399013760E-1,7.495623082E-2,3.141355515E-2,-2.149486542E-1,2.298002870E-1
3.448141880E-1,3.301207721E-2,-9.975433350E-4,-1.869344711E-1,1.898296311E-1
3.497270530E-1,-3.417558968E-3,-1.869583130E-2,-1.500849724E-1,1.512835508E-1
3.546398650E-1,-3.943333402E-2,-4.555034637E-2,-1.138463020E-1,1.288052886E-1
3.595527300E-1,-8.695571125E-2,-4.846191406E-2,-1.276426315E-1,1.618718450E-1
3.644655420E-1,-1.742354929E-1,-4.430007935E-2,-1.859846115E-1,2.586711808E-1
3.693783550E-1,-2.442892045E-1,-1.183462143E-2,-2.459445000E-1,3.468515111E-1
3.742912190E-1,-2.717084885E-1,-2.443313599E-2,-2.794117928E-1,3.905040727E-1
3.792040320E-1,-3.139356971E-1,-3.586292267E-3,-2.797403336E-1,4.205034335E-1
3.841168440E-1,-3.093974292E-1,7.795810699E-3,-2.215127945E-1,3.805988203E-1
3.890297090E-1,-2.796174884E-1,3.802824020E-2,-1.619968414E-1,3.253844856E-1
3.939425210E-1,-1.960494220E-1,7.031631470E-2,-1.035251617E-1,2.325880889E-1
3.988553860E-1,-9.209360182E-2,1.727533340E-2,-3.657436371E-2,1.005850522E-1
4.037681990E-1,-2.917177230E-2,7.502555847E-3,7.188510895E-2,7.794067957E-2
4.086810110E-1,-6.570681930E-3,-2.587032318E-2,1.719465256E-1,1.740059055E-1
4.135938760E-1,-1.916845888E-2,-3.536939621E-2,2.260637283E-1,2.296154029E-1
4.185066880E-1,-6.908068061E-2,-4.259157181E-2,2.561521530E-1,2.687007777E-1
4.234195530E-1,-1.251945645E-1,1.387548447E-2,2.365250587E-1,2.679744605E-1
4.283323650E-1,-1.331623942E-1,5.058860779E-2,1.984481812E-1,2.442808037E-1
4.332451780E-1,-1.431132406E-1,6.544971466E-2,1.255979538E-1,2.013452527E-1
4.381580420E-1,-1.669875383E-1,8.712244034E-2,7.746219635E-2,2.036554675E-1
4.430708550E-1,-1.880118698E-1,4.468870163E-2,4.887485504E-2,1.993346299E-1
4.479836670E-1,-1.967173219E-1,6.669759750E-2,-2.910089493E-2,2.097454083E-1
4.528965320E-1,-2.358651161E-1,1.075568199E-1,-1.087484360E-1,2.811174929E-1
4.578093440E-1,-2.389878929E-1,9.859848022E-2,-1.429500580E-1,2.954176574E-1
4.627222090E-1,-2.326282263E-1,1.089468002E-1,-1.818399429E-1,3.147237865E-1
4.676350210E-1,-1.718276888E-1,7.917499542E-2,-2.087435722E-1,2.817220501E-1
4.725478340E-1,-1.236256361E-1,3.573513031E-2,-1.575026512E-1,2.033897308E-1
4.774606990E-1,-7.376393676E-2,6.961345673E-3,-9.735250473E-2,1.223400543E-1
4.823735110E-1,-5.318076164E-2,-1.697874069E-2,-2.812480927E-2,6.250980675E-2
4.872863760E-1,-6.383386254E-2,-4.089736938E-2,-1.852941513E-2,7.804291162E-2
4.921991880E-1,-7.925430685E-2,-5.527734756E-2,-4.193067551E-2,1.053328622E-1
4.971120010E-1,-1.372999847E-1,-1.003403664E-1,-6.737661362E-2,1.829182412E-1
5.020248650E-1,-1.760429889E-1,-8.805513382E-2,-1.210150719E-1,2.310616544E-1
5.069376780E-1,-2.643977702E-1,-9.703445435E-2,-1.625013351E-1,3.251592689E-1
5.118504900E-1,-2.979395390E-1,-1.198582649E-1,-1.447176933E-1,3.522459131E-1
5.167633550E-1,-9.261017442E-1,-7.764630318E-1,-2.751145363E-1,1.239454432E0
5.216761670E-1,-7.816446424E-1,-2.503442764E-1,-2.750077248E-1,8.656037502E-1
5.265890320E-1,-3.221149743E-1,-2.616930008E-2,-1.844835281E-1,3.721250611E-1
5.315018440E-1,4.853367060E-2,3.748264313E-1,3.637309074E-1,5.245479423E-1
5.364146570E-1,-4.962244257E-2,1.076006889E-1,6.655521393E-1,6.760177107E-1
5.413275210E-1,-1.955043226E-1,-2.901754379E-1,6.166858673E-1,7.090311586E-1
5.462403340E-1,-2.197239846E-1,-3.124804497E-1,3.036599159E-1,4.879877103E-1
5.511531990E-1,-1.484315097E-1,-9.090757370E-2,8.444976807E-2,1.934628217E-1
5.560660110E-1,-5.808754638E-2,2.159214020E-2,3.599739075E-2,7.166725684E-2
5.609788240E-1,1.754666865E-2,2.878808975E-2,6.375074387E-2,7.211655175E-2
5.658916880E-1,3.575786203E-2,-4.923820496E-2,-1.099348068E-2,6.183754638E-2
5.708045010E-1,3.278635815E-2,-6.685256958E-4,-1.303215027E-1,1.343840998E-1
5.757173650E-1,1.370588318E-2,2.561569214E-3,-2.250623703E-1,2.254938655E-1
5.806301780E-1,6.632201374E-2,-1.020431519E-3,-2.672004700E-1,2.753102649E-1
5.855429900E-1,6.692425907E-2,3.851079941E-2,-2.738971710E-1,2.845726593E-1
5.904558550E-1,6.506569684E-3,4.483842850E-2,-2.264742851E-1,2.309619491E-1
5.953686670E-1,-1.123128831E-1,3.232336044E-2,-1.322989464E-1,1.765276028E-1
6.002814800E-1,-1.849298179E-1,3.417634964E-2,-3.899669647E-2,1.920619764E-1
6.051943440E-1,-2.452652305E-1,1.928424835E-2,4.651927948E-2,2.503816265E-1
6.101071570E-1,-2.838801444E-1,4.228115082E-3,1.293044090E-1,3.119702606E-1
6.150199690E-1,-2.987558246E-1,-1.577568054E-2,1.714696884E-1,3.448271579E-1
6.199328340E-1,-2.926640809E-1,9.174346924E-3,2.089500427E-1,3.597173240E-1
6.248456460E-1,-2.990614772E-1,2.645921707E-2,2.631778717E-1,3.992498584E-1
6.297585110E-1,-2.775816917E-1,3.378915787E-2,2.983884811E-1,4.089364113E-1
6.346713240E-1,-2.259373814E-1,2.884006500E-2,3.195405006E-1,3.924099657E-1
6.395841360E-1,-1.680715382E-1,4.489850998E-2,3.196983337E-1,3.639655791E-1
6.444970010E-1,-1.037522405E-1,4.388904572E-2,2.846536636E-1,3.061347481E-1
6.494098130E-1,-7.549450547E-2,3.796577454E-2,2.097673416E-1,2.261485308E-1
6.543226260E-1,-4.494281858E-2,2.732706070E-2,1.307768822E-1,1.409582140E-1
6.592354900E-1,-7.353570312E-3,2.406120300E-2,4.511260986E-2,5.165427431E-2
6.641483030E-1,8.857063949E-3,2.819442749E-2,-1.879644394E-2,3.502398647E-2
6.690611670E-1,8.625954390E-3,2.540302277E-2,-5.635881424E-2,6.241823930E-2
6.739739800E-1,3.710151464E-2,1.804542542E-2,-6.532716751E-2,7.726447167E-2
6.788867920E-1,8.447872102E-2,3.227519989E-2,-6.018018723E-2,1.086277946E-1
6.837996570E-1,8.886835724E-2,5.596780777E-2,-1.026725769E-1,1.468728650E-1
6.887124690E-1,1.099064723E-1,4.879093170E-2,-1.236915588E-1,1.725096791E-1
6.936253340E-1,1.024764627E-1,6.796360016E-2,-1.685042381E-1,2.086004665E-1
6.985381460E-1,1.190487966E-1,1.037878990E-1,-1.847057343E-1,2.430241803E-1
7.034509590E-1,1.117127761E-1,1.062517166E-1,-1.487669945E-1,2.142446972E-1
7.083638240E-1,1.113512442E-1,1.040306091E-1,-6.100320816E-2,1.641427995E-1
7.132766360E-1,1.537701786E-1,1.304011345E-1,2.182483673E-3,2.016295785E-1
7.181894490E-1,2.388352156E-1,1.137728691E-1,9.813117981E-2,2.821635242E-1
7.231023130E-1,2.883012593E-1,7.808876038E-2,1.769127846E-1,3.471506934E-1
7.280151260E-1,3.051782846E-1,6.154251099E-2,1.911144257E-1,3.653026003E-1
7.329279900E-1,3.042075634E-1,5.226421356E-2,2.051653862E-1,3.706300384E-1
7.378408030E-1,2.690170407E-1,4.560613632E-2,1.784973145E-1,3.260542580E-1
7.427536150E-1,1.927993298E-1,3.217697144E-2,1.468973160E-1,2.445112686E-1
7.476664800E-1,1.112449393E-1,-9.330272675E-3,1.270265579E-1,1.691101325E-1
7.525792920E-1,2.891103923E-2,-3.355169296E-2,1.353888512E-1,1.424489569E-1
7.574921050E-1,-9.476669133E-3,-3.839588165E-2,1.648149490E-1,1.694934170E-1
7.624049690E-1,-1.069347113E-1,-3.839111328E-2,2.010526657E-1,2.309352387E-1
7.673177820E-1,-1.612549424E-1,-1.954746246E-2,2.728147507E-1,3.175108627E-1
7.722306460E-1,-1.732484996E-1,-3.921318054E-2,3.278508186E-1,3.728791700E-1
7.771434590E-1,-1.697630584E-1,-6.395530701E-2,3.878297806E-1,4.281608530E-1
7.820562710E-1,-1.581629813E-1,-5.347919464E-2,3.768744469E-1,4.122012877E-1
7.869691360E-1,-1.051977426E-1,-3.185796738E-2,3.715896606E-1,3.875053174E-1
7.918819490E-1,-4.183297977E-2,7.989883423E-3,3.006339073E-1,3.036356084E-1
7.967947610E-1,-3.206184134E-2,6.609010696E-2,2.331743240E-1,2.444711216E-1
8.017076260E-1,3.023665398E-3,7.128143311E-2,1.831521988E-1,1.965576587E-1
8.066204380E-1,-6.399713457E-4,1.167554855E-1,1.169757843E-1,1.652742783E-1
8.115333030E-1,-2.007987350E-3,1.357717514E-1,8.691692352E-2,1.612220583E-1
8.164461150E-1,1.081700251E-2,9.304809570E-2,1.020317078E-1,1.385114618E-1
8.213589280E-1,9.364098310E-3,8.169031143E-2,1.025891304E-1,1.314744195E-1
8.262717920E-1,1.045247167E-2,6.339645386E-2,1.101460457E-1,1.275167279E-1
8.311846050E-1,2.335134894E-2,3.826045990E-2,1.364688873E-1,1.436415869E-1
8.360974170E-1,3.342729807E-2,2.993869781E-2,2.195744514E-1,2.241130287E-1
8.410102820E-1,6.437400728E-2,1.901197433E-2,3.142495155E-1,3.213381801E-1
8.459230940E-1,5.425649136E-2,-4.137516022E-3,3.256163597E-1,3.301316398E-1
8.508359070E-1,9.105145186E-2,5.736351013E-3,3.018088341E-1,3.152964398E-1
8.557487710E-1,1.601304114E-1,4.377174377E-2,2.405405045E-1,2.922626361E-1
8.606615840E-1,1.903918684E-1,6.467819214E-2,1.301827431E-1,2.395409749E-1
8.655743960E-1,2.725451589E-1,7.106113434E-2,4.937601089E-2,2.859519870E-1
8.704872610E-1,3.777956963E-1,8.933496475E-2,-7.102489471E-3,3.882792415E-1
8.754000740E-1,4.754593968E-1,1.218423843E-1,-8.703327179E-2,4.984796837E-1
8.803129380E-1,5.564239025E-1,1.353125572E-1,-1.832151413E-1,6.012360896E-1
8.852257510E-1,6.280715466E-1,1.894507408E-1,-2.530322075E-1,7.031292547E-1
8.901385630E-1,6.716834307E-1,2.364654541E-1,-2.753834724E-1,7.634858210E-1
8.950514280E-1,6.948288679E-1,2.503695488E-1,-3.006186485E-1,7.973980427E-1
8.999642400E-1,6.812438965E-1,2.528061867E-1,-3.192248344E-1,7.936678836E-1
9.048771050E-1,6.215575337E-1,2.676458359E-1,-2.861924171E-1,7.347612951E-1
9.097899170E-1,5.446010232E-1,2.543907166E-1,-2.351422310E-1,6.454430881E-1
9.147027300E-1,4.740648866E-1,2.298574448E-1,-1.685490608E-1,5.531552653E-1
9.196155940E-1,3.503015637E-1,1.773509979E-1,-8.631181717E-2,4.020128006E-1
9.245284070E-1,2.923716605E-1,1.515183449E-1,-2.866935730E-2,3.305464093E-1
9.294412190E-1,2.330504358E-1,8.302259445E-2,1.141443253E-1,2.724595085E-1
9.343540840E-1,1.767346710E-1,6.456470490E-2,2.230391502E-1,2.918050849E-1
9.392668960E-1,1.158620641E-1,7.898902893E-2,2.889685631E-1,3.211948241E-1
9.441797090E-1,5.714274943E-2,2.625465393E-2,3.218584061E-1,3.279442547E-1
9.490925740E-1,1.711348444E-2,8.939266205E-3,3.173279762E-1,3.179148099E-1
9.540053860E-1,3.134743124E-2,6.294250488E-4,3.302912712E-1,3.317761014E-1
9.589182510E-1,8.546029031E-2,-1.295995712E-2,2.869548798E-1,2.996907151E-1
9.638310630E-1,1.273037940E-1,-4.594278336E-2,1.686754227E-1,2.162600137E-1
9.687438760E-1,1.357479095E-1,-7.420349121E-2,5.652093887E-2,1.647066167E-1
9.736567400E-1,8.246934414E-2,-5.231523514E-2,-8.325719833E-2,1.283348652E-1
9.785695530E-1,5.590399355E-2,-1.061887741E-1,-2.200031281E-1,2.506046460E-1
9.834823650E-1,3.467766196E-2,-1.233921051E-1,-3.635206223E-1,3.854547894E-1
9.883952300E-1,-1.689765975E-2,-1.540884972E-1,-4.282841682E-1,4.554735169E-1
9.933080420E-1,1.522920281E-2,-1.959857941E-1,-3.505935669E-1,4.019430423E-1
9.982208550E-1,9.218980372E-2,-2.065768242E-1,-2.309317589E-1,3.232683428E-1
1.003133719E0,1.256364137E-1,-1.911187172E-1,-1.880307198E-1,2.960851636E-1
1.008046532E0,1.251012981E-1,-2.330498695E-1,-1.166253090E-1,2.890744526E-1
1.012959344E0,1.617866158E-1,-2.655382156E-1,-9.988498688E-2,3.265921978E-1
1.017872209E0,2.162690461E-1,-2.624940872E-1,-1.777849197E-1,3.837745742E-1
1.022785021E0,2.620220184E-1,-2.621650696E-1,-2.569904327E-1,4.510323097E-1
1.027697886E0,3.061739504E-1,-3.094964027E-1,-3.329253197E-1,5.480600147E-1
1.032610699E0,3.988302052E-1,-3.088603020E-1,-4.700646400E-1,6.895077842E-1
1.037523511E0,4.758200645E-1,-2.841696739E-1,-5.851020813E-1,8.059166104E-1
1.042436376E0,6.467409730E-1,-2.854332924E-1,-6.403036118E-1,9.538001708E-1
1.047349188E0,8.402835727E-1,-3.313236237E-1,-6.837902069E-1,1.132881668E0
1.052262001E0,1.023622036E0,-3.717036247E-1,-7.369160652E-1,1.314918608E0
1.057174865E0,1.149770021E0,-3.708362579E-1,-7.855887413E-1,1.441055274E0
1.062087678E0,1.264205575E0,-3.668956757E-1,-8.015632629E-1,1.541211159E0
1.067000542E0,1.284125209E0,-3.266544342E-1,-8.231225014E-1,1.559875419E0
1.071913355E0,1.298274875E0,-3.357815742E-1,-8.218703270E-1,1.572812052E0
1.076826167E0,1.318461895E0,-3.819923401E-1,-8.027453423E-1,1.590176091E0
1.081738980E0,1.308888674E0,-3.795590401E-1,-7.634525299E-1,1.562086550E0
1.086651844E0,1.281521678E0,-4.144601822E-1,-7.135152817E-1,1.524197858E0
1.091564657E0,1.233667254E0,-4.365549088E-1,-6.909575462E-1,1.479843713E0
1.096477521E0,1.195855379E0,-4.603133202E-1,-6.099133492E-1,1.419138025E0
1.101390334E0,1.205689788E0,-4.835743904E-1,-5.299191475E-1,1.402977676E0
1.106303146E0,1.131709337E0,-4.614038467E-1,-4.507331848E-1,1.302620412E0
1.111216011E0,1.045285344E0,-4.038157463E-1,-3.579120636E-1,1.176345890E0
1.116128824E0,1.050538421E0,-3.420753479E-1,-2.538008690E-1,1.133605486E0
1.121041636E0,1.113569140E0,-2.503852844E-1,-1.689920425E-1,1.153814254E0
1.125954501E0,1.219858885E0,-1.530423164E-1,-7.682228088E-2,1.231819513E0
1.130867313E0,1.305159569E0,-7.610845566E-2,-1.104435921E-1,1.312033454E0
1.135780178E0,1.357955933E0,-2.154588699E-2,-1.314239502E-1,1.364470885E0
1.140692990E0,1.421559572E0,9.413623810E-2,-2.161164284E-1,1.440971741E0
1.145605803E0,1.458164692E0,1.636981964E-1,-2.857851982E-1,1.494896166E0
1.150518667E0,1.522731185E0,2.018394470E-1,-2.789239883E-1,1.561168798E0
1.155431480E0,1.622246981E0,2.112326622E-1,-2.223343849E-1,1.650980643E0
1.160344292E0,1.649747372E0,2.395133972E-1,-1.543068886E-1,1.674169547E0
1.165257157E0,1.688945532E0,2.389345169E-1,-8.430004120E-2,1.707844609E0
1.170169969E0,1.720576644E0,2.619881630E-1,-5.033540726E-2,1.741136249E0
1.175082782E0,1.730330586E0,2.301125526E-1,-1.410007477E-2,1.745621533E0
1.179995646E0,1.753940821E0,1.959075928E-1,1.975631714E-2,1.764958498E0
1.184908459E0,1.750834703E0,2.115869522E-1,1.569414139E-2,1.763643247E0
1.189821271E0,1.751954675E0,2.506518364E-1,2.622652054E-2,1.769988519E0
1.194734136E0,1.757120609E0,2.654733658E-1,-8.176326752E-3,1.777080695E0
1.199646949E0,1.802049041E0,2.515144348E-1,-5.628919601E-2,1.820386973E0
1.204559813E0,1.841384649E0,2.756428719E-1,-9.682941437E-2,1.864417430E0
1.209472626E0,1.868136525E0,3.066954613E-1,-1.465001106E-1,1.898804483E0
1.214385438E0,1.887789726E0,3.533024788E-1,-1.775999069E-1,1.928759814E0
1.219298303E0,1.876077890E0,3.927383423E-1,-1.610798836E-1,1.923501595E0
1.224211115E0,1.892854214E0,4.154939651E-1,-8.760166168E-2,1.939898544E0
1.229123928E0,1.921443939E0,3.952851295E-1,3.321886063E-2,1.961963465E0
1.234036792E0,1.971535802E0,3.439230919E-1,1.920037270E-1,2.010497934E0
1.238949605E0,2.024346352E0,3.137736320E-1,3.340086937E-1,2.075570729E0
1.243862417E0,2.034650564E0,2.284708023E-1,4.402017593E-1,2.094225254E0
1.248775282E0,1.976591468E0,2.003202438E-1,4.415454865E-1,2.035191501E0
1.253688094E0,1.867031336E0,2.054734230E-1,3.620238304E-1,1.912873909E0
1.258600907E0,1.715449095E0,1.867957115E-1,2.684593201E-1,1.746347228E0
1.263513771E0,1.566799879E0,2.041687965E-1,1.917171478E-1,1.591635079E0
1.268426584E0,1.453950763E0,2.431292534E-1,1.627798080E-1,1.483098756E0
1.273339396E0,1.371706963E0,2.247557640E-1,2.031245232E-1,1.404761445E0
1.278252261E0,1.303076386E0,2.301702499E-1,2.745685577E-1,1.351434166E0
1.283165074E0,1.207316041E0,2.352166176E-1,3.391242027E-1,1.275909129E0
1.288077886E0,1.155896902E0,2.279510498E-1,3.944826126E-1,1.242447528E0
1.292990751E0,1.141438246E0,1.368374825E-1,4.240560532E-1,1.225328242E0
1.297903563E0,1.180483103E0,4.563999176E-2,4.828381538E-1,1.276227271E0
1.302816428E0,1.241948843E0,9.057998657E-3,5.065073967E-1,1.341293674E0
1.307729240E0,1.308933735E0,-5.909252167E-2,5.740704536E-1,1.430509117E0
1.312642053E0,1.371910810E0,-1.206331253E-1,6.211009026E-1,1.510780578E0
1.317554917E0,1.485689640E0,-1.708345413E-1,6.572575569E-1,1.633537769E0
1.322467730E0,1.638378859E0,-2.312235832E-1,5.943593979E-1,1.758127619E0
