"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-3.144041635E-3,-8.800893516E-1,2.174053252E-1,-4.140075727E-1,9.966065485E-1
6.864958326E-3,-2.315905059E-1,-3.490787745E-2,-2.142390579E-1,3.174131318E-1
1.687495841E-2,4.627729127E-1,-3.573291957E-2,-7.434943740E-1,8.764813144E-1
2.688395837E-2,8.682209656E-1,-3.107064217E-1,-7.186811297E-1,1.169123044E0
3.689395834E-2,1.025389445E0,-4.430715966E-1,-3.076435040E-1,1.158611444E0
4.690295842E-2,7.109237748E-1,-3.964862448E-1,1.665070671E-1,8.308661501E-1
5.691295839E-2,3.391455245E-1,-4.294464147E-1,3.966977678E-1,6.758794485E-1
6.692195835E-2,2.692105138E-2,-3.305501175E-1,4.785454845E-1,5.822318301E-1
7.693195844E-2,-2.342452149E-1,-2.580487365E-1,4.267735063E-1,5.509950968E-1
8.694095840E-2,-2.788403390E-1,-2.596116972E-1,4.028654109E-1,5.544823778E-1
9.695095837E-2,-1.802455023E-1,-1.278698355E-1,3.172990112E-1,3.866753140E-1
1.069599583E-1,-2.463912522E-2,4.101529419E-2,7.603763089E-2,8.983909038E-2
1.169699584E-1,-2.864660583E-3,1.152410191E-1,-1.923823120E-1,2.242758407E-1
1.269789584E-1,-1.829339789E-1,1.341327882E-1,-3.594207448E-1,4.250173141E-1
1.369889583E-1,-4.449674832E-1,1.588080382E-1,-4.610694726E-1,6.601523405E-1
1.469979584E-1,-8.041202793E-1,1.705837458E-1,-4.470716769E-1,9.357250249E-1
1.570079584E-1,-9.894727763E-1,1.405395824E-1,-3.568646345E-1,1.061206915E0
1.670169584E-1,-7.498301245E-1,9.920386076E-2,-3.217518121E-1,8.219555038E-1
1.770269584E-1,-3.094306324E-1,1.021151894E-1,-2.668233606E-1,4.211526255E-1
1.870359584E-1,3.073725038E-2,1.450951481E-1,-1.009059852E-1,1.793861712E-1
1.970459584E-1,2.743877208E-1,1.380685490E-1,1.544419223E-1,3.438078721E-1
2.070549583E-1,5.012843195E-1,1.847492105E-1,4.070278975E-1,6.716323020E-1
2.170649584E-1,3.825544495E-1,2.069920188E-1,4.887617397E-1,6.542794823E-1
2.270739584E-1,-1.008645248E-1,1.880710137E-1,4.075342664E-1,4.600310173E-1
2.370839583E-1,-4.739215429E-1,2.324051875E-1,1.621239942E-1,5.521756872E-1
2.470929584E-1,-6.420122918E-1,2.284817058E-1,-1.786154813E-1,7.044765169E-1
2.571029584E-1,-5.055678070E-1,2.214135915E-1,-4.412864417E-1,7.066516182E-1
2.671119584E-1,-7.616787761E-2,1.867191374E-1,-5.832012892E-1,6.170812957E-1
2.771219583E-1,2.167326030E-1,1.546997845E-1,-3.609474528E-1,4.485399739E-1
2.871309584E-1,3.757353535E-1,9.712692976E-2,1.949227810E-2,3.885751475E-1
2.971409584E-1,3.836164501E-1,8.234750748E-2,3.722290707E-1,5.408300785E-1
3.071499583E-1,1.837784265E-1,7.383045316E-2,6.218844214E-1,6.526604626E-1
3.171599584E-1,-4.339021392E-2,9.039503038E-2,5.235813242E-1,5.330960282E-1
3.271689584E-1,-3.028935732E-1,8.829646468E-2,2.128781185E-1,3.806019911E-1
3.371789583E-1,-3.534725185E-1,4.507443130E-2,-1.506400627E-1,3.868681354E-1
3.471879584E-1,-1.745592129E-1,-1.336615026E-2,-4.335090601E-1,4.675250560E-1
3.571979584E-1,-6.180872396E-4,-8.962085903E-2,-4.322060081E-1,4.414004009E-1
3.672069584E-1,1.418175644E-1,-1.638009757E-1,-2.590845707E-1,3.377392426E-1
3.772169583E-1,2.138567231E-1,-1.040365845E-1,1.014737499E-1,2.585637849E-1
3.872259584E-1,1.020993654E-1,-5.508837283E-2,3.549751067E-1,3.734519188E-1
3.972359584E-1,-5.713131689E-3,-1.060275614E-1,3.128469412E-1,3.303750782E-1
4.072449583E-1,-1.392817549E-1,-1.312173665E-1,1.785901920E-1,2.617477053E-1
4.172549584E-1,-4.369656417E-1,-1.384269834E-1,1.041077743E-1,4.700419454E-1
4.272637084E-1,-6.978113937E-1,-2.019330078E-1,-1.636372536E-2,7.266260747E-1
4.372737084E-1,-5.994185783E-1,-2.057132328E-1,-1.335182458E-1,6.476478118E-1
4.472827084E-1,-4.788892277E-1,-2.568143892E-1,-1.497463158E-1,5.636598993E-1
4.572927083E-1,-2.764840755E-1,-3.151836348E-1,-1.245433545E-1,4.373730842E-1
4.673017084E-1,-1.431229188E-1,-3.074384129E-1,-2.460917652E-2,3.400119986E-1
4.773117084E-1,-2.334455533E-1,-2.849125993E-1,9.931115717E-2,3.814901330E-1
4.873207083E-1,-5.450609978E-1,-2.177222443E-1,1.932504773E-2,5.872545653E-1
4.973307084E-1,-9.206688821E-1,-1.677987170E-1,-9.076179698E-2,9.402261981E-1
5.073397084E-1,-1.235339204E0,-1.016000497E-1,-1.945795494E-1,1.254689890E0
5.173497084E-1,-1.636064973E0,-1.054931259E-1,-1.674269803E-1,1.647989438E0
5.273587084E-1,-1.874340619E0,-1.205619854E-1,-1.512879342E-2,1.878274961E0
5.373677084E-1,-1.755474180E0,-1.160169446E-1,4.967209697E-3,1.759310717E0
5.473777084E-1,-1.656987918E0,-8.228084922E-2,7.441444382E-2,1.660697627E0
5.573867083E-1,-1.408174128E0,-1.046476185E-2,6.358145356E-2,1.409647647E0
5.673967084E-1,-1.045825244E0,6.861181319E-2,-2.661402597E-1,1.081336516E0
5.774057084E-1,-9.598702969E-1,8.697265506E-2,-5.752784581E-1,1.122435091E0
5.874157083E-1,-1.166467921E0,1.221401489E-1,-5.208465815E-1,1.283295285E0
5.974247084E-1,-1.426546080E0,1.313758260E-1,-5.450376821E-1,1.532762017E0
6.074347084E-1,-1.599310545E0,1.587507355E-1,-5.263172364E-1,1.691155181E0
6.174437084E-1,-1.526424563E0,2.606390530E-1,-3.887451160E-1,1.596567389E0
6.274537083E-1,-1.297590416E0,3.082055676E-1,-2.939082482E-1,1.365691627E0
6.374627084E-1,-9.835585369E-1,3.010696256E-1,-2.270374435E-1,1.053364284E0
6.474727084E-1,-7.235740797E-1,3.333211130E-1,-7.815286115E-2,8.004812821E-1
6.574817083E-1,-5.541491789E-1,3.699264371E-1,1.979311734E-1,6.950565666E-1
6.674917084E-1,-4.597553109E-1,3.995490164E-1,3.063859141E-1,6.818259974E-1
6.775007084E-1,-4.474404534E-1,4.028784209E-1,3.463259053E-1,6.945902491E-1
6.875107083E-1,-5.938601786E-1,5.146830314E-1,5.879097596E-1,9.814308024E-1
6.975197084E-1,-7.530455084E-1,4.767462963E-1,5.909773551E-1,1.069401142E0
7.075297084E-1,-6.265190707E-1,3.659246027E-1,2.143925473E-1,7.565653476E-1
7.175387084E-1,-4.070183593E-1,4.266672331E-1,-9.326542854E-2,5.969985869E-1
7.275487083E-1,-4.346371708E-1,4.026743531E-1,-8.869641423E-2,5.991019602E-1
7.375577084E-1,-5.257799869E-1,4.529943216E-1,6.026228160E-2,6.966204079E-1
7.475677084E-1,-5.270128724E-1,5.020243943E-1,1.064742887E-1,7.356003223E-1
7.575767083E-1,-4.446542186E-1,4.954796058E-1,1.490857266E-1,6.822345402E-1
7.675867084E-1,-3.964913611E-1,4.827098715E-1,1.314655808E-1,6.383552447E-1
7.775957084E-1,-5.459768911E-1,4.469933242E-1,1.930386619E-1,7.315447508E-1
7.876057083E-1,-7.644412932E-1,4.202873361E-1,2.769614093E-1,9.152702103E-1
7.976147084E-1,-6.194034478E-1,4.299650627E-1,2.354366764E-2,7.543771541E-1
8.076247084E-1,-3.923816821E-1,4.140998125E-1,-1.533401607E-1,5.907243385E-1
8.176337084E-1,-2.387665927E-1,4.549507999E-1,3.385537863E-3,5.138104495E-1
8.276437083E-1,4.566145521E-2,5.469163924E-1,1.256613421E-1,5.630215642E-1
8.376527084E-1,1.108386505E-1,6.359057522E-1,2.744484222E-1,7.014151898E-1
8.476627084E-1,-1.262506318E-1,7.315100670E-1,5.550928465E-1,9.269165380E-1
8.576717083E-1,-4.873516837E-1,7.522092104E-1,6.914436297E-1,1.132000288E0
