"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.254416658E-3,-4.700382609E-1,3.818278599E-1,-9.892570871E-1,1.159895713E0
1.626441663E-2,-2.180178027E-1,2.695303291E-1,-1.059068237E0,1.114362550E0
2.627341670E-2,3.068729141E-1,8.330703557E-2,-9.593709446E-1,1.010694641E0
3.628241667E-2,9.899353641E-1,7.500983655E-2,-5.405085750E-1,1.130375168E0
4.629241663E-2,9.575105799E-1,1.079998273E-1,-1.573532510E-1,9.763454916E-1
5.630141671E-2,6.458121049E-1,5.051351130E-2,8.840259165E-3,6.478449196E-1
6.631141668E-2,2.499406949E-1,-1.969593662E-1,7.674352138E-1,8.307948906E-1
7.632041664E-2,-2.213311640E-1,-9.795021772E-2,5.961024396E-1,6.433660294E-1
8.632941660E-2,-4.855427013E-1,2.569851279E-2,4.824531788E-1,6.849621873E-1
9.633941669E-2,-7.084364424E-1,2.363853872E-2,6.867895384E-1,9.869756043E-1
1.063484167E-1,-5.841595016E-1,8.575000226E-2,7.652328600E-1,9.665281767E-1
1.163584166E-1,-3.207648661E-2,1.078647566E-1,9.735584825E-1,9.800407265E-1
1.263674167E-1,7.446320229E-1,1.422481388E-1,1.242532595E0,1.455540667E0
1.363764167E-1,1.349975621E0,1.331177115E-1,1.321401740E0,1.893741551E0
1.463864166E-1,1.261354198E0,6.866443813E-2,1.304286794E0,1.815734908E0
1.563954167E-1,4.518203469E-1,5.417971551E-2,1.090875702E0,1.181984291E0
1.664054167E-1,-6.791473737E-1,1.222225946E-1,5.386513531E-1,8.753997933E-1
1.764144166E-1,-1.422826958E0,8.051031232E-3,-1.484729384E-1,1.430575264E0
1.864234166E-1,-1.517916133E0,-1.250538164E-1,-7.091612779E-1,1.680064750E0
1.964334167E-1,-1.165559264E0,-2.025229919E-1,-9.852359569E-1,1.539556381E0
2.064424166E-1,-7.387609068E-1,-3.375352013E-1,-7.867510521E-1,1.130785085E0
2.164524166E-1,-3.585807557E-1,-4.180934608E-1,-3.324621570E-1,6.433610077E-1
2.264614167E-1,-7.060716639E-2,-4.225817835E-1,6.317331791E-3,4.284864577E-1
2.364704167E-1,8.147851987E-2,-4.405602175E-1,7.829480231E-2,4.548209873E-1
2.464804166E-1,1.133954826E-1,-4.984657788E-1,-5.660031661E-2,5.143250567E-1
2.564894167E-1,1.386394474E-1,-5.023401439E-1,-2.801811786E-1,5.916654540E-1
2.664984167E-1,1.515230653E-1,-5.823025721E-1,-4.908282919E-1,7.764972228E-1
2.765084166E-1,1.577769183E-1,-6.825922608E-1,-6.673082238E-1,9.675360542E-1
2.865174167E-1,1.859558748E-1,-6.751218581E-1,-8.214210941E-1,1.079398779E0
2.965274167E-1,2.187475901E-1,-6.214654684E-1,-1.124845540E0,1.303590167E0
3.065364166E-1,2.089383194E-1,-6.093991542E-1,-1.402761215E0,1.543619634E0
3.165454166E-1,1.370900175E-1,-5.033967358E-1,-1.457898412E0,1.548441063E0
3.265554167E-1,8.860125080E-2,-3.507645267E-1,-1.302756139E0,1.352057503E0
3.365644166E-1,5.352084395E-3,3.108145952E-2,-7.902471024E-1,7.908762133E-1
3.465744166E-1,-1.169632617E-1,7.404136223E-1,-6.277716905E-3,7.496213353E-1
3.565834167E-1,-5.901486950E-1,1.755600772E0,1.045698067E0,2.126944757E0
3.665924167E-1,-1.409590909E0,2.696352866E0,2.203215655E0,3.756517607E0
3.766024166E-1,-2.441600790E0,3.344100400E0,2.930422756E0,5.072652110E0
3.866114167E-1,-3.798153360E0,3.865870256E0,2.960884995E0,6.175577847E0
3.966214167E-1,-6.071117819E0,4.351763937E0,3.056288751E0,8.070763400E0
4.066304166E-1,-8.342382785E0,4.939024948E0,3.736303851E0,1.038986451E1
4.166394167E-1,-9.758549180E0,5.403642949E0,3.960784015E0,1.183707942E1
4.266494167E-1,-1.011105325E1,5.249911464E0,3.197972633E0,1.183308908E1
4.366584166E-1,-9.977962439E0,4.816260316E0,2.484177876E0,1.135461305E1
4.466684166E-1,-9.856002384E0,4.065560857E0,1.920967047E0,1.083326740E1
4.566774167E-1,-8.839507213E0,2.722463608E0,1.164135613E0,9.322226536E0
4.666864167E-1,-6.912798200E0,8.374733090E-1,3.084084660E-1,6.970169028E0
4.766964166E-1,-4.321453140E0,-1.996562775E0,-5.921650708E-1,4.797069900E0
4.867054167E-1,-5.162585637E-1,-5.426755239E0,-1.664913965E0,5.699836299E0
4.967154167E-1,4.033396201E0,-8.516774238E0,-2.569396366E0,9.767575237E0
5.067244166E-1,8.001223480E0,-1.149503423E1,-3.264826773E0,1.438104597E1
5.167334167E-1,1.217662896E1,-1.413375402E1,-3.874821759E0,1.905380642E1
5.267434167E-1,1.725589470E1,-1.532477338E1,-4.369930066E0,2.348852634E1
5.367524166E-1,2.143273041E1,-1.561761948E1,-4.195829220E0,2.684915182E1
5.467614166E-1,2.243837198E1,-1.570927224E1,-3.086943364E0,2.756430646E1
5.567714167E-1,2.017527265E1,-1.548306101E1,-1.954268110E0,2.550658677E1
5.667804166E-1,1.658435251E1,-1.478712424E1,-1.594055652E0,2.227646302E1
5.767904166E-1,1.130012666E1,-1.334394253E1,-1.087699640E0,1.751961059E1
5.867994167E-1,3.306927896E0,-1.108059996E1,-4.957623918E-2,1.156364672E1
5.968084167E-1,-4.322621122E0,-7.231290774E0,2.167272309E-2,8.424790165E0
6.068184166E-1,-1.020433622E1,-1.820275070E0,-1.373578200E0,1.045603157E1
6.168274167E-1,-1.538007049E1,4.060448636E0,-3.241455452E0,1.623394114E1
6.268374167E-1,-1.949959530E1,9.222434934E0,-4.359354208E0,2.200662383E1
6.368464166E-1,-2.147591560E1,1.304779393E1,-4.274835044E0,2.548988215E1
6.468554167E-1,-2.170362021E1,1.525975234E1,-2.795946736E0,2.667816504E1
6.568654167E-1,-1.996198727E1,1.605522393E1,-5.100777644E-1,2.562247706E1
6.668744166E-1,-1.721545419E1,1.514195901E1,1.266633795E0,2.296203707E1
6.768844166E-1,-1.456267185E1,1.293764174E1,2.482710224E0,1.963715446E1
6.868934167E-1,-1.197395160E1,1.022074585E1,3.524793981E0,1.613267911E1
6.969024166E-1,-9.533931314E0,6.844101602E0,4.133586779E0,1.244283379E1
7.069124166E-1,-6.460951687E0,2.954409789E0,3.504569047E0,7.921769884E0
7.169214167E-1,-2.659639369E0,-8.575947475E-1,1.505729367E0,3.174330047E0
7.269314167E-1,6.093202168E-1,-4.673055573E0,-3.350431180E-1,4.724507742E0
7.369404166E-1,3.536689557E0,-8.182022311E0,-1.545424359E0,9.046656762E0
7.469494167E-1,6.506096284E0,-1.064833636E1,-2.276338010E0,1.268456033E1
7.569594167E-1,8.816564493E0,-1.235467785E1,-2.597237883E0,1.539855574E1
7.669684166E-1,1.046693819E1,-1.365283574E1,-2.665114701E0,1.740860577E1
7.769784166E-1,1.191995490E1,-1.437134744E1,-2.563058569E0,1.884649096E1
7.869874167E-1,1.301645987E1,-1.480467875E1,-2.478030113E0,1.986825039E1
7.969964166E-1,1.369251143E1,-1.490407323E1,-2.476844298E0,2.038997366E1
8.070064166E-1,1.393165437E1,-1.485716102E1,-2.693826869E0,2.054465697E1
8.170154167E-1,1.338316332E1,-1.437634096E1,-3.211275049E0,1.990227443E1
8.270244166E-1,1.157297060E1,-1.301726094E1,-3.568922333E0,1.777976202E1
8.370344166E-1,7.875114241E0,-1.100181458E1,-3.720123144E0,1.403198719E1
8.470434167E-1,2.854510694E0,-8.487312457E0,-3.992624443E0,9.804272232E0
8.570534167E-1,-3.070701845E0,-5.690236623E0,-3.516832997E0,7.360442716E0
8.670624166E-1,-8.414908724E0,-1.958300350E0,-2.663768672E0,9.041089129E0
8.770714167E-1,-1.222866918E1,2.575104418E0,-2.071467946E0,1.266737905E1
8.870814167E-1,-1.463742616E1,7.279492296E0,-1.481165652E0,1.641460034E1
8.970904166E-1,-1.655522869E1,1.175946170E1,1.227932829E-1,2.030703363E1
9.071004166E-1,-1.860906085E1,1.552098254E1,2.972442017E0,2.441379644E1
9.171094167E-1,-1.976647275E1,1.771772767E1,5.573954800E0,2.712379566E1
9.271184166E-1,-1.865093393E1,1.825417696E1,6.637115430E0,2.692811940E1
9.371284166E-1,-1.577425118E1,1.767999208E1,6.453272538E0,2.455715470E1
9.471374167E-1,-1.316435700E1,1.582323214E1,6.294685525E0,2.152435914E1
9.571474167E-1,-1.147513499E1,1.292478137E1,6.549348139E0,1.848303702E1
9.671564166E-1,-1.006899189E1,9.124001736E0,6.122825916E0,1.490372445E1
9.771654167E-1,-8.022475770E0,4.796305524E0,4.882677085E0,1.054538760E1
9.871754167E-1,-5.930255470E0,1.389555717E-1,3.280589697E0,6.778606594E0
9.971844166E-1,-4.064991923E0,-5.317070829E0,1.324183846E0,6.822672818E0
1.007194417E0,-5.602629545E-1,-1.074545042E1,-7.362141520E-1,1.078520332E1
1.017203417E0,4.904726350E0,-1.471341190E1,-2.504995717E0,1.571037344E1
1.027212417E0,1.092372852E1,-1.681890538E1,-3.812602707E0,2.041419512E1
1.037222417E0,1.668625895E1,-1.778499872E1,-4.382956493E0,2.477796853E1
1.047231417E0,2.078136696E1,-1.781112642E1,-4.248744768E0,2.769753182E1
1.057241417E0,2.144921488E1,-1.804051269E1,-4.261403405E0,2.834939992E1
1.067250417E0,1.889317472E1,-1.890703964E1,-4.417398933E0,2.709135678E1
1.077259417E0,1.513046221E1,-1.931625118E1,-4.746431113E0,2.499153966E1
1.087269417E0,1.116240017E1,-1.868698319E1,-5.624596950E0,2.248196186E1
1.097278417E0,6.228564625E0,-1.713591334E1,-5.755759352E0,1.911970996E1
1.107288417E0,8.149467646E-1,-1.409074892E1,-4.335679416E0,1.476521112E1
1.117297417E0,-3.990029157E0,-9.550470749E0,-2.446873809E0,1.063574236E1
1.127306417E0,-8.550786906E0,-4.618992217E0,-8.901234660E-1,9.759270752E0
1.137316417E0,-1.201036689E1,7.287724006E-1,1.241275444E-1,1.203309726E1
1.147325417E0,-1.410271700E1,6.256661666E0,5.519402470E-1,1.543816958E1
1.157335417E0,-1.594378652E1,1.086543646E1,9.028521236E-1,1.931520593E1
1.167344417E0,-1.844661819E1,1.378117276E1,1.943394043E0,2.310790396E1
1.177353417E0,-1.897433758E1,1.622870146E1,2.420346161E0,2.508494196E1
1.187363417E0,-1.822188513E1,1.779520796E1,2.727557117E0,2.561534875E1
1.197372417E0,-1.734076002E1,1.744059304E1,2.768798114E0,2.474959568E1
1.207382417E0,-1.544604229E1,1.578442066E1,2.431702770E0,2.221804079E1
1.217391417E0,-1.301726561E1,1.326219027E1,2.343341839E0,1.873035360E1
