"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.491958423E-3,-2.833781438E-1,2.897611105E-1,-1.875705505E0,1.918993438E0
1.950195839E-2,-1.474443583E-1,3.033775216E-1,-1.308407473E0,1.351187579E0
2.951095835E-2,-2.203803337E-1,3.146299034E-1,-6.691675653E-1,7.715858333E-1
3.952095832E-2,-3.695284976E-1,3.110163242E-1,-8.099336542E-2,4.897370618E-1
4.952995840E-2,-3.468291313E-1,3.539717245E-1,3.705168597E-1,6.187642293E-1
5.953995837E-2,-1.936928923E-1,3.433584434E-1,4.173812699E-1,5.741246221E-1
6.954895833E-2,-1.688230030E-1,2.948189521E-1,4.312689918E-1,5.490103498E-1
7.955795841E-2,-4.245350459E-1,1.614778769E-1,3.673805594E-1,5.841862592E-1
8.956795838E-2,-3.151337507E-1,2.298072696E-1,1.859630924E-1,4.320913488E-1
9.957695834E-2,-1.585251426E-1,2.384231418E-1,2.802278101E-2,2.876822756E-1
1.095869584E-1,-7.596737750E-2,1.390538049E-1,-3.489954516E-2,1.622497499E-1
1.195959584E-1,1.269117783E-1,1.563656563E-1,9.434043914E-3,2.016080830E-1
1.296059584E-1,2.413208392E-1,2.199775153E-1,7.617007032E-2,3.353024520E-1
1.396149584E-1,1.367484122E-1,2.368636894E-1,1.246130826E-1,3.005544143E-1
1.496239584E-1,-7.954944120E-2,1.777407378E-1,1.929470068E-1,2.741321413E-1
1.596339584E-1,-1.972670759E-1,1.180792576E-1,1.660648714E-1,2.836098585E-1
1.696429583E-1,-2.898904985E-1,4.168889344E-2,1.877217887E-1,3.478705721E-1
1.796529584E-1,-2.788448706E-1,9.566044807E-3,2.866673487E-1,4.000301737E-1
1.896619584E-1,-6.651395098E-2,-1.468762100E-2,2.837196212E-1,2.917818625E-1
1.996719583E-1,4.635820577E-2,-5.226884544E-2,2.318754297E-1,2.421721090E-1
2.096809584E-1,1.691884723E-1,-1.278025925E-1,2.343428086E-1,3.160297355E-1
2.196909584E-1,4.344439568E-1,-1.285907972E-1,2.226537859E-1,5.048285384E-1
2.296999583E-1,5.992664411E-1,-9.983594477E-2,2.821440889E-1,6.698453330E-1
2.397089584E-1,5.809578222E-1,-1.282060504E-1,4.214743209E-1,7.291017663E-1
