"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.915312500E-2,4.742747513E-1,3.388291901E-1,-5.340952027E-1,7.905690643E-1
2.916312509E-2,4.191545843E-1,1.254759854E-1,-2.942716527E-1,5.272860647E-1
3.917312506E-2,1.658377984E-1,-6.996485889E-2,-1.433023735E-1,2.300713522E-1
4.918212502E-2,-4.088722190E-2,-1.712971061E-1,3.508329391E-2,1.795697664E-1
5.919212499E-2,-2.026867322E-1,-2.927659947E-1,1.596348345E-1,3.902270101E-1
6.920212507E-2,-2.448928301E-1,-3.219857007E-1,1.996368062E-1,4.511121193E-1
7.921212504E-2,-1.939899126E-1,-1.622736830E-1,3.174640489E-1,4.058919273E-1
8.922112500E-2,-7.967739472E-2,4.356175661E-4,4.077649391E-1,4.154767413E-1
9.923112509E-2,-4.030681266E-2,1.261577708E-1,3.517158687E-1,3.758250585E-1
1.092411251E-1,8.053766632E-2,2.725159174E-1,8.132071814E-2,2.955745255E-1
1.192501250E-1,1.315556827E-1,3.210875684E-1,-7.165764609E-2,3.543147506E-1
1.292601250E-1,2.425806949E-2,2.557127738E-1,-1.348426584E-1,2.901034628E-1
1.392701251E-1,-4.411980025E-2,2.106763494E-1,-8.350408673E-2,2.308766196E-1
1.492801250E-1,-1.174942254E-1,1.671327192E-1,-3.596972267E-2,2.074417021E-1
1.592891250E-1,-8.515055303E-2,1.938217503E-1,-1.850877643E-2,2.125089701E-1
1.692991251E-1,1.067174050E-1,3.305945563E-1,8.349590063E-2,3.572855030E-1
1.793091251E-1,3.285799713E-1,4.328570956E-1,2.104728663E-1,5.827768786E-1
1.893191250E-1,3.664834869E-1,4.118223220E-1,3.396647573E-1,6.475182765E-1
1.993281250E-1,2.805600416E-1,3.389718622E-1,3.118507218E-1,5.393206217E-1
2.093381251E-1,-1.016604953E-1,1.119981533E-1,8.293807626E-2,1.725026584E-1
2.193481250E-1,-4.478719414E-1,-1.062181807E-1,7.118283391E-2,4.657666515E-1
2.293571250E-1,-3.978854104E-1,-1.086108613E-1,1.036606085E-1,4.252700798E-1
2.393671251E-1,-2.947498818E-1,-1.033583075E-1,1.323236688E-1,3.392196720E-1
2.493771251E-1,-2.026826757E-1,-1.648797870E-2,4.571704944E-2,2.084278510E-1
2.593871250E-1,5.149189666E-2,1.651891047E-1,-8.004838228E-2,1.906478409E-1
2.693961250E-1,2.924195654E-1,9.378875434E-2,2.295149088E-2,3.079485405E-1
2.794061251E-1,3.875888656E-1,5.114635545E-1,-3.873885620E-1,7.495932192E-1
2.894161250E-1,4.395384166E-1,4.655746061E-1,-1.746341121E-1,6.636646793E-1
2.994251250E-1,4.799949362E-1,2.963374740E-1,7.838075638E-2,5.695213607E-1
3.094351251E-1,1.022640193E-1,1.727565712E-1,1.759462273E-1,2.669453829E-1
3.194451251E-1,-8.813970448E-2,4.338283181E-2,1.485952914E-1,1.781326422E-1
3.294551250E-1,2.959241307E-1,1.239533705E-1,-1.470340848E-1,3.529228687E-1
3.394641250E-1,6.370358728E-3,2.953545570E-2,-1.859998842E-2,3.548075793E-2
