"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.041615700E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
5.532881300E-2,4.394978285E-2,4.043865204E-2,4.342460632E-2,7.384148174E-2
6.024141800E-2,1.046630740E-1,-4.152297974E-3,1.172444820E-1,1.572191757E-1
6.515407400E-2,1.225843430E-1,-9.067916870E-2,1.494462490E-1,2.135036630E-1
7.006673000E-2,1.224583387E-1,-2.047052383E-1,1.387097836E-1,2.759360132E-1
7.497938600E-2,1.137281656E-1,-2.846403122E-1,4.075551033E-2,3.092170995E-1
7.989204300E-2,1.264075637E-1,-3.162612915E-1,-9.906125069E-2,3.547015760E-1
8.480464700E-2,1.177504063E-1,-2.478666306E-1,-2.651922703E-1,3.816149433E-1
8.971730300E-2,1.593386531E-1,-9.944343567E-2,-3.127343655E-1,3.648021198E-1
9.462995900E-2,1.970123053E-1,1.357746124E-2,-3.055832386E-1,3.638396784E-1
9.954256300E-2,2.008029222E-1,2.950763702E-2,-2.022259235E-1,2.865097527E-1
1.044552200E-1,9.189832211E-2,-5.210876465E-2,-7.647395134E-2,1.304181360E-1
1.093678760E-1,-8.238077164E-3,-1.918249130E-1,2.996683121E-2,1.943262055E-1
1.142805320E-1,-7.067924738E-2,-3.493633270E-1,6.656980515E-2,3.626042322E-1
1.191931360E-1,-8.750438690E-2,-5.071735382E-1,1.502039433E-1,5.361373333E-1
1.241057930E-1,-3.257715702E-2,-6.439609528E-1,2.763493061E-1,7.015097425E-1
1.290184490E-1,1.037707329E-1,-7.775039673E-1,4.658217430E-1,9.122887045E-1
1.339311050E-1,2.723969221E-1,-8.769197464E-1,6.889295578E-1,1.147960043E0
1.388437090E-1,4.494094551E-1,-9.420280457E-1,9.517214298E-1,1.412501107E0
1.437563660E-1,5.279728770E-1,-9.791812897E-1,1.096488714E0,1.561998354E0
1.486690220E-1,5.196477175E-1,-9.576883316E-1,1.099613905E0,1.548015320E0
1.535816780E-1,4.238499999E-1,-9.530506134E-1,8.829650879E-1,1.366594907E0
1.584942820E-1,3.588598669E-1,-9.322681427E-1,5.352997780E-1,1.133335849E0
1.634069380E-1,4.040398300E-1,-9.163131714E-1,1.889793873E-1,1.019112958E0
1.683195950E-1,5.351554155E-1,-9.069290161E-1,-1.553242207E-1,1.064442188E0
1.732322510E-1,6.834664345E-1,-8.575000763E-1,-4.162099361E-1,1.172886806E0
1.781448550E-1,7.778219581E-1,-7.691497803E-1,-6.161637306E-1,1.255490393E0
1.830575110E-1,6.727115512E-1,-6.591300964E-1,-7.300648689E-1,1.191632505E0
1.879701680E-1,4.391133785E-1,-4.793004990E-1,-7.912244797E-1,1.024004739E0
1.928828240E-1,1.310989857E-1,-3.032684326E-1,-7.644996643E-1,8.328375730E-1
1.977954800E-1,-1.620838642E-1,-1.304864883E-1,-6.735429764E-1,7.049525117E-1
2.027080840E-1,-3.142884970E-1,3.709793091E-2,-5.523359776E-1,6.365756419E-1
2.076207410E-1,-3.369190097E-1,1.162843704E-1,-4.243941307E-1,5.542083111E-1
2.125333970E-1,-2.446471751E-1,1.444377899E-1,-3.307235241E-1,4.359960606E-1
2.174460010E-1,-1.841024458E-1,1.158237457E-1,-2.111892700E-1,3.031662224E-1
2.223586570E-1,-1.679067612E-1,2.242851257E-2,-1.005201340E-1,1.969771965E-1
2.272713130E-1,-2.202467322E-1,-3.643321991E-2,-6.547164917E-2,2.326425142E-1
2.321839700E-1,-2.788805068E-1,-3.612232208E-2,-4.337525368E-2,2.845357128E-1
2.370965740E-1,-2.949778736E-1,-1.765632629E-2,-1.043181419E-1,3.133783121E-1
2.420092300E-1,-3.259314895E-1,7.007408142E-2,-1.651504040E-1,3.720435037E-1
2.469218860E-1,-4.952670634E-1,1.158523560E-1,-2.123310566E-1,5.511766596E-1
2.518345430E-1,-7.790888548E-1,1.931858063E-1,-2.018573284E-1,8.276754077E-1
2.567471470E-1,-1.138191938E0,2.778730392E-1,-2.772495747E-1,1.203977426E0
2.616598030E-1,-1.326216221E0,4.352655411E-1,-3.615829945E-1,1.441890363E0
2.665724590E-1,-1.356887817E0,5.445251465E-1,-4.407501221E-1,1.527060200E0
2.714851160E-1,-1.271260023E0,5.648307800E-1,-4.522898197E-1,1.462772005E0
2.763977200E-1,-1.125862598E0,5.099983215E-1,-3.912611008E-1,1.296437475E0
2.813103760E-1,-1.037285328E0,4.308853149E-1,-3.065366745E-1,1.164297101E0
2.862230320E-1,-9.536879063E-1,3.116464615E-1,-3.000667095E-1,1.047226895E0
2.911356880E-1,-8.006162047E-1,1.930084229E-1,-3.662292957E-1,9.013115197E-1
2.960482930E-1,-6.401781440E-1,4.455089569E-2,-4.432673454E-1,7.799351113E-1
3.009609490E-1,-4.695011973E-1,-1.190614700E-1,-5.406959057E-1,7.259194655E-1
3.058736050E-1,-3.017745018E-1,-2.790365219E-1,-6.058089733E-1,7.320749570E-1
3.107862610E-1,-1.640334129E-1,-3.981456757E-1,-6.266953945E-1,7.603775754E-1
3.156988660E-1,-3.820973635E-2,-3.692140579E-1,-6.482095718E-1,7.469636226E-1
3.206115220E-1,1.214926243E-1,-2.396259308E-1,-5.829124451E-1,6.418473051E-1
3.255241780E-1,2.562872767E-1,-1.075830460E-1,-4.060339928E-1,4.920578048E-1
3.304368340E-1,3.291861415E-1,6.451702118E-2,-1.708624363E-1,3.764570811E-1
3.353494380E-1,3.460031152E-1,2.312526703E-1,8.920407295E-2,4.256210989E-1
3.402620950E-1,2.675223947E-1,3.572521210E-1,4.005239010E-1,5.996805023E-1
3.451747510E-1,2.291696370E-1,3.817100525E-1,7.491970062E-1,8.715029781E-1
3.500874070E-1,3.130486012E-1,3.554267883E-1,9.662151337E-1,1.076057300E0
