"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.141000700E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
4.632297600E-2,-4.641526937E-2,4.346752167E-2,5.946922302E-2,8.706544181E-2
5.123594400E-2,-8.399790525E-2,9.397220612E-2,5.812549591E-2,1.387984038E-1
5.614886100E-2,-1.004276276E-1,4.565811157E-2,-3.992891312E-2,1.173230141E-1
6.106183000E-2,-4.713332653E-2,7.207870483E-3,-1.385436058E-1,1.465190587E-1
6.597479900E-2,-7.476258278E-2,-2.940273285E-2,-1.949639320E-1,2.108670180E-1
7.088771500E-2,-7.891756296E-2,-9.343624115E-2,-1.732077599E-1,2.120359427E-1
7.580068400E-2,-1.627880335E-2,-1.716537476E-1,-4.029560089E-2,1.770698843E-1
8.071365300E-2,6.977105141E-2,-2.862434387E-1,8.648490906E-2,3.070552806E-1
8.562656900E-2,1.769939065E-1,-3.931474686E-1,2.417416573E-1,4.942982944E-1
9.053953800E-2,2.750203311E-1,-4.927616119E-1,3.784713745E-1,6.794783073E-1
9.545250700E-2,3.287057281E-1,-5.627231598E-1,4.937729836E-1,8.176286257E-1
1.003654240E-1,3.973427713E-1,-5.857467651E-1,5.307908058E-1,8.847143213E-1
1.052783920E-1,4.297326505E-1,-6.090860367E-1,4.770646095E-1,8.850121992E-1
1.101913610E-1,4.768868983E-1,-7.953186035E-1,6.500577927E-2,9.296120407E-1
1.151042780E-1,3.914899826E-1,-7.083415985E-1,-5.702781677E-2,8.113349484E-1
1.200172460E-1,2.587377429E-1,-4.522428513E-1,2.649865150E-1,5.845397072E-1
1.249302150E-1,9.004157782E-2,-3.501749039E-1,3.721122742E-1,5.188424555E-1
1.298431320E-1,-8.449524641E-2,-2.405195236E-1,2.433466911E-1,3.524297093E-1
1.347561010E-1,-1.690475941E-1,-2.585878372E-1,-4.483222961E-3,3.089738790E-1
1.396690690E-1,-1.402557492E-1,-2.404642105E-1,-1.738958359E-1,3.282293001E-1
1.445819860E-1,-1.390126646E-1,-2.334403992E-1,-1.663274765E-1,3.185651744E-1
1.494949550E-1,-1.018609703E-1,-2.192649841E-1,-3.213119507E-2,2.438958881E-1
1.544078710E-1,-1.092005968E-1,-2.447957993E-1,2.298355103E-4,2.680481421E-1
1.593208400E-1,-1.743137836E-1,-2.811870575E-1,-1.448969841E-1,3.611739089E-1
1.642338090E-1,-1.298559904E-1,-3.763303757E-1,-2.193307877E-1,4.545251636E-1
1.691467260E-1,-7.812771201E-2,-4.726982117E-1,5.275535583E-2,4.820069152E-1
1.740596940E-1,-9.543922544E-2,-5.125246048E-1,4.791626930E-1,7.080868610E-1
1.789726630E-1,-1.657108665E-1,-3.890123367E-1,7.569723129E-1,8.670627266E-1
1.838855800E-1,-2.123635709E-1,-2.621965408E-1,8.428916931E-1,9.079161407E-1
1.887985490E-1,-1.979584843E-1,-1.570720673E-1,7.219023705E-1,7.648543837E-1
1.937115170E-1,-8.598120511E-2,-1.280508041E-1,5.155858994E-1,5.381622392E-1
1.986244860E-1,1.257534325E-2,-1.586141586E-1,3.092947006E-1,3.478215094E-1
2.035374030E-1,4.044605047E-2,-1.981916428E-1,1.582188606E-1,2.568054090E-1
2.084503710E-1,1.996092498E-3,-2.443590164E-1,8.152437210E-2,2.576073301E-1
2.133632880E-1,-4.953636229E-2,-2.924919128E-1,-3.455686569E-2,2.986629325E-1
2.182762570E-1,-4.377320409E-2,-3.870925903E-1,-1.049265862E-1,4.034431253E-1
2.231892260E-1,-6.166719645E-2,-4.946527481E-1,-4.671096802E-3,4.985037648E-1
2.281021420E-1,-1.960636526E-1,-6.012954712E-1,1.505260468E-1,6.501194431E-1
2.330151110E-1,-2.506384254E-1,-6.678781509E-1,3.391642570E-1,7.898817874E-1
2.379280800E-1,-1.826155782E-1,-7.682247162E-1,4.469218254E-1,9.073349888E-1
2.428409960E-1,-8.078017831E-2,-7.779912949E-1,5.230126381E-1,9.409240733E-1
2.477539650E-1,-2.050069720E-2,-7.625350952E-1,6.129531860E-1,9.785661236E-1
2.526669340E-1,2.917107195E-2,-7.364177704E-1,7.913675308E-1,1.081399396E0
2.575798510E-1,4.191672057E-2,-5.639343262E-1,1.067879677E0,1.208364986E0
2.624928190E-1,1.326242238E-1,-4.025440216E-1,1.203800201E0,1.276231092E0
2.674057880E-1,1.655150652E-1,-2.376413345E-1,1.251130104E0,1.284209943E0
2.723187050E-1,1.009557545E-1,-1.017007828E-1,1.309643269E0,1.317459906E0
2.772316740E-1,7.165850699E-2,-1.156883240E-1,1.284710407E0,1.291897659E0
2.821445900E-1,1.895114183E-1,-1.895408630E-1,1.135082245E0,1.166298426E0
2.870575590E-1,3.772081137E-1,-2.703504562E-1,9.072592258E-1,1.019065569E0
2.919705280E-1,4.812442958E-1,-3.462257385E-1,7.150671482E-1,9.288645546E-1
2.968834440E-1,4.440370202E-1,-3.844432831E-1,6.305403709E-1,8.617114787E-1
3.017964130E-1,3.045147359E-1,-5.900888443E-1,7.971906662E-1,1.037519651E0
3.067093820E-1,5.597010255E-2,-8.143463135E-1,9.891703129E-1,1.282478257E0
3.116223510E-1,-1.504333615E-1,-9.651947021E-1,1.081191778E0,1.457122737E0
3.165352670E-1,-1.206879318E-1,-1.100157738E0,1.036638498E0,1.516420786E0
3.214482360E-1,-1.973861605E-1,-1.139162064E0,9.320316315E-1,1.485036857E0
3.263612050E-1,-3.670876026E-1,-1.238783836E0,8.708951473E-1,1.558138973E0
3.312741210E-1,-2.652364075E-1,-1.527290344E0,8.141045570E-1,1.750923293E0
3.361870900E-1,-6.658464670E-2,-1.926348686E0,8.060886860E-1,2.089265839E0
3.411000590E-1,1.494207978E-1,-2.057819843E0,8.136851788E-1,2.217889234E0
3.460129760E-1,2.361282706E-1,-2.074908733E0,8.870990276E-1,2.268908878E0
3.509259440E-1,2.609061599E-1,-1.961074829E0,8.920559883E-1,2.170172895E0
3.558388610E-1,3.841679692E-1,-1.763580322E0,8.070223331E-1,1.977140771E0
3.607518300E-1,4.144341350E-1,-1.510102272E0,7.264323235E-1,1.726229546E0
3.656647990E-1,3.511551619E-1,-1.244465828E0,8.284924030E-1,1.535709871E0
3.705777150E-1,3.492494226E-1,-1.099402428E0,9.844162464E-1,1.516488115E0
3.754906840E-1,3.825972676E-1,-1.028777122E0,9.773819447E-1,1.469706944E0
3.804036530E-1,4.985645413E-1,-9.988260269E-1,8.127176762E-1,1.380843965E0
3.853165690E-1,6.230261922E-1,-9.785690308E-1,5.380218029E-1,1.278759729E0
3.902295380E-1,6.259009838E-1,-9.561929703E-1,2.188007832E-1,1.163585330E0
3.951425070E-1,4.633228183E-1,-8.798570633E-1,-5.666851997E-2,9.960059272E-1
4.000554240E-1,2.356145382E-1,-7.359895706E-1,-3.196640015E-1,8.362893832E-1
4.049683920E-1,8.690208197E-2,-6.055860519E-1,-6.437246799E-1,8.880697617E-1
4.098813610E-1,-5.997002125E-2,-4.763765335E-1,-1.014213562E0,1.122123057E0
4.147942780E-1,-2.126818895E-1,-3.456172943E-1,-1.230213165E0,1.295418593E0
4.197072460E-1,-1.404331923E-1,-2.814483643E-1,-1.270645380E0,1.308997458E0
4.246202150E-1,9.635967016E-2,-3.535604477E-1,-1.195027113E0,1.249951990E0
4.295331320E-1,3.104347587E-1,-4.653387070E-1,-1.066934109E0,1.204681802E0
4.344461010E-1,3.997817039E-1,-5.450754166E-1,-8.758287430E-1,1.106349225E0
4.393590690E-1,4.129081368E-1,-5.479373932E-1,-7.367269993E-1,1.006724981E0
4.442719860E-1,3.247550130E-1,-4.414205551E-1,-7.728486061E-1,9.474243468E-1
4.491849550E-1,1.671746969E-1,-3.164300919E-1,-9.308030605E-1,9.972310263E-1
4.540978710E-1,-1.938536763E-2,-1.255741119E-1,-1.174362659E0,1.181216452E0
4.590108400E-1,-1.716238707E-1,9.984016418E-2,-1.443856001E0,1.457443983E0
4.639238090E-1,-2.415681034E-1,2.767372131E-1,-1.639872789E0,1.680512243E0
4.688367260E-1,-2.999909222E-1,3.631200790E-1,-1.827272296E0,1.887001534E0
4.737496940E-1,-1.397714317E-1,3.670530319E-1,-1.911410093E0,1.951346337E0
4.786626630E-1,2.028119266E-1,2.443561554E-1,-1.838838458E0,1.866057203E0
4.835755800E-1,5.359818935E-1,5.546951294E-2,-1.682184339E0,1.766379802E0
4.884885490E-1,6.843157411E-1,-5.464744568E-2,-1.489331722E0,1.639933949E0
4.934015170E-1,7.086215615E-1,-1.461715698E-1,-1.340962887E0,1.523709982E0
4.983144860E-1,5.603994727E-1,-1.531295776E-1,-1.300160766E0,1.424048543E0
5.032274030E-1,2.485863864E-1,-1.333732605E-1,-1.339398384E0,1.368784735E0
