"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.389200200E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
5.880471000E-2,-2.236366272E-2,-7.584571838E-3,-1.319372654E-2,2.705057412E-2
6.371747000E-2,-6.558835506E-2,7.724761963E-4,1.860278845E-2,6.817985610E-2
6.863023100E-2,-1.157553196E-1,2.151012421E-2,7.963907719E-2,1.421420489E-1
7.354299100E-2,-1.741648614E-1,2.616596222E-2,1.540962458E-1,2.340164727E-1
7.845570000E-2,-2.293689549E-1,8.505916595E-2,2.141503692E-1,3.251239145E-1
8.336846000E-2,-3.381808102E-1,1.380414963E-1,2.531216145E-1,4.444010202E-1
8.828122000E-2,-4.823281765E-1,1.873645782E-1,2.507915497E-1,5.750150923E-1
9.319392900E-2,-6.333546638E-1,2.811059952E-1,2.487911582E-1,7.362443556E-1
9.810668900E-2,-7.219113111E-1,3.346347809E-1,2.655288577E-1,8.388336856E-1
1.030194500E-1,-7.996757627E-1,3.824291229E-1,2.837983966E-1,9.307388943E-1
1.079322100E-1,-8.588390350E-1,4.426765442E-1,3.428743482E-1,1.025246229E0
1.128449180E-1,-8.963978887E-1,4.903841019E-1,4.003385901E-1,1.097395430E0
1.177576790E-1,-9.048089981E-1,4.553461075E-1,4.768217206E-1,1.119543815E0
1.226704390E-1,-9.101350307E-1,4.070510864E-1,4.956302643E-1,1.113411748E0
1.275832000E-1,-8.668951988E-1,3.500385284E-1,4.647340775E-1,1.044036407E0
1.324959080E-1,-7.745023370E-1,2.728624344E-1,4.451009035E-1,9.340356484E-1
1.374086680E-1,-6.659794450E-1,1.940641403E-1,4.376192093E-1,8.201829577E-1
1.423214290E-1,-5.316106081E-1,1.041126251E-1,3.957058191E-1,6.708445220E-1
1.472341370E-1,-4.122289419E-1,5.309581757E-2,3.749055862E-1,5.597374965E-1
1.521468980E-1,-2.921455801E-1,4.349327087E-2,3.942096233E-1,4.925869788E-1
1.570602080E-1,-2.250264585E-1,1.628112793E-2,4.516193867E-1,5.048386401E-1
1.619729680E-1,-2.055863440E-1,3.624820709E-2,4.127881527E-1,4.625729525E-1
1.668856770E-1,-1.809084415E-1,5.102634430E-2,3.872385025E-1,4.304476854E-1
1.717984370E-1,-1.878002882E-1,7.004547119E-2,3.331345320E-1,3.887852012E-1
1.767111980E-1,-2.296912670E-1,1.000671387E-1,3.207782507E-1,4.070260391E-1
1.816239060E-1,-3.148208261E-1,1.360902786E-1,3.328955173E-1,4.779666745E-1
1.865366660E-1,-4.887288213E-1,1.363334656E-1,3.853455782E-1,6.371294132E-1
1.914494270E-1,-7.197465301E-1,1.388702393E-1,4.128197432E-1,8.412729350E-1
1.963621870E-1,-9.262953401E-1,1.111278534E-1,3.910663128E-1,1.011585546E0
2.012748950E-1,-1.043487310E0,5.281448364E-3,3.934087753E-1,1.115196900E0
2.061876560E-1,-1.091509819E0,-1.556234360E-1,3.491191864E-1,1.156501857E0
2.111004160E-1,-1.080157042E0,-2.657642365E-1,2.774487734E-1,1.146450036E0
2.160131770E-1,-1.008731127E0,-3.337497711E-1,1.970711946E-1,1.080631506E0
2.209258850E-1,-9.110431075E-1,-4.003725052E-1,1.588432789E-1,1.007734526E0
2.258386450E-1,-7.519394755E-1,-4.749746323E-1,1.588294506E-1,9.034603868E-1
2.307514060E-1,-5.900611281E-1,-4.967784882E-1,1.282765865E-1,7.819308690E-1
2.356641660E-1,-4.357441068E-1,-5.253601074E-1,6.089580059E-2,6.852623349E-1
2.405768750E-1,-3.389893174E-1,-5.091543198E-1,6.477916241E-2,6.151001695E-1
2.454896350E-1,-2.320723534E-1,-4.888830185E-1,2.398383617E-2,5.417004775E-1
2.504023950E-1,-1.707088351E-1,-4.739189148E-1,-4.164171219E-2,5.054450281E-1
2.553151560E-1,-1.719074249E-1,-4.547367096E-1,-1.407005787E-1,5.060971158E-1
2.602278640E-1,-1.851020455E-1,-5.015602112E-1,-2.022718191E-1,5.716111454E-1
2.651406250E-1,-2.054103017E-1,-5.380687714E-1,-2.108161449E-1,6.133146352E-1
2.700533850E-1,-2.658537626E-1,-6.324262619E-1,-1.886354685E-1,7.114945817E-1
2.749660930E-1,-2.818466425E-1,-7.179069519E-1,-2.138431072E-1,8.003479218E-1
2.798788540E-1,-2.640661597E-1,-8.111848831E-1,-2.784810662E-1,8.973870712E-1
2.847916140E-1,-2.111892104E-1,-9.027872086E-1,-2.883411050E-1,9.709614922E-1
2.897043750E-1,-1.875240803E-1,-9.716978073E-1,-2.378226519E-1,1.017802301E0
2.946170830E-1,-1.362795830E-1,-9.972715378E-1,-2.012032866E-1,1.026452828E0
2.995298430E-1,-5.571818352E-2,-9.686269760E-1,-1.900319457E-1,9.886631757E-1
3.044426040E-1,4.685389996E-2,-9.290313721E-1,-1.896021366E-1,9.493384794E-1
3.093553640E-1,1.621500254E-1,-9.020738602E-1,-1.223718524E-1,9.246646690E-1
3.142680730E-1,2.833356261E-1,-8.898086548E-1,-9.523975849E-2,9.386741345E-1
3.191808330E-1,3.776081800E-1,-8.378705978E-1,-1.074945927E-1,9.252946362E-1
3.240935930E-1,4.712999463E-1,-7.281236649E-1,-1.160708666E-1,8.750772290E-1
3.290063020E-1,5.925785303E-1,-6.508960724E-1,-9.046643972E-2,8.848724136E-1
3.339190620E-1,6.867713928E-1,-5.867710114E-1,-9.941238165E-2,9.087562860E-1
3.388318230E-1,7.117977738E-1,-5.119848251E-1,-9.040886164E-2,8.814523778E-1
3.437445830E-1,7.250301242E-1,-4.337882996E-1,-5.876457691E-2,8.469322554E-1
3.486573430E-1,7.076134682E-1,-3.687105179E-1,9.477972984E-3,7.979687327E-1
3.535700520E-1,7.161227465E-1,-3.236389160E-1,1.046065092E-1,7.927902987E-1
3.584828120E-1,7.217383981E-1,-2.888441086E-1,2.147150040E-1,8.064984608E-1
3.633955730E-1,7.409099340E-1,-2.500276566E-1,3.397488594E-1,8.525788215E-1
3.683082810E-1,8.371219635E-1,-2.284536362E-1,4.371939898E-1,9.716495409E-1
3.732210410E-1,9.692506790E-1,-1.743478775E-1,5.100830793E-1,1.109066639E0
3.781338020E-1,1.101611853E0,-1.447601318E-1,6.012842655E-1,1.263347513E0
3.830465620E-1,1.276811481E0,-1.322212219E-1,6.751055717E-1,1.450343939E0
3.879592700E-1,1.480344772E0,-1.458988190E-1,7.530667782E-1,1.667278226E0
3.928720310E-1,1.648147225E0,-1.240501404E-1,7.452906370E-1,1.813073591E0
3.977847910E-1,1.804450631E0,-1.001853943E-1,7.589998245E-1,1.960142833E0
4.026975520E-1,1.987277389E0,-8.843898773E-2,7.557373047E-1,2.127964226E0
4.076102600E-1,2.127757072E0,-2.250003815E-2,7.520045042E-1,2.256848951E0
4.125230200E-1,2.243198872E0,4.027462006E-2,7.122291327E-1,2.353897525E0
4.174357810E-1,2.338747263E0,1.093931198E-1,6.747801304E-1,2.436602930E0
4.223485410E-1,2.364973068E0,9.970569611E-2,6.776278019E-1,2.462157241E0
4.272612500E-1,2.443120956E0,7.598972321E-2,6.850609779E-1,2.538488328E0
4.321740100E-1,2.499028444E0,4.072761536E-2,6.996313334E-1,2.595435591E0
4.370867700E-1,2.613070011E0,2.001094818E-2,7.214785814E-1,2.710916204E0
4.419995310E-1,2.774697542E0,-2.185344696E-2,7.647829056E-1,2.878248932E0
4.469122390E-1,3.009060621E0,-7.043075562E-2,7.748119831E-1,3.108012214E0
4.518250000E-1,3.246642828E0,-1.256399155E-1,7.731360197E-1,3.339792560E0
4.567377600E-1,3.440043449E0,-2.063093185E-1,7.265987396E-1,3.521989239E0
4.616505200E-1,3.641789436E0,-2.813653946E-1,6.567627192E-1,3.711217328E0
4.665632290E-1,3.913209200E0,-3.532056808E-1,5.233234167E-1,3.963814816E0
4.714759890E-1,4.265459061E0,-4.431085587E-1,3.124464750E-1,4.299780110E0
