"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.368510600E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
5.859791900E-2,-5.074363947E-2,2.179241180E-2,-6.682038307E-2,8.668788700E-2
6.351078400E-2,-4.035305977E-2,5.788993835E-2,-8.885979652E-2,1.134710440E-1
6.842359600E-2,2.242785692E-2,4.194736481E-2,-9.870791435E-2,1.095711757E-1
7.333640900E-2,1.538512111E-1,2.640342712E-2,-8.305168152E-2,1.768188845E-1
7.824927300E-2,2.435480654E-1,2.683925629E-2,-8.436799049E-2,2.591408182E-1
8.316208600E-2,3.213094473E-1,1.765251160E-3,-1.364393234E-1,3.490824630E-1
8.807489800E-2,3.799094558E-1,-9.107589722E-3,-2.010545731E-1,4.299268358E-1
9.298776300E-2,4.455448091E-1,-9.708690643E-2,-2.142870426E-1,5.038402336E-1
9.790057500E-2,4.556301832E-1,-1.769332886E-1,-2.088472843E-1,5.315274599E-1
1.028133880E-1,4.645710886E-1,-2.377920151E-1,-2.225100994E-1,5.673465282E-1
1.077262520E-1,4.410971701E-1,-2.338047028E-1,-2.245113850E-1,5.473908243E-1
1.126390650E-1,3.889630139E-1,-2.249279022E-1,-1.996691227E-1,4.916833798E-1
1.175518770E-1,3.913815916E-1,-2.756299973E-1,-2.583224773E-1,5.439503175E-1
1.224647420E-1,3.841663003E-1,-3.062982559E-1,-2.456455231E-1,5.493123800E-1
1.273775540E-1,4.148032665E-1,-3.653774261E-1,-2.534768581E-1,6.081224639E-1
1.322904190E-1,6.799155474E-1,-6.022586823E-1,-3.488736153E-1,9.729920202E-1
1.372032310E-1,5.711022615E-1,-4.952363968E-1,-4.486360550E-1,8.790285500E-1
1.421160440E-1,4.742022753E-1,-3.790683746E-1,-5.030950308E-1,7.884575071E-1
1.470289090E-1,3.899516463E-1,-2.875528336E-1,-5.031855106E-1,6.985302976E-1
1.519417210E-1,3.146237731E-1,-2.304658890E-1,-3.619931936E-1,5.321106246E-1
1.568545340E-1,2.562929988E-1,-1.785907745E-1,-1.487276554E-1,3.459778627E-1
1.617673980E-1,1.702371538E-1,-1.315612793E-1,3.882789612E-2,2.186244823E-1
1.666802110E-1,1.164127737E-1,-6.845760345E-2,2.030727863E-1,2.438789329E-1
1.715930230E-1,3.968189657E-2,-1.277923584E-2,3.941977024E-1,3.963960020E-1
1.765058880E-1,-2.802991867E-2,2.660369873E-2,5.592834949E-1,5.606170358E-1
1.814187000E-1,-1.112537384E-1,8.950901031E-2,6.653957367E-1,6.805444465E-1
1.863315130E-1,-1.596255004E-1,1.636114120E-1,6.920647621E-1,7.288364902E-1
1.912443770E-1,-2.418762743E-1,2.162752151E-1,6.560168266E-1,7.318723779E-1
1.961571900E-1,-2.878876328E-1,2.297468185E-1,6.079156399E-1,7.107913301E-1
2.010700540E-1,-3.149795532E-1,1.983089447E-1,5.828354359E-1,6.915458783E-1
2.059828670E-1,-2.933914065E-1,1.650419235E-1,5.566916466E-1,6.505558726E-1
2.108956790E-1,-3.079227507E-1,8.582973480E-2,5.107839108E-1,6.025639943E-1
2.158085440E-1,-2.827391922E-1,3.754615784E-3,4.430766106E-1,5.256162391E-1
2.207213560E-1,-1.697358787E-1,-5.093193054E-2,3.351838589E-1,3.791471341E-1
2.256341690E-1,-1.489180326E-2,-1.138572693E-1,2.504692078E-1,2.755359643E-1
2.305470340E-1,1.512346268E-1,-1.800966263E-1,1.784689426E-1,2.952251185E-1
2.354598460E-1,2.753527462E-1,-2.122297287E-1,1.160264015E-1,3.665006391E-1
2.403726590E-1,3.519235253E-1,-2.693357468E-1,8.097171783E-2,4.504978704E-1
2.452855230E-1,4.361275434E-1,-3.087015152E-1,5.574035645E-2,5.372251362E-1
2.501983360E-1,5.423993468E-1,-2.816171646E-1,6.934404373E-3,6.111901217E-1
2.551111480E-1,6.008366942E-1,-2.526121140E-1,-9.802365303E-2,6.591101955E-1
2.600240130E-1,6.128630638E-1,-2.380084991E-1,-1.669547558E-1,6.783237215E-1
2.649368250E-1,6.075645089E-1,-2.491159439E-1,-1.588058472E-1,6.755832170E-1
2.698496380E-1,6.390254498E-1,-2.900161743E-1,-1.667680740E-1,7.213005596E-1
2.747625020E-1,6.737865210E-1,-3.155622482E-1,-1.344466209E-1,7.560712283E-1
2.796753150E-1,6.699441671E-1,-2.862710953E-1,-8.842539787E-2,7.338905764E-1
2.845881270E-1,6.402803063E-1,-2.314052582E-1,-8.982563019E-2,6.867138473E-1
2.895009920E-1,5.010190010E-1,-1.374092102E-1,-4.838943481E-2,5.217689794E-1
2.944138040E-1,3.808526993E-1,-4.495429993E-2,1.964569092E-4,3.834966835E-1
