"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.670874998E-3,-1.184642693E-2,-4.336295128E-3,-6.871764779E-2,6.986598890E-2
1.363587500E-2,1.669722496E-1,9.387997091E-2,1.492069101E-1,2.428083259E-1
2.360087500E-2,1.629968739E-1,1.158292490E-1,2.139777056E-1,2.928666153E-1
3.356587500E-2,-1.086273797E-2,5.773248374E-2,9.597036878E-2,1.125226663E-1
4.353087500E-2,-1.644019964E-1,-6.700324416E-3,1.732529998E-2,1.654481090E-1
5.349587500E-2,-1.947783730E-1,-3.882492721E-2,-5.048601111E-2,2.049263938E-1
6.346087500E-2,-1.217110089E-1,8.438467741E-2,3.274325648E-2,1.516788196E-1
7.342587500E-2,8.563685864E-2,1.750083339E-1,4.163570205E-2,1.992363425E-1
8.339087500E-2,5.154010878E-2,2.147331476E-1,9.844253501E-2,2.417801485E-1
9.335587500E-2,2.366091345E-2,1.987135309E-1,1.768537152E-1,2.670658023E-1
1.033208750E-1,3.573295612E-2,2.261276168E-1,1.111274846E-1,2.544795887E-1
1.132858750E-1,8.966219153E-2,2.272081822E-1,8.677501917E-2,2.592156836E-1
1.232508750E-1,1.996254955E-2,1.677542782E-1,3.676747475E-3,1.689778675E-1
1.332158750E-1,-1.860361461E-1,9.278595686E-2,-4.694029609E-2,2.131245477E-1
1.431808750E-1,-2.262302719E-1,3.335778058E-2,-7.774689993E-2,2.415314843E-1
1.531458750E-1,-1.719759131E-1,5.907325029E-2,-5.943226933E-2,1.913048829E-1
1.631108750E-1,5.622212967E-2,1.694330138E-1,2.539445758E-1,3.104131466E-1
1.730758750E-1,2.709448802E-1,1.565954518E-1,6.323623395E-1,7.055603391E-1
1.830408750E-1,3.767910135E-2,1.494945931E-1,4.769375002E-1,5.012361990E-1
1.930058750E-1,-1.515202696E-2,1.794685900E-1,1.150147319E-1,2.136982622E-1
2.029708750E-1,2.305985623E-2,1.275780594E-1,-2.749009967E-2,1.325278227E-1
2.129358750E-1,-1.846810173E-1,3.287304640E-3,1.145118896E-1,2.173266146E-1
2.229008750E-1,-2.533133323E-1,-1.376212370E-1,2.192764525E-1,3.622007894E-1
