"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.944516667E-2,3.437572235E-1,2.787391090E-1,-1.086114168E0,1.172820747E0
3.941116666E-2,1.433269501E-2,1.693575847E-1,-1.211128223E0,1.222995908E0
4.937716667E-2,-1.661805001E-1,1.107170284E-1,-1.243834039E0,1.259760825E0
5.934316666E-2,-4.313251251E-1,1.768157083E-1,-1.127469185E0,1.220037672E0
6.930916667E-2,-7.600362933E-1,2.518577045E-1,-8.052253300E-1,1.135550660E0
7.927416667E-2,-8.735152540E-1,4.262497419E-1,-1.020803985E-1,9.773116950E-1
8.924016666E-2,-7.320003560E-1,4.317671746E-1,4.774783677E-1,9.747989566E-1
9.920616667E-2,-6.297772855E-1,2.898213369E-1,7.665617859E-1,1.033553486E0
1.091721667E-1,-2.498006541E-1,1.478842700E-1,7.314597809E-1,7.869584075E-1
1.191371667E-1,4.732400134E-2,-3.066338360E-2,4.951650256E-1,4.983655353E-1
1.291031667E-1,1.035863489E-2,-6.406384885E-2,4.376959589E-1,4.424807685E-1
1.390691667E-1,-6.455910802E-2,-2.754506350E-2,2.605721024E-1,2.698600183E-1
1.490351667E-1,1.818593703E-1,-7.666722983E-1,-6.275866261E-1,1.007335206E0
1.590011667E-1,-1.260509129E-1,-7.943635422E-1,-8.405559611E-1,1.163372938E0
1.689661667E-1,-3.441668209E-1,-2.434312820E-2,-9.379963017E-1,9.994400685E-1
1.789321667E-1,-3.183915634E-1,4.594970101E-1,-8.663228863E-1,1.031031539E0
1.888981667E-1,-3.812694508E-1,4.267204428E-1,-3.431213388E-1,6.672248373E-1
1.988641667E-1,-1.416362277E-1,3.831738889E-1,5.041258836E-1,6.488651298E-1
2.088291667E-1,-2.743031189E-2,3.545845127E-1,1.066742342E0,1.124465128E0
2.187951667E-1,-4.673211694E-2,1.934030896E-1,1.072402155E0,1.090703914E0
2.287611667E-1,-4.045995489E-2,-8.403325975E-2,8.417002612E-1,8.468517736E-1
2.387271667E-1,-2.589563705E-2,-5.052853864E-1,6.320653009E-1,8.096236474E-1
2.486921667E-1,2.962322241E-1,-6.865572578E-1,7.454223472E-1,1.055826157E0
