"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.956208330E-3,9.017065261E-2,-6.429598331E-3,4.789419258E-1,4.873986608E-1
1.491920833E-2,1.634698771E-1,1.092259884E-3,4.556846255E-1,4.841198939E-1
2.488220834E-2,1.588996568E-1,5.921767652E-2,3.655240685E-1,4.029437663E-1
3.484620833E-2,8.498605440E-2,1.837896824E-2,2.329045397E-1,2.486059946E-1
4.480920832E-2,6.276076030E-2,-6.306222081E-2,1.604399961E-1,1.834577583E-1
5.477220833E-2,1.783562486E-1,-4.155089915E-2,3.675863814E-1,4.106789214E-1
6.473620833E-2,3.152140768E-1,2.678901851E-2,5.120055914E-1,6.018532141E-1
7.469920833E-2,3.942624025E-1,9.662757754E-2,5.395494854E-1,6.751987693E-1
8.466220833E-2,4.248184897E-1,1.690207851E-1,3.150567502E-1,5.552472700E-1
9.462520834E-2,4.553114270E-1,1.547600108E-1,1.427048063E-1,5.016211900E-1
1.045892083E-1,6.032983886E-1,5.175195158E-2,1.153667343E-1,6.164062732E-1
1.145522083E-1,6.922343194E-1,1.851403892E-2,1.804047292E-1,7.155955485E-1
1.245152083E-1,7.752658781E-1,1.942094207E-2,3.145088661E-1,8.368573245E-1
1.344782083E-1,9.028139705E-1,-7.186578870E-2,4.075380671E-1,9.931389797E-1
1.444422083E-1,8.461645373E-1,-1.471141917E-1,2.106488675E-1,8.843132674E-1
1.544052083E-1,8.749297685E-1,-1.687494743E-1,7.093724628E-2,8.938739161E-1
1.643682083E-1,9.538274918E-1,-2.334822446E-1,7.949348152E-2,9.852005158E-1
1.743312083E-1,1.009213926E0,-3.164717764E-1,1.219945532E-1,1.064682960E0
1.842952083E-1,1.057338996E0,-3.871903414E-1,2.496889722E-1,1.153354541E0
1.942582083E-1,1.177330001E0,-3.210764587E-1,3.143632704E-1,1.260166771E0
2.042212083E-1,1.372331281E0,-2.996791577E-1,3.099427754E-1,1.438459338E0
2.141842083E-1,1.421133751E0,-2.990102363E-1,8.940217316E-2,1.454998628E0
2.241482083E-1,1.566412063E0,-2.681369376E-1,4.933295846E-3,1.589203733E0
2.341112083E-1,1.715407012E0,-3.188860917E-1,1.979726887E-1,1.755990530E0
2.440742083E-1,1.828596827E0,-3.876306367E-1,4.248592740E-1,1.916906172E0
2.540382083E-1,1.990555930E0,-4.281916022E-1,3.897467440E-1,2.073056556E0
2.640012083E-1,2.154075362E0,-3.828563851E-1,2.068481773E-1,2.197590919E0
2.739642083E-1,2.320626284E0,-3.689569688E-1,2.210054559E-1,2.360143852E0
2.839272083E-1,2.452911644E0,-3.658485889E-1,2.829771527E-1,2.496136373E0
2.938912083E-1,2.456776654E0,-2.799605924E-1,1.483070236E-1,2.477120189E0
3.038542083E-1,2.419966384E0,-2.091934955E-1,2.508221626E-2,2.429120898E0
3.138172083E-1,2.359849991E0,-1.365131897E-1,3.755783558E-2,2.364093573E0
3.237802083E-1,2.408827146E0,3.428281009E-2,2.604957231E-1,2.423114020E0
3.337442083E-1,2.447210755E0,1.460248554E-1,2.434903024E-1,2.463625634E0
3.437072083E-1,2.625825505E0,3.123237616E-1,2.515717391E-1,2.656274469E0
3.536702083E-1,2.818011789E0,4.626486593E-1,2.810850850E-1,2.869537080E0
3.636332083E-1,2.993960063E0,6.244194818E-1,2.947136291E-1,3.072548238E0
3.735972083E-1,3.110134883E0,7.373496813E-1,3.036475899E-1,3.210735959E0
3.835602083E-1,3.195533175E0,9.234057444E-1,2.915923854E-1,3.339032279E0
3.935232083E-1,3.211531157E0,1.081404528E0,1.598481848E-1,3.392479855E0
4.034872083E-1,3.010488388E0,1.173104657E0,9.633857891E-2,3.232413338E0
4.134502083E-1,2.768522710E0,1.095105139E0,3.342460694E-1,2.995946211E0
4.234132083E-1,2.749654915E0,1.063792714E0,6.208572118E-1,3.012925616E0
4.333762083E-1,2.577743559E0,1.110063486E0,6.430410364E-1,2.879323631E0
4.433402083E-1,2.451111432E0,1.299864106E0,7.794173281E-1,2.881854493E0
4.533032083E-1,2.521414991E0,1.459690145E0,7.934560543E-1,3.019569735E0
4.632662083E-1,2.319412402E0,1.463066912E0,6.196458149E-1,2.811440843E0
4.732292083E-1,1.942878465E0,1.485574014E0,4.114697349E-1,2.480123832E0
4.831932083E-1,1.942701733E0,1.603096617E0,6.699412251E-1,2.606305820E0
4.931562083E-1,1.889596004E0,1.768347702E0,8.477182156E-1,2.723279792E0
5.031192083E-1,1.605388725E0,2.033316618E0,8.766923386E-1,2.735002539E0
5.130832083E-1,1.356565726E0,2.260097369E0,8.704504359E-1,2.775967335E0
5.230462083E-1,1.177215030E0,2.407164198E0,9.638105893E-1,2.847666686E0
5.330092083E-1,7.356411248E-1,2.402903332E0,1.069098478E0,2.730949257E0
5.429722083E-1,3.766316586E-1,2.382077889E0,1.305854432E0,2.742517507E0
5.529362083E-1,-4.613540858E-2,2.237485017E0,1.440838137E0,2.661669065E0
5.628992083E-1,-5.228800969E-1,2.182977272E0,1.354787734E0,2.621877795E0
5.728622083E-1,-8.125118378E-1,2.214325950E0,1.291463411E0,2.689106290E0
5.828252083E-1,-1.176268147E0,2.261519997E0,1.279552487E0,2.852250693E0
5.927892083E-1,-1.489638121E0,2.337686412E0,1.411945144E0,3.110850139E0
