"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.311020900E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
5.802244800E-2,-2.435195446E-2,4.806518555E-3,3.656744957E-3,2.508968095E-2
6.293468800E-2,-5.356982350E-2,-7.906913757E-3,2.909916639E-2,6.147362654E-2
6.784692800E-2,-6.612864137E-2,4.945755005E-3,4.420292377E-2,7.969539618E-2
7.275916700E-2,-8.079028130E-2,2.899837494E-2,8.959662914E-2,1.240787301E-1
7.767140700E-2,-7.860624790E-2,1.436328888E-2,1.230502725E-1,1.467195141E-1
8.258364600E-2,-2.993711829E-2,1.866912842E-2,1.120855808E-1,1.175072118E-1
8.749593800E-2,-7.019996643E-3,1.655292511E-2,1.551710367E-1,1.562092517E-1
9.240817800E-2,4.926192760E-2,3.621959686E-2,2.280478477E-1,2.361025573E-1
9.732041700E-2,7.884028554E-2,9.099388123E-2,2.688350081E-1,2.945639806E-1
1.022326570E-1,1.215587556E-1,9.381198883E-2,2.655414343E-1,3.067400751E-1
1.071448960E-1,1.046161950E-1,1.037330627E-1,2.433326244E-1,2.844571368E-1
1.120571360E-1,9.862187505E-2,9.147071838E-2,2.317675352E-1,2.679726795E-1
1.169694280E-1,7.599392533E-2,9.169387817E-2,2.163438797E-1,2.469565109E-1
1.218816670E-1,2.633842826E-2,1.012611389E-1,1.701152325E-1,1.997166077E-1
1.267939070E-1,2.427518368E-3,1.106452942E-1,1.301890612E-1,1.708726591E-1
1.317061460E-1,-5.162414908E-2,1.153812408E-1,1.069337130E-1,1.655678184E-1
1.366183860E-1,-1.188001931E-1,9.311485291E-2,9.228008986E-2,1.769165812E-1
1.415306250E-1,-1.830738932E-1,8.818626404E-2,8.785933256E-2,2.213868331E-1
1.464428650E-1,-2.152885199E-1,7.466125488E-2,1.088880897E-1,2.525471557E-1
1.513551570E-1,-2.149910927E-1,5.742645264E-2,1.200318933E-1,2.528371468E-1
1.562673960E-1,-2.271008790E-1,4.340553284E-2,1.309578419E-1,2.657231752E-1
1.611796360E-1,-2.213575840E-1,3.011131287E-2,1.438695788E-1,2.657147472E-1
1.660918750E-1,-2.168064713E-1,5.978584290E-3,1.541537046E-1,2.660904999E-1
1.710041150E-1,-1.926147938E-1,-4.703330994E-2,1.504121423E-1,2.488702545E-1
1.759163550E-1,-1.471807659E-1,-5.891323090E-2,1.284620166E-1,2.040476325E-1
1.808286460E-1,-5.796036124E-2,-5.196762085E-2,9.580886364E-2,1.234478653E-1
1.857408860E-1,2.768543363E-2,-7.533454895E-2,7.591205835E-2,1.104736082E-1
1.906531250E-1,9.177660942E-2,-8.410930634E-2,4.979199171E-2,1.340767090E-1
1.955653650E-1,2.001077831E-1,-6.028842926E-2,1.767861843E-2,2.097387735E-1
2.004776050E-1,2.729858458E-1,-6.510543823E-2,-3.427493572E-2,2.827273622E-1
2.053898440E-1,2.841148078E-1,-7.680988312E-2,-4.062050581E-2,2.971043717E-1
2.103021360E-1,2.771960795E-1,-9.288120270E-2,-4.926985502E-2,2.964660232E-1
2.152143750E-1,2.806044221E-1,-7.604503632E-2,-6.482410431E-2,2.978654961E-1
2.201266150E-1,2.707447410E-1,-8.766746521E-2,-7.781833410E-2,2.950321886E-1
2.250388550E-1,2.618769705E-1,-9.904384613E-2,-8.604931831E-2,2.929056441E-1
2.299510940E-1,2.815869153E-1,-1.218242645E-1,-5.472809076E-2,3.116528617E-1
2.348633860E-1,3.104043603E-1,-1.510772705E-1,-2.906531096E-2,3.464390291E-1
2.397756250E-1,3.082650602E-1,-1.330156326E-1,-4.209399223E-3,3.357651335E-1
2.446878650E-1,3.294674456E-1,-1.201457977E-1,1.067441702E-2,3.508528945E-1
2.496001050E-1,3.174581528E-1,-1.193408966E-1,3.698360920E-2,3.411593700E-1
2.545123440E-1,3.408026695E-1,-6.955051422E-2,6.986296177E-2,3.547739661E-1
2.594246360E-1,3.590996861E-1,-4.671478271E-2,5.332124233E-2,3.660300676E-1
2.643368750E-1,3.866549730E-1,-5.255317688E-2,1.902019978E-2,3.906733579E-1
2.692491150E-1,3.788830042E-1,-7.240295410E-2,-4.195588827E-2,3.880139368E-1
2.741613550E-1,3.950819969E-1,-1.083030701E-1,-1.409652233E-1,4.332326551E-1
2.790736460E-1,3.997316957E-1,-1.247854233E-1,-2.399913669E-1,4.826517239E-1
2.839858860E-1,3.837837577E-1,-1.667871475E-1,-3.652222455E-1,5.554234545E-1
2.888981250E-1,3.429120183E-1,-1.892223358E-1,-4.838148355E-1,6.224713164E-1
2.938103650E-1,2.633762360E-1,-2.088727951E-1,-5.800663233E-1,6.704265997E-1
2.987226050E-1,2.044386864E-1,-2.046546936E-1,-6.312724352E-1,6.943944178E-1
3.036348960E-1,1.562453508E-1,-2.169227600E-1,-6.314637661E-1,6.857219417E-1
3.085471360E-1,1.255868077E-1,-2.054443359E-1,-6.332508326E-1,6.774850835E-1
3.134593750E-1,1.284291744E-1,-1.894416809E-1,-5.989491940E-1,6.411882253E-1
3.183716150E-1,2.323525548E-1,-1.478462219E-1,-5.102324486E-1,5.798132170E-1
3.232839070E-1,3.556338549E-1,-1.234216690E-1,-3.771764636E-1,5.328887612E-1
3.281961460E-1,4.792072177E-1,-6.883907318E-2,-2.518635392E-1,5.457230230E-1
3.331083860E-1,5.889764428E-1,-3.166389465E-2,-1.148743033E-1,6.009092760E-1
3.380206250E-1,6.640167236E-1,3.782272339E-2,-6.013572216E-3,6.651202378E-1
3.429329170E-1,7.260755897E-1,4.965114594E-2,6.132370234E-2,7.303503232E-1
3.478451570E-1,8.155728579E-1,6.127071381E-2,1.374189854E-1,8.293353751E-1
3.527573960E-1,8.426337242E-1,7.033061981E-2,1.774414778E-1,8.639811730E-1
3.576696360E-1,8.956096172E-1,4.859256744E-2,1.724970341E-1,9.133635918E-1
3.625819280E-1,9.645978212E-1,1.775360107E-2,1.915194988E-1,9.835872435E-1
3.674941670E-1,1.009281635E0,2.272987366E-2,1.987513304E-1,1.028916011E0
3.724064070E-1,1.053416371E0,3.234577179E-2,2.108270526E-1,1.074793165E0
3.773186460E-1,1.103856444E0,5.834674835E-2,1.876039505E-1,1.121204101E0
3.822309380E-1,1.148479342E0,9.107685089E-2,1.674149036E-1,1.164185356E0
3.871431780E-1,1.253326893E0,1.304569244E-1,1.856818199E-1,1.273705244E0
3.920554170E-1,1.398326993E0,1.599273682E-1,1.875007749E-1,1.419877348E0
3.969676570E-1,1.530881405E0,1.702108383E-1,1.731489301E-1,1.550016180E0
4.018799480E-1,1.665216565E0,1.639480591E-1,1.665260196E-1,1.681533850E0
4.067921880E-1,1.787099361E0,1.720666885E-1,1.015254259E-1,1.798232044E0
4.117044280E-1,1.920435190E0,2.250633240E-1,1.212877035E-2,1.933616282E0
4.166166670E-1,2.065520287E0,2.703514099E-1,-9.180486202E-2,2.085159963E0
4.215289590E-1,2.189600945E0,2.820320129E-1,-1.747552752E-1,2.214595620E0
4.264411980E-1,2.328802347E0,3.219614029E-1,-2.300580740E-1,2.362182515E0
4.313534380E-1,2.478681087E0,3.424978256E-1,-2.842714787E-1,2.518327812E0
4.362657300E-1,2.592246294E0,3.651294708E-1,-3.800488710E-1,2.645278345E0
4.411779690E-1,2.653880358E0,4.016056061E-1,-4.625570774E-1,2.723660600E0
4.460902090E-1,2.714295387E0,4.304304123E-1,-5.178429484E-1,2.796574889E0
4.510025000E-1,2.735984564E0,4.090986252E-1,-5.605694056E-1,2.822624891E0
4.559147400E-1,2.731306791E0,3.926124573E-1,-6.125141978E-1,2.826544706E0
4.608269800E-1,2.686428070E0,3.974800110E-1,-6.289832592E-1,2.787562748E0
4.657392190E-1,2.601803780E0,4.258089066E-1,-6.128565669E-1,2.706711899E0
4.706515110E-1,2.494330168E0,5.104818344E-1,-5.741640925E-1,2.609969175E0
4.755637500E-1,2.371097326E0,5.775270462E-1,-5.249568820E-1,2.496241124E0
4.804759900E-1,2.260469437E0,6.366357803E-1,-4.462940693E-1,2.390440459E0
4.853882820E-1,2.159884930E0,6.571264267E-1,-3.407366872E-1,2.283203789E0
4.903005210E-1,2.040723801E0,7.270212173E-1,-2.486184239E-1,2.180578960E0
4.952127610E-1,1.931367993E0,7.771282196E-1,-1.718328595E-1,2.088932054E0
5.001250530E-1,1.833741903E0,8.503122330E-1,-8.857601881E-2,2.023236509E0
5.050372920E-1,1.754306912E0,9.274482727E-1,-1.052927971E-2,1.984405177E0
5.099495320E-1,1.659302235E0,9.706554413E-1,3.319621086E-3,1.922359725E0
5.148618230E-1,1.591043234E0,1.001686096E0,7.921779156E-2,1.881772852E0
5.197740630E-1,1.501436710E0,1.056262016E0,1.550385952E-1,1.842291673E0
5.246863030E-1,1.437945962E0,1.148362160E0,2.310469747E-1,1.854671654E0
5.295985940E-1,1.345884800E0,1.270467758E0,2.886222005E-1,1.873178313E0
5.345108340E-1,1.216294885E0,1.362987518E0,3.377359509E-1,1.857733510E0
5.394230730E-1,1.071039915E0,1.435674667E0,3.904821277E-1,1.833238812E0
5.443353650E-1,9.508808851E-1,1.450742722E0,4.707254767E-1,1.797334520E0
5.492476050E-1,8.558017015E-1,1.434795380E0,5.189814568E-1,1.749393062E0
5.541598440E-1,7.621346712E-1,1.437884331E0,5.212454200E-1,1.708817542E0
5.590721360E-1,6.296840906E-1,1.431365013E0,5.062792897E-1,1.643662549E0
5.639843750E-1,4.922415018E-1,1.434267998E0,4.789592028E-1,1.590229010E0
5.688966150E-1,3.501228094E-1,1.403801918E0,4.676155448E-1,1.520496664E0
5.738089070E-1,1.845667362E-1,1.387713432E0,4.694190025E-1,1.476539078E0
5.787211460E-1,7.777690887E-3,1.371643066E0,4.222765565E-1,1.435194302E0
5.836333860E-1,-2.065293789E-1,1.372281075E0,4.044609666E-1,1.445475149E0
5.885456780E-1,-4.108492136E-1,1.439358711E0,3.489961624E-1,1.536993460E0
5.934579170E-1,-6.482753754E-1,1.482196808E0,2.607375979E-1,1.638643474E0
5.983701570E-1,-8.737747669E-1,1.531911850E0,1.874272227E-1,1.773517754E0
6.032824480E-1,-1.066621780E0,1.562424660E0,1.216687560E-1,1.895694101E0
6.081946880E-1,-1.260825753E0,1.604819298E0,6.108075380E-2,2.041778004E0
6.131069800E-1,-1.402167916E0,1.642420769E0,2.703708410E-2,2.159711057E0
6.180192190E-1,-1.512801409E0,1.663434982E0,4.552513361E-2,2.248923427E0
6.229314590E-1,-1.602704167E0,1.703609467E0,1.234410405E-1,2.342260351E0
6.278437500E-1,-1.664986372E0,1.755648613E0,2.249159217E-1,2.430034741E0
6.327559900E-1,-1.709295988E0,1.771944046E0,3.452016115E-1,2.486089827E0
6.376682820E-1,-1.738043070E0,1.776504517E0,4.629765749E-1,2.528064342E0
6.425805210E-1,-1.770236969E0,1.743276596E0,6.022439003E-1,2.556452607E0
6.474927610E-1,-1.855563164E0,1.739012718E0,7.488122582E-1,2.651037474E0
6.524050530E-1,-1.964823484E0,1.787181854E0,8.434558511E-1,2.786748657E0
6.573172920E-1,-2.085667133E0,1.811334610E0,9.365961552E-1,2.916873809E0
6.622295320E-1,-2.117790699E0,1.892361641E0,1.064007401E0,3.032850437E0
6.671418230E-1,-2.149341822E0,1.979900360E0,1.120958447E0,3.129891938E0
6.720540630E-1,-2.175159931E0,2.035875320E0,1.176936865E0,3.203324746E0
6.769663550E-1,-2.190296650E0,2.015406609E0,1.243609428E0,3.225806507E0
6.818785940E-1,-2.204180956E0,1.992742538E0,1.242174745E0,3.220626431E0
6.867908340E-1,-2.269175053E0,1.975070000E0,1.201142311E0,3.239259140E0
6.917031250E-1,-2.294809341E0,2.007544518E0,1.115464926E0,3.246636244E0
6.966153650E-1,-2.383961678E0,1.994818687E0,1.075225234E0,3.289176824E0
7.015276570E-1,-2.527004719E0,2.013313293E0,1.022585392E0,3.388932597E0
7.064398960E-1,-2.709635973E0,1.984421730E0,9.785960317E-1,3.498243402E0
7.113521360E-1,-2.910508633E0,1.929900169E0,9.762504101E-1,3.626105353E0
7.162644280E-1,-3.046612263E0,1.897468567E0,9.701159596E-1,3.717977705E0
7.211766670E-1,-3.123262167E0,1.829901695E0,9.724127650E-1,3.748185343E0
7.260889590E-1,-3.148041248E0,1.746440887E0,1.004794359E0,3.737623734E0
7.310011980E-1,-3.099927425E0,1.670935631E0,1.091202974E0,3.686773638E0
7.359134380E-1,-3.019704580E0,1.636571884E0,1.143590689E0,3.620052893E0
7.408257300E-1,-2.900372982E0,1.631155968E0,1.155145288E0,3.522384684E0
7.457379690E-1,-2.730099916E0,1.678229332E0,1.219115496E0,3.428723062E0
7.506502610E-1,-2.518437386E0,1.739367485E0,1.321115732E0,3.333657585E0
7.555625000E-1,-2.267818451E0,1.693210602E0,1.385001421E0,3.150903300E0
7.604747920E-1,-2.025625706E0,1.602282524E0,1.416083097E0,2.945464331E0
7.653870320E-1,-1.900805235E0,1.512042999E0,1.464822173E0,2.836377720E0
7.702993230E-1,-1.837692976E0,1.458142281E0,1.569434762E0,2.822484696E0
7.752115630E-1,-1.797649622E0,1.352345467E0,1.644023180E0,2.786251001E0
7.801238030E-1,-1.830347657E0,1.237806320E0,1.700690627E0,2.788312329E0
7.850360940E-1,-1.956825733E0,1.116971970E0,1.703837276E0,2.824863677E0
7.899483340E-1,-2.119327068E0,1.025563240E0,1.732343554E0,2.923070538E0
7.948606250E-1,-2.270312548E0,9.396209717E-1,1.733872294E0,3.007244547E0
7.997728650E-1,-2.405335903E0,8.734016418E-1,1.722775340E0,3.084870517E0
8.046851570E-1,-2.500885248E0,7.197656631E-1,1.684704900E0,3.100116165E0
8.095973960E-1,-2.574228287E0,5.530261993E-1,1.609800577E0,3.086089297E0
8.145096880E-1,-2.606968164E0,4.375038147E-1,1.512148976E0,3.045371426E0
8.194219280E-1,-2.630651474E0,2.753391266E-1,1.412893057E0,2.998734000E0
8.243341670E-1,-2.648010015E0,1.405630112E-1,1.304565430E0,2.955267494E0
8.292464590E-1,-2.625778198E0,7.104492188E-2,1.284457445E0,2.923968101E0
