"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.582272100E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
6.073527300E-2,-2.975910157E-2,2.510547638E-2,5.643689632E-2,6.856392883E-2
6.564782500E-2,9.974911809E-4,-2.652168274E-2,8.657181263E-2,9.054873487E-2
7.056037700E-2,4.218669236E-2,-5.249309540E-2,5.059742928E-2,8.423385261E-2
7.547292900E-2,6.073008105E-2,-1.167106628E-2,-7.233738899E-2,9.516855772E-2
8.038553300E-2,6.277882308E-2,3.983116150E-2,-1.239781380E-1,1.445623767E-1
8.529808500E-2,3.965803236E-2,7.078552246E-2,-1.186202765E-1,1.437154122E-1
9.021063800E-2,5.373667553E-2,8.473587036E-2,-9.370243549E-2,1.372878161E-1
9.512319000E-2,7.997919619E-2,8.789348602E-2,-3.933930397E-2,1.251779435E-1
1.000357940E-1,1.113211885E-1,4.231929779E-2,1.310265064E-2,1.198123926E-1
1.049483460E-1,1.347892731E-1,2.310466766E-2,7.816863060E-2,1.575192326E-1
1.098608980E-1,1.005823687E-1,2.984046936E-2,9.885859489E-2,1.441536967E-1
1.147734500E-1,3.209876269E-2,8.050346375E-2,8.521139622E-2,1.215406117E-1
1.196860020E-1,-3.149162978E-2,1.080751419E-1,3.930449486E-2,1.192342332E-1
1.245986060E-1,-5.102993548E-2,1.187896729E-1,1.403141022E-2,1.300458425E-1
1.295111580E-1,-1.815051772E-2,1.047620773E-1,-3.041410446E-2,1.105873044E-1
1.344237100E-1,1.725328900E-2,6.275749207E-2,-3.239631653E-2,7.270282055E-2
1.393362630E-1,3.957876563E-2,3.013706207E-2,-3.020882607E-2,5.820046711E-2
1.442488670E-1,6.771245599E-2,8.437156677E-3,2.139735222E-2,7.151229958E-2
1.491614190E-1,5.594931915E-2,2.197837830E-2,5.445337296E-2,8.110823172E-2
1.540739710E-1,9.272405505E-2,3.036308289E-2,1.089262962E-1,1.462347606E-1
1.589865230E-1,1.029371917E-1,2.012825012E-2,1.316788197E-1,1.683464387E-1
1.638991270E-1,1.705540717E-1,2.862644196E-2,1.794215441E-1,2.491992276E-1
1.688116790E-1,1.855912954E-1,6.194591522E-2,2.447155714E-1,3.133163517E-1
1.737242310E-1,2.008040845E-1,8.242130280E-2,2.811189890E-1,3.551667742E-1
1.786367830E-1,1.839102507E-1,1.067438126E-1,2.574076653E-1,3.338801101E-1
1.835493350E-1,1.590740085E-1,1.302604675E-1,2.123178244E-1,2.955523441E-1
1.884619400E-1,1.309541464E-1,1.484994888E-1,1.090823412E-1,2.260531880E-1
1.933744920E-1,1.295834184E-1,1.339874268E-1,6.004428864E-2,1.958310737E-1
1.982870440E-1,1.262130141E-1,1.248207092E-1,3.996050358E-2,1.819526758E-1
2.031995960E-1,1.185214370E-1,1.161718369E-1,5.010843277E-2,1.733611310E-1
2.081122000E-1,1.160191000E-1,1.149444580E-1,5.717146397E-2,1.730353613E-1
2.130247520E-1,1.417123377E-1,9.303665161E-2,6.592297554E-2,1.818901974E-1
2.179373040E-1,1.319655776E-1,5.101490021E-2,6.238329411E-2,1.546257065E-1
2.228498560E-1,1.015974879E-1,3.821468353E-2,7.483088970E-2,1.318410924E-1
2.277624080E-1,6.967347860E-2,7.234573364E-3,7.964766026E-2,1.060682915E-1
2.326750130E-1,3.151056170E-2,-2.052402496E-2,7.943010330E-2,8.788226448E-2
2.375875650E-1,2.920909971E-2,-2.654361725E-2,6.268143654E-2,7.407224588E-2
2.425001170E-1,2.921915054E-2,-4.406833649E-2,6.026399136E-2,8.017185100E-2
2.474126690E-1,5.024784058E-2,-1.101922989E-1,4.622066021E-2,1.296284600E-1
2.523252730E-1,5.918748677E-2,-1.000518799E-1,7.473313808E-2,1.381976092E-1
2.572378250E-1,8.449604362E-2,-1.019296646E-1,9.115111828E-2,1.607412961E-1
2.621503770E-1,8.370434493E-2,-1.062068939E-1,7.480978966E-2,1.545406947E-1
2.670629290E-1,7.134817541E-2,-8.709812164E-2,7.091605663E-2,1.330628874E-1
2.719754810E-1,6.859369576E-2,-8.490467072E-2,7.222092152E-2,1.308807079E-1
2.768880850E-1,7.290945202E-2,-1.015901566E-1,1.394764185E-1,1.873233019E-1
2.818006380E-1,1.052333787E-1,-9.225368500E-2,1.682682037E-1,2.188583898E-1
2.867131900E-1,1.275213063E-1,-8.789539337E-2,1.382912397E-1,2.076336936E-1
2.916257420E-1,1.095290855E-1,-7.667827606E-2,1.468404531E-1,1.985907784E-1
2.965383460E-1,1.106728762E-1,-4.462242126E-2,1.249133348E-1,1.727512293E-1
3.014508980E-1,1.188454628E-1,1.026916504E-2,1.057510376E-1,1.594144966E-1
3.063634500E-1,1.315965056E-1,1.480484009E-2,7.287514210E-2,1.511542587E-1
3.112760020E-1,1.065386757E-1,4.510879517E-2,8.991134167E-2,1.465242034E-1
3.161886060E-1,8.657306433E-2,6.545448303E-2,1.396657228E-1,1.768776384E-1
3.211011580E-1,7.154262811E-2,7.133865356E-2,1.956934929E-1,2.202350887E-1
3.260137100E-1,3.540173173E-2,6.067466736E-2,2.038112879E-1,2.155776865E-1
3.309262630E-1,-2.628080547E-2,4.319763184E-2,1.787238121E-1,1.857388412E-1
3.358388670E-1,2.818486840E-2,9.607315063E-3,1.421068907E-1,1.451931668E-1
3.407514190E-1,1.331619918E-2,-1.631259918E-2,1.035741568E-1,1.056930840E-1
3.456639710E-1,-3.916378319E-2,2.414226532E-2,5.141949654E-2,6.899721380E-2
3.505765230E-1,-9.098879248E-2,4.042530060E-2,2.348780632E-2,1.022978120E-1
3.554890750E-1,-1.092897952E-1,4.941844940E-2,-2.299630642E-2,1.221280990E-1
3.604016790E-1,-1.535799503E-1,2.767467499E-2,-6.885659695E-2,1.705693986E-1
3.653142310E-1,-1.905417740E-1,-3.141689301E-2,-9.992885590E-2,2.174372670E-1
3.702267830E-1,-1.848657429E-1,-6.368827820E-2,-1.045278311E-1,2.217151487E-1
3.751393350E-1,-1.914175004E-1,-9.314155579E-2,-9.481525421E-2,2.330363519E-1
3.800519400E-1,-1.910497248E-1,-8.681392670E-2,-9.461045265E-2,2.301907752E-1
3.849644920E-1,-1.908547878E-1,-7.591152191E-2,-1.083779335E-1,2.322367018E-1
3.898770440E-1,-1.623012722E-1,-4.161834717E-2,-1.123564243E-1,2.017368480E-1
3.947895960E-1,-1.314855218E-1,-3.854274750E-2,-1.184343100E-1,1.811095569E-1
3.997022000E-1,-8.407255262E-2,-7.096004486E-2,-1.006499529E-1,1.491104795E-1
4.046147520E-1,-1.146675348E-1,-6.520175934E-2,-7.824468613E-2,1.533693055E-1
4.095273040E-1,-1.065931693E-1,-3.356170654E-2,-1.057847738E-1,1.538795316E-1
4.144398560E-1,-1.243021861E-1,7.116317749E-3,-1.425986290E-1,1.893041057E-1
4.193524080E-1,-1.486617476E-1,7.565402985E-2,-1.486139297E-1,2.234053436E-1
4.242650130E-1,-1.749738604E-1,1.008615494E-1,-1.338551044E-1,2.422934026E-1
4.291775650E-1,-1.795287728E-1,1.282062531E-1,-1.080645323E-1,2.456529396E-1
4.340901170E-1,-1.459993869E-1,1.115131378E-2,-6.197535992E-2,1.590003711E-1
4.390026690E-1,-1.006922945E-1,1.152133942E-2,-5.033648014E-2,1.131611270E-1
4.439152730E-1,-1.004183963E-1,1.302118301E-1,-3.252267838E-2,1.676207017E-1
4.488278250E-1,-3.559872881E-2,1.979703903E-1,-2.076184750E-2,2.022142410E-1
4.537403770E-1,2.854223251E-1,9.009647369E-2,-1.072376966E-1,3.179358455E-1
4.586529810E-1,1.116567478E-1,2.367010117E-1,-6.317174435E-2,2.692308814E-1
4.635655330E-1,1.202246845E-1,2.184057236E-1,9.368145466E-2,2.663292132E-1
4.684780850E-1,2.236641943E-1,1.151876450E-1,1.942900419E-1,3.178718071E-1
4.733906380E-1,3.048999608E-1,5.577564240E-2,2.796173096E-1,4.174455032E-1
4.783031900E-1,4.230036139E-1,-3.863220215E-1,2.646045685E-1,6.310248326E-1
4.832157940E-1,3.856158257E-1,-3.288497925E-1,2.835175991E-1,5.807098932E-1
4.881283460E-1,3.554860651E-1,-1.397256851E-1,3.888977766E-1,5.451009909E-1
4.930408980E-1,3.776359260E-1,-7.143688202E-2,5.852246284E-1,7.001428329E-1
4.979534500E-1,4.707150459E-1,-1.440038681E-1,7.203228474E-1,8.724533070E-1
5.028660540E-1,5.680074096E-1,-1.996212006E-1,7.119518518E-1,9.323928788E-1
5.077786060E-1,6.366030574E-1,-1.910448074E-1,5.967224836E-1,8.932185027E-1
5.126911580E-1,6.935164332E-1,-9.044933319E-2,3.847067356E-1,7.982138795E-1
5.176037100E-1,7.480942607E-1,-7.632255554E-3,1.851910353E-1,7.707133019E-1
5.225163150E-1,8.428092003E-1,-1.805591583E-2,-2.893769741E-2,8.434991135E-1
5.274288670E-1,1.057901502E0,-1.158742905E-1,-1.945056915E-1,1.081857154E0
5.323414190E-1,1.216974735E0,-1.816101074E-1,-3.412139416E-1,1.276885544E0
5.372539710E-1,1.356268048E0,-2.463521957E-1,-4.649387598E-1,1.454757875E0
5.421665750E-1,1.521006823E0,-2.531776428E-1,-5.568472147E-1,1.639402176E0
