"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.136279167E-2,-3.011272572E-1,-2.571371555E-2,-1.056814720E0,1.099179773E0
2.132579168E-2,1.360550238E-1,9.278946519E-3,-8.325704187E-1,8.436649634E-1
3.128879167E-2,8.432920195E-2,-3.524116874E-2,-6.368179178E-1,6.433431547E-1
4.125279166E-2,-1.964646187E-2,-1.180260479E-1,-5.739819112E-1,5.863201905E-1
5.121579167E-2,7.127580464E-2,-1.133839434E-1,-4.315548476E-1,4.518581032E-1
6.117879167E-2,1.706677265E-1,-1.001025778E-1,-7.368186079E-2,2.111326965E-1
7.114179168E-2,1.843779854E-1,-6.829606354E-2,1.088956938E-1,2.247617982E-1
8.110579167E-2,-3.838225644E-2,-1.177687705E-1,1.533052236E-1,1.970917869E-1
9.106879168E-2,-2.972203305E-1,-2.410157973E-1,3.120366633E-2,3.839299522E-1
1.010317917E-1,-3.699224903E-1,-1.491899532E-1,-4.366064765E-2,4.012562063E-1
1.109957917E-1,-9.695958976E-2,5.478256345E-3,-3.734390058E-2,1.040468176E-1
1.209587917E-1,3.033510630E-1,1.339018232E-1,6.876851857E-2,3.386453526E-1
1.309217917E-1,4.526613592E-1,2.403322577E-1,1.075068339E-1,5.236598319E-1
1.408857917E-1,4.879818308E-1,2.362392068E-1,4.911003336E-3,5.421801804E-1
1.508487917E-1,2.881095279E-1,2.238355082E-1,-1.658445776E-1,4.007665888E-1
1.608117917E-1,2.709908905E-1,1.477357507E-1,-2.612507448E-1,4.043684785E-1
1.707757917E-1,3.188764073E-1,1.288352108E-1,-1.729724065E-1,3.849676974E-1
1.807387917E-1,3.950360622E-1,1.905964261E-1,-1.423972428E-2,4.388430902E-1
1.907017917E-1,4.994027220E-1,1.448823094E-1,1.212613124E-1,5.339459413E-1
2.006657917E-1,4.466020358E-1,9.117914200E-2,1.263969219E-1,4.730150063E-1
2.106287917E-1,3.513885708E-1,5.106256485E-2,1.188943595E-1,3.744558478E-1
2.205917917E-1,3.033391493E-1,-2.553245187E-2,1.400629612E-1,3.350883148E-1
2.305557917E-1,3.699822050E-1,-3.620011210E-3,-7.419020310E-3,3.700742876E-1
2.405187917E-1,5.700534593E-1,6.267396569E-2,-5.489716887E-2,5.761099475E-1
2.504817917E-1,7.750961626E-1,7.350183964E-2,2.020019319E-1,8.043515166E-1
2.604457917E-1,9.330652716E-1,3.911494911E-2,4.261777481E-1,1.026532149E0
2.704087917E-1,1.064605185E0,1.291690868E-1,4.040320035E-1,1.145997693E0
2.803717917E-1,1.300144773E0,3.208612812E-1,1.874126172E-1,1.352202603E0
2.903347917E-1,1.767048451E0,5.138527268E-1,7.401412882E-2,1.841733679E0
3.002987917E-1,2.305184079E0,8.162186801E-1,2.045356035E-1,2.453960347E0
3.102617917E-1,2.702227564E0,1.050849318E0,2.092571571E-1,2.906906716E0
3.202247917E-1,2.816574251E0,1.077480462E0,-1.296001728E-1,3.018418603E0
3.301887917E-1,2.685755373E0,1.255808845E0,-5.223399603E-1,3.010511055E0
3.401517917E-1,2.711835124E0,1.232038743E0,-6.872320265E-1,3.056837755E0
3.501147917E-1,2.902096505E0,1.262657688E0,-5.627307719E-1,3.214519324E0
3.600787917E-1,2.992079599E0,1.445685478E0,-3.801964867E-1,3.344711676E0
3.700417917E-1,3.216991579E0,1.496120052E0,-3.786371074E-1,3.568021313E0
3.800047917E-1,3.459778206E0,1.742857350E0,-3.230686051E-1,3.887414346E0
3.899687917E-1,3.480340524E0,1.926730063E0,-3.657614654E-1,3.994851731E0
3.999317917E-1,3.315684101E0,1.868895838E0,-3.688066953E-1,3.823944441E0
4.098947917E-1,3.141080687E0,1.841292887E0,-7.353970036E-2,3.641724243E0
4.198587917E-1,3.008149794E0,1.903103219E0,2.214739640E-1,3.566485351E0
4.298217917E-1,2.837368412E0,1.817497643E0,3.555095422E-1,3.388265666E0
4.397847917E-1,2.493543361E0,1.870630122E0,5.032277513E-1,3.157570857E0
4.497487917E-1,2.159048419E0,1.872619345E0,7.943385454E-1,2.966338991E0
4.597117917E-1,1.987773825E0,1.807704726E0,9.753453916E-1,2.858380623E0
4.696747917E-1,1.825043328E0,1.971764148E0,1.069279157E0,2.891711418E0
4.796387917E-1,1.735109351E0,1.901660711E0,1.154232695E0,2.821200282E0
4.896017917E-1,1.371137718E0,1.930783353E0,8.973487973E-1,2.532425292E0
4.995647917E-1,1.019596535E0,2.103062791E0,6.173266630E-1,2.417342013E0
5.095287917E-1,8.568378255E-1,1.988437484E0,6.268460763E-1,2.254105297E0
5.194917917E-1,4.496356809E-1,1.913475595E0,6.895065933E-1,2.083021949E0
5.294547917E-1,-2.030932416E-1,2.012416331E0,8.529158056E-1,2.195115424E0
5.394177917E-1,-5.761486700E-1,1.887963023E0,9.812429664E-1,2.204356919E0
5.493817917E-1,-9.196297587E-1,1.966130356E0,8.825016204E-1,2.343116852E0
5.593447917E-1,-1.168911619E0,2.037030185E0,8.342432340E-1,2.492349919E0
5.693077917E-1,-1.243376933E0,2.033726508E0,8.759917691E-1,2.539565177E0
5.792717917E-1,-1.209484863E0,2.095340958E0,8.440204364E-1,2.562357872E0
5.892347917E-1,-1.334347476E0,2.099663805E0,8.188616216E-1,2.619084885E0
5.991978333E-1,-1.616126991E0,2.038027720E0,8.915957218E-1,2.749612040E0
6.091618333E-1,-1.877105621E0,1.948123856E0,9.864030612E-1,2.879531744E0
6.191248333E-1,-2.137657404E0,1.902887456E0,1.369408550E0,3.172670740E0
6.290878333E-1,-2.141174797E0,1.795555381E0,1.769591405E0,3.307582558E0
6.390518333E-1,-2.350306604E0,1.760668554E0,2.077801650E0,3.597381629E0
6.490148333E-1,-2.514606786E0,1.716066577E0,2.161402801E0,3.733603334E0
6.589778333E-1,-2.532012193E0,1.719690097E0,1.896380675E0,3.600649863E0
6.689418333E-1,-2.567048709E0,1.790675880E0,1.545845944E0,3.490830684E0
6.789048333E-1,-2.523079401E0,1.667245835E0,1.517999749E0,3.383779186E0
6.888678333E-1,-2.669693071E0,1.428549628E0,1.682158574E0,3.463765668E0
6.988318333E-1,-2.844441789E0,1.321418697E0,1.667334713E0,3.552041879E0
7.087948333E-1,-2.800930611E0,1.165420246E0,1.648999014E0,3.452913897E0
7.187578333E-1,-2.850708250E0,9.613705462E-1,1.795580524E0,3.503552522E0
7.287218333E-1,-3.009143820E0,7.798642015E-1,2.167387426E0,3.789551815E0
7.386848333E-1,-3.141136820E0,3.789902061E-1,2.511587284E0,4.039609484E0
7.486478333E-1,-3.417912434E0,-2.395253420E-2,2.789141747E0,4.411576908E0
7.586118333E-1,-3.783043862E0,-3.696738374E-1,2.914764497E0,4.789982430E0
7.685748333E-1,-3.969469177E0,-7.632253647E-1,2.715894846E0,4.869834013E0
7.785378333E-1,-4.073446704E0,-1.067735492E0,2.367684821E0,4.831041145E0
7.885018333E-1,-3.955826746E0,-1.207443016E0,2.272432655E0,4.719156074E0
7.984648333E-1,-3.504549751E0,-1.275177746E0,2.165706790E0,4.312566886E0
