"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.924997196E-5,-1.655407562E0,1.056727524E1,-3.279679871E-1
1.002925000E-2,-4.453239441E-1,1.030442184E1,-1.085243225E-1
2.003924997E-2,4.611909485E-1,9.952054596E0,6.753955078E-1
3.004925000E-2,9.960287476E-1,9.847422180E0,1.733844452E0
4.005924996E-2,8.663983154E-1,9.779613190E0,2.586920471E0
5.006924999E-2,4.397854614E-1,9.693991241E0,3.055595856E0
6.007924996E-2,1.975891113E-1,9.865833893E0,3.118165741E0
7.008924999E-2,1.362167358E-2,1.006327332E1,2.907553711E0
8.009824995E-2,-4.257147217E-1,1.009964767E1,2.230062561E0
9.010824998E-2,-8.830137634E-1,1.019380188E1,1.455573120E0
1.001182499E-1,-1.149908752E0,1.027598099E1,5.792953491E-1
1.101282500E-1,-1.134041748E0,1.034408936E1,2.799179077E-2
1.201382499E-1,-8.587641907E-1,1.034753220E1,-1.899549866E-1
1.301482500E-1,-5.980064392E-1,1.014365616E1,2.739303589E-2
1.401582500E-1,-5.170248413E-1,1.010249176E1,9.725276184E-1
1.501682500E-1,-3.414399719E-1,1.036579422E1,1.921254730E0
1.601782500E-1,-3.637435913E-1,1.063089294E1,2.280956726E0
1.701882500E-1,-6.608757019E-1,1.081755478E1,2.168540497E0
1.801982500E-1,-1.128503265E0,1.078118042E1,1.984872437E0
1.902082500E-1,-1.503922577E0,1.056562866E1,1.949695587E0
2.002182500E-1,-1.568438416E0,1.058119629E1,1.919009399E0
2.102282500E-1,-1.213376770E0,1.050350784E1,1.868414612E0
2.202382500E-1,-6.481521606E-1,1.037028488E1,1.892664185E0
2.302482500E-1,-2.390528870E-1,1.038600220E1,1.928739166E0
2.402582500E-1,-1.193019104E-1,1.031205597E1,1.929188232E0
2.502682499E-1,-2.183958435E-1,1.011207184E1,1.658551025E0
2.602782500E-1,-5.397775269E-1,9.864636383E0,1.285377045E0
2.702872500E-1,-6.517446899E-1,9.658365326E0,1.032852173E0
2.802972500E-1,-4.004173279E-1,9.513017578E0,7.581733704E-1
2.903072500E-1,-9.684860229E-2,9.371262360E0,5.206173706E-1
3.003172500E-1,2.555186462E-1,9.200766907E0,5.150788879E-1
3.103272500E-1,4.917274475E-1,8.965905304E0,6.524931335E-1
3.203372500E-1,5.369334412E-1,8.788224792E0,1.062041473E0
3.303472500E-1,3.126997375E-1,8.653055878E0,1.466650085E0
3.403572500E-1,2.249821472E-1,8.449179840E0,1.570833435E0
3.503672500E-1,2.990780640E-1,8.363557892E0,1.384770355E0
3.603772499E-1,4.619393921E-1,8.313711548E0,1.128503265E0
3.703872500E-1,6.541397095E-1,8.267308044E0,9.172924805E-1
3.803972499E-1,8.640032959E-1,8.298592987E0,9.746232605E-1
3.904072500E-1,7.839198303E-1,8.362360382E0,1.382674713E0
4.004172500E-1,4.481680298E-1,8.324040070E0,2.143243103E0
4.104272500E-1,3.070115662E-1,8.340505829E0,2.609074402E0
4.204372500E-1,4.513114929E-1,8.457562408E0,2.529290314E0
4.304472500E-1,5.095404053E-1,8.641080780E0,2.148931274E0
4.404572500E-1,4.090992737E-1,8.854087830E0,1.748663635E0
4.504672500E-1,2.505789185E-1,9.030570831E0,1.448537750E0
4.604762500E-1,1.266366577E-1,9.213041382E0,1.269060974E0
4.704862499E-1,8.622070312E-2,9.389075317E0,1.293160858E0
4.804962500E-1,1.022373962E-1,9.511820068E0,1.469643860E0
4.905062499E-1,6.346801758E-2,9.590406647E0,1.606908417E0
5.005162500E-1,-6.526428223E-2,9.610764313E0,1.652862854E0
5.105262500E-1,-2.266287231E-1,9.577832794E0,1.478475494E0
5.205362500E-1,-3.582051086E-1,9.537716217E0,1.144669647E0
5.305462500E-1,-3.335064697E-1,9.638905792E0,8.482859802E-1
5.405562500E-1,-2.818638611E-1,9.610165558E0,7.214996338E-1
5.505662500E-1,-1.169068909E-1,9.535620575E0,6.978488159E-1
5.605762500E-1,1.317260742E-1,9.562414856E0,9.229806519E-1
5.705862500E-1,3.450325012E-1,9.641151123E0,1.321302338E0
5.805962500E-1,3.126997375E-1,9.686207428E0,1.610201569E0
5.906062500E-1,3.833528137E-1,9.907447357E0,1.482966156E0
6.006162500E-1,-7.664062500E-2,9.639654236E0,1.309925995E0
6.106262500E-1,-5.132826233E-1,9.605525208E0,1.111438751E0
6.206362500E-1,-6.026467896E-1,9.790690155E0,9.481283569E-1
6.306462500E-1,-5.863307190E-1,9.649683380E0,7.098239136E-1
6.406562499E-1,-2.649490356E-1,9.590107269E0,6.047424316E-1
6.506662500E-1,1.809736633E-1,9.638606415E0,7.381150818E-1
6.606752500E-1,4.303550720E-1,9.658515015E0,1.045575714E0
6.706852500E-1,4.308041382E-1,9.661359100E0,1.335373077E0
6.806952500E-1,3.044668579E-1,9.644593964E0,1.603764954E0
6.907052500E-1,2.844085693E-1,9.632169800E0,1.617985382E0
7.007152500E-1,4.692741394E-1,9.748627625E0,1.290167084E0
7.107252500E-1,3.926335144E-1,9.704170074E0,8.913963318E-1
7.207352500E-1,1.318757629E-1,9.674382019E0,7.183561707E-1
7.307452500E-1,-8.128097534E-2,9.722881165E0,7.402107239E-1
7.407552500E-1,-3.221301270E-1,9.696386261E0,9.150471497E-1
7.507652499E-1,-3.555107117E-1,9.769134979E0,1.199904785E0
7.607752500E-1,-1.793270874E-1,9.831854553E0,1.331481171E0
7.707852499E-1,-3.637435913E-2,9.885892181E0,1.346300354E0
7.807952500E-1,-5.912704468E-2,9.879455566E0,1.312171326E0
7.908052500E-1,-3.287164307E-1,9.828860779E0,1.153650970E0
8.008152500E-1,-5.650749207E-1,9.791887665E0,9.963281250E-1
8.108252500E-1,-6.098318481E-1,9.793234863E0,9.096583557E-1
8.208352500E-1,-6.286926270E-1,9.760602722E0,9.666897583E-1
8.308452500E-1,-6.786886597E-1,9.688303070E0,1.199156342E0
8.408552500E-1,-5.626799011E-1,9.728719025E0,1.293310547E0
8.508652500E-1,-4.487667847E-1,9.714947662E0,1.280736694E0
