"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.024249956E-3,-4.859999120E-1,-7.370088696E-1,3.290365338E-1
1.503424998E-2,-5.566197634E-1,-7.802886963E-1,2.140202075E-1
2.504424995E-2,-5.125297904E-1,-7.520006299E-1,4.501174763E-2
3.505424998E-2,-3.944450021E-1,-6.734783649E-1,-1.042974666E-1
4.506424995E-2,-2.191149741E-1,-4.780939221E-1,-2.096904665E-1
5.507424998E-2,1.602802426E-2,-2.363356799E-1,-2.707991898E-1
6.508424995E-2,2.647044063E-1,3.518876806E-2,-3.036437035E-1
7.509324996E-2,4.271282256E-1,2.937932909E-1,-2.885345519E-1
8.510324999E-2,4.624952674E-1,4.577558637E-1,-2.274704129E-1
9.511324996E-2,3.572697639E-1,4.738377631E-1,-1.495215297E-1
1.051232500E-1,1.506934166E-1,3.835781515E-1,-7.161154598E-2
1.151332500E-1,-7.259453088E-2,1.525846869E-1,-3.263007849E-3
1.251432500E-1,-2.520002425E-1,-1.902182102E-1,1.389067899E-2
1.351532500E-1,-3.231779933E-1,-4.787394702E-1,8.648926392E-3
1.451632500E-1,-2.830292284E-1,-5.323475599E-1,-9.537267499E-3
1.551732500E-1,-1.666730642E-1,-4.118503928E-1,-3.014590219E-2
1.651832500E-1,-3.750576451E-2,-2.537872493E-1,-1.837206818E-2
1.751932499E-1,7.632594556E-2,-1.359975487E-1,3.369191661E-2
1.852032500E-1,1.692827940E-1,-1.304741502E-1,1.261550039E-1
1.952132499E-1,2.388126999E-1,-1.846863776E-1,2.122089565E-1
2.052232500E-1,3.093433380E-1,-3.142912388E-1,2.616707683E-1
2.152332500E-1,3.479316831E-1,-3.623137474E-1,2.603907287E-1
2.252432500E-1,3.870287538E-1,-3.327230811E-1,2.291316092E-1
2.352532500E-1,4.434714615E-1,-2.495145202E-1,1.939100921E-1
2.452632500E-1,4.767798781E-1,-2.000060976E-1,1.632959843E-1
2.552732500E-1,4.673028290E-1,-1.952780783E-1,1.726617813E-1
2.652822500E-1,4.261101186E-1,-1.848302335E-1,2.119937390E-1
2.752922500E-1,3.538108468E-1,-1.564060599E-1,2.431708276E-1
2.853022499E-1,2.578944564E-1,-1.373415589E-1,2.580959797E-1
2.953122500E-1,1.555209756E-1,-1.337537915E-1,2.422182560E-1
3.053222499E-1,6.205520406E-2,-1.385831684E-1,1.880839169E-1
3.153322500E-1,2.478533983E-2,-1.453563571E-1,1.293517649E-1
3.253422500E-1,4.562830552E-2,-1.130333170E-1,1.074216962E-1
3.353522500E-1,7.934445888E-2,2.380693331E-4,9.954436123E-2
3.453622500E-1,1.111881435E-1,8.456866443E-2,1.073106676E-1
3.553722500E-1,8.868411183E-2,1.319051385E-1,9.584206343E-2
3.653822500E-1,2.862796746E-2,1.384876668E-1,7.059076428E-2
3.753922500E-1,-6.595149636E-2,1.121960655E-1,1.835107058E-2
3.854022500E-1,-1.156628579E-1,3.762000240E-3,-3.252596036E-2
3.954122500E-1,-4.990354553E-2,-5.698032677E-2,-4.618163407E-2
4.054222500E-1,7.468471676E-2,-3.135565668E-2,-3.466505930E-2
4.154322500E-1,1.989179999E-1,4.985903949E-2,-5.017291382E-2
4.254422500E-1,2.816501558E-1,1.570784450E-1,-7.307195663E-2
4.354522499E-1,3.113798201E-1,2.268238962E-1,-1.054832861E-1
4.454622500E-1,2.953148186E-1,2.098331898E-1,-1.300469488E-1
4.554712500E-1,2.455459237E-1,1.194123104E-1,-1.471807212E-1
4.654812500E-1,1.884956807E-1,3.951321542E-2,-1.569710374E-1
4.754912500E-1,1.544370651E-1,-1.708653755E-3,-1.627935469E-1
4.855012500E-1,1.542751491E-1,-3.160875291E-3,-1.651704162E-1
4.955112500E-1,1.747162193E-1,3.885867074E-2,-1.483089924E-1
5.055212500E-1,1.882956773E-1,7.906974107E-2,-1.133906916E-1
5.155312500E-1,1.750347614E-1,8.902822435E-2,-6.707862765E-2
5.255412500E-1,1.242592037E-1,8.754324913E-2,-1.975505240E-2
5.355512500E-1,5.467930064E-2,5.695186928E-2,2.152347565E-2
5.455612499E-1,-1.870862767E-2,3.325343132E-4,4.284048080E-2
5.555712500E-1,-7.172574103E-2,-4.966684803E-2,3.619533032E-2
5.655812499E-1,-7.078191638E-2,-6.580107659E-2,3.173463047E-3
5.755912500E-1,-2.528607659E-2,-2.762088552E-2,-2.907079086E-2
5.856012499E-1,1.821719110E-2,5.162573233E-2,-7.480578870E-2
5.956112500E-1,4.380827397E-2,1.356066763E-1,-7.175757736E-2
6.056212500E-1,4.620858282E-2,1.465549320E-1,-2.053833008E-2
6.156312500E-1,2.783115394E-2,1.085521951E-1,4.620324448E-2
6.256412500E-1,-2.614579536E-2,6.006801873E-2,1.238956451E-1
6.356512500E-1,-9.980931878E-2,-4.110578448E-4,1.765672863E-1
6.456612500E-1,-1.644173414E-1,-6.166908890E-2,1.797191352E-1
6.556712500E-1,-1.858222187E-1,-9.530889988E-2,1.453465819E-1
6.656802500E-1,-1.615863889E-1,-8.979295939E-2,1.069312841E-1
6.756902499E-1,-9.505641460E-2,-2.885764092E-2,8.109148592E-2
6.857002500E-1,-3.251098096E-4,4.601393640E-2,6.355057657E-2
6.957102499E-1,5.759733915E-2,1.139379367E-1,2.265039831E-2
7.057202500E-1,6.481557339E-2,1.343489438E-1,-1.669301093E-2
7.157302500E-1,4.329751804E-2,1.284997016E-1,-3.121806681E-2
7.257402500E-1,4.255842883E-3,9.188681841E-2,-1.922025904E-2
7.357502500E-1,-2.737133950E-2,2.409588173E-2,1.000680588E-2
7.457602500E-1,-2.672179416E-2,-2.839075960E-2,4.204356670E-2
7.557702500E-1,-9.414184839E-3,-5.414295197E-2,4.711819068E-2
7.657802500E-1,1.866192557E-2,-4.530365020E-2,2.363416925E-2
7.757902500E-1,4.248234630E-2,1.014920790E-2,-4.551474936E-3
7.858002500E-1,5.069154128E-2,6.497783214E-2,-1.094039809E-2
7.958102500E-1,3.456608951E-2,9.024525434E-2,9.416319430E-3
8.058202500E-1,-3.502465319E-3,6.690078974E-2,2.577904612E-2
8.158302500E-1,-3.913849592E-2,1.142708492E-2,2.935875952E-2
8.258402499E-1,-4.209087417E-2,-2.528805099E-2,2.708814666E-2
8.358502500E-1,-2.608716115E-2,-3.171422333E-2,1.248719636E-2
8.458602499E-1,-1.478470583E-2,-2.464512736E-2,-2.047554776E-2
8.558702500E-1,1.970696822E-2,2.067023888E-3,-6.243449450E-2
8.658802500E-1,7.882221788E-2,1.504620630E-2,-1.185739338E-1
8.758902500E-1,1.163988933E-1,1.280340645E-2,-1.931374222E-1
8.858992500E-1,1.662074775E-1,1.025852263E-1,-2.948182523E-1
8.959092500E-1,2.185143083E-1,2.131894529E-1,-3.432894051E-1
9.059192500E-1,2.631110549E-1,2.842663229E-1,-3.543247581E-1
9.159292500E-1,2.925968468E-1,3.117094338E-1,-3.486283720E-1
9.259392500E-1,2.909435630E-1,2.856642306E-1,-3.227682710E-1
9.359492499E-1,2.881836891E-1,2.661223710E-1,-3.323597014E-1
9.459592500E-1,2.701298594E-1,2.607774138E-1,-3.126363456E-1
9.559692499E-1,2.306743413E-1,2.654743195E-1,-2.493144423E-1
9.659792500E-1,1.917796731E-1,3.122522235E-1,-1.933885962E-1
9.759892499E-1,1.335602999E-1,3.631246388E-1,-1.375499368E-1
9.859992500E-1,7.502587885E-2,4.671913981E-1,-1.192782670E-1
9.960087500E-1,1.060350239E-2,5.906397700E-1,-1.054560170E-1
1.006018750E0,-4.226210713E-2,6.930982471E-1,-7.958500832E-2
1.016028750E0,-7.736736536E-2,7.515827417E-1,-3.181660548E-2
1.026038750E0,-1.196839288E-1,7.684954405E-1,2.684590966E-2
1.036048750E0,-1.850099713E-1,7.076978087E-1,8.845063299E-2
1.046058750E0,-2.766794562E-1,5.954629183E-1,1.542469561E-1
1.056068750E0,-3.580816388E-1,4.998579025E-1,2.050860077E-1
1.066078750E0,-3.791355193E-1,4.632903039E-1,2.464499772E-1
1.076088750E0,-3.207883239E-1,4.937357903E-1,2.464680672E-1
1.086098750E0,-2.027263939E-1,6.019155383E-1,1.934711486E-1
1.096108750E0,-6.836828589E-2,6.977492571E-1,9.607973695E-2
1.106118750E0,4.091665894E-2,7.811421156E-1,9.075058624E-3
1.116127750E0,1.106733456E-1,8.121290207E-1,-5.658397079E-2
1.126137750E0,1.394751668E-1,8.228299022E-1,-8.585530519E-2
1.136147750E0,1.330502927E-1,8.146526814E-1,-9.474908561E-2
1.146157750E0,1.097558811E-1,8.173632622E-1,-1.044616327E-1
1.156167750E0,7.977322489E-2,7.918100357E-1,-1.051869690E-1
1.166177750E0,1.112384722E-1,7.783637047E-1,-1.017416418E-1
1.176187750E0,1.681079268E-1,7.480646372E-1,-6.801065803E-2
1.186197750E0,1.783232838E-1,6.935859919E-1,-9.575309232E-3
1.196207750E0,1.400347054E-1,6.335954070E-1,2.548270114E-2
1.206217750E0,6.711602211E-2,6.140134335E-1,5.845556036E-2
1.216227750E0,-4.965591244E-3,6.169561148E-1,7.151517272E-2
1.226237750E0,-1.429730654E-2,6.724316478E-1,6.517977268E-2
1.236247750E0,4.842783883E-2,7.978231311E-1,4.892287031E-2
1.246257750E0,1.384336352E-1,8.913658261E-1,3.393886238E-2
1.256267750E0,2.230190635E-1,8.725010157E-1,2.922787517E-2
1.266277750E0,2.865215838E-1,7.838431001E-1,5.376597494E-2
1.276287750E0,2.789970934E-1,6.996818781E-1,7.041643560E-2
1.286297750E0,2.313358486E-1,6.232284307E-1,9.745098650E-2
1.296307750E0,1.852216423E-1,5.807554126E-1,9.892124683E-2
1.306317750E0,1.797112972E-1,5.905507803E-1,6.284766644E-2
1.316327750E0,2.035138160E-1,6.857612729E-1,5.043551791E-3
1.326337750E0,2.893312275E-1,7.600454092E-1,-9.916433692E-2
1.336347750E0,3.932949305E-1,8.912121654E-1,-1.542048156E-1
1.346357750E0,4.882667065E-1,9.227038026E-1,-1.520569772E-1
1.356366750E0,5.224454999E-1,8.354089856E-1,-1.368101835E-1
1.366376750E0,4.827148616E-1,6.247745156E-1,-9.709658474E-2
1.376386750E0,4.196746647E-1,4.260034263E-1,-7.310868055E-2
1.386396750E0,3.809714615E-1,3.596832752E-1,-5.808525532E-2
1.396406750E0,3.927311599E-1,3.987246752E-1,-5.831687525E-2
1.406416750E0,4.594161808E-1,5.598504543E-1,-5.160411075E-2
1.416426750E0,5.577670336E-1,7.240021825E-1,-3.347516060E-2
1.426436750E0,6.344540715E-1,8.266212344E-1,1.085129380E-2
1.436446750E0,6.298862100E-1,7.830746174E-1,7.529148459E-2
1.446456750E0,5.540322065E-1,6.220676303E-1,1.255511940E-1
1.456466750E0,4.795624614E-1,4.593721628E-1,1.754743904E-1
1.466476750E0,4.464854598E-1,3.683458567E-1,2.081140876E-1
1.476486750E0,4.617195427E-1,2.893255949E-1,2.157473862E-1
1.486496750E0,5.300133824E-1,2.269541174E-1,1.847710907E-1
1.496506750E0,6.366948485E-1,2.598412633E-1,1.707265675E-1
1.506516750E0,7.350467443E-1,3.414575756E-1,1.654708087E-1
1.516526750E0,7.959809303E-1,4.444391131E-1,1.588570625E-1
1.526536750E0,7.972502112E-1,5.160619020E-1,1.522273868E-1
1.536546750E0,7.376159430E-1,5.126041770E-1,1.389141977E-1
1.546556750E0,6.503428221E-1,4.206971228E-1,1.343985498E-1
1.556566750E0,5.917487144E-1,3.338466287E-1,1.446276456E-1
1.566576750E0,5.673509836E-1,2.349373400E-1,1.601522714E-1
1.576586750E0,5.774041414E-1,1.638989002E-1,1.794508398E-1
1.586596750E0,6.111945510E-1,1.188704297E-1,2.046411484E-1
1.596606750E0,6.485960484E-1,9.201288223E-2,2.092173696E-1
1.606616750E0,6.645544767E-1,6.807052344E-2,1.774519831E-1
1.616626750E0,6.524155140E-1,7.305130363E-2,1.162569672E-1
1.626636750E0,6.370179057E-1,1.343354285E-1,2.585650235E-2
1.636645750E0,6.505409479E-1,2.338040620E-1,-6.282150000E-2
1.646655750E0,7.026994824E-1,3.124852777E-1,-1.051782742E-1
1.656665750E0,7.434934974E-1,2.735524774E-1,-7.844197750E-2
1.666675750E0,7.472426891E-1,1.404839158E-1,-3.748294665E-3
1.676685750E0,7.073922157E-1,-4.881890863E-2,1.031353995E-1
1.686695750E0,5.951594114E-1,-2.195192724E-1,2.020119131E-1
1.696705750E0,4.621707201E-1,-2.727500498E-1,2.609803081E-1
1.706715750E0,3.571356237E-1,-2.235649377E-1,2.915222347E-1
1.716725750E0,3.120089173E-1,-1.966991276E-1,2.630063891E-1
1.726735750E0,3.179341853E-1,-1.817382872E-1,1.746056974E-1
1.736745750E0,3.717715740E-1,-1.140218377E-1,6.999405473E-2
1.746755750E0,4.744854271E-1,-7.959222794E-2,-7.250636816E-2
1.756765750E0,5.704450011E-1,-2.444647066E-2,-9.919493645E-2
1.766775750E0,6.130167246E-1,-6.917346269E-2,-9.014924616E-2
1.776785750E0,5.902346969E-1,-1.336423457E-1,-7.417732477E-2
1.786795750E0,5.529803038E-1,-1.547412425E-1,-4.530972242E-2
1.796805750E0,5.502340198E-1,-1.725246310E-1,-7.992133498E-3
1.806815750E0,5.593119264E-1,-2.037160993E-1,2.264487185E-2
1.816825750E0,5.658697486E-1,-2.410743982E-1,2.374500409E-2
1.826835750E0,5.646020770E-1,-2.282185405E-1,9.147686884E-3
1.836845750E0,5.400921702E-1,-1.823889315E-1,-4.025920294E-3
1.846855750E0,5.101835132E-1,-1.530254483E-1,-3.993163351E-3
1.856865750E0,5.013290644E-1,-1.827493161E-1,2.659898996E-2
1.866875750E0,5.013615489E-1,-2.476508021E-1,7.321442664E-2
