"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.609183700E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
5.100449300E-2,-2.899751067E-2,-3.853797913E-3,3.037965298E-2,4.217381532E-2
5.591720100E-2,-7.749539614E-2,-1.244354248E-2,4.370674491E-2,8.983683945E-2
6.082990900E-2,-1.314027607E-1,1.374816895E-2,4.713127017E-2,1.402749240E-1
6.574256600E-2,-1.880453378E-1,5.101966858E-2,3.726720810E-3,1.948793065E-1
7.065527400E-2,-2.621851563E-1,7.630348206E-2,-2.592578530E-2,2.742907653E-1
7.556798200E-2,-2.895529270E-1,4.687976837E-2,-7.227003574E-2,3.020952967E-1
8.048063900E-2,-3.231937885E-1,-5.059242249E-3,-1.036387980E-1,3.394419263E-1
8.539334700E-2,-3.617811501E-1,-5.765724182E-2,-8.387804031E-2,3.758264011E-1
9.030605500E-2,-3.548190892E-1,-5.398559570E-2,-4.314926267E-2,3.614870530E-1
9.521871200E-2,-3.073236644E-1,-2.506542206E-2,-6.068488955E-2,3.142590745E-1
1.001314200E-1,-2.473978102E-1,1.658821106E-2,-1.984298229E-2,2.487460335E-1
1.050441280E-1,-1.765197963E-1,2.419853210E-2,3.589314222E-2,1.817501722E-1
1.099568370E-1,-5.598217249E-2,-1.752090454E-2,9.505581856E-2,1.116986767E-1
1.148694930E-1,-5.934190005E-3,-9.641647339E-3,1.042616069E-1,1.048744900E-1
1.197822010E-1,5.494876951E-2,3.584098816E-2,1.294964254E-1,1.451663456E-1
1.246949090E-1,1.739311218E-1,4.272556305E-2,1.675164700E-1,2.452331066E-1
1.296075660E-1,3.012945056E-1,4.710674286E-2,1.543717682E-1,3.418012100E-1
1.345202740E-1,3.602890968E-1,7.181167603E-2,1.310319304E-1,3.900442499E-1
1.394329820E-1,3.477387428E-1,7.273387909E-2,1.159396172E-1,3.737036864E-1
1.443456910E-1,3.168287873E-1,9.431743622E-2,9.021243453E-2,3.426580549E-1
1.492583470E-1,2.428071797E-1,1.059980392E-1,8.618259430E-2,2.786007006E-1
1.541710550E-1,2.159612179E-1,1.036663055E-1,6.609448791E-2,2.485043900E-1
