"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.695620100E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
6.186833700E-2,3.728359938E-3,9.628295898E-3,3.403770924E-2,3.556923389E-2
6.678052400E-2,2.376034856E-3,8.084297180E-3,4.567417502E-2,4.644493155E-2
7.169265900E-2,2.825834602E-2,1.511096954E-2,2.069747448E-2,3.814788291E-2
7.660479500E-2,4.089048505E-2,2.938461304E-2,8.074492216E-3,5.099690849E-2
8.151693000E-2,5.675107986E-2,4.573822021E-3,6.406515837E-2,8.570851433E-2
8.642906600E-2,8.600736409E-2,-6.331443787E-3,5.692231655E-2,1.033320085E-1
9.134120100E-2,1.235211194E-1,-2.651596069E-2,3.567975760E-2,1.312768380E-1
9.625338900E-2,1.522122324E-1,-2.788734436E-2,1.579743624E-2,1.555500776E-1
1.011655240E-1,1.624534726E-1,-6.396770477E-2,-6.397575140E-2,1.859459459E-1
1.060776590E-1,1.884626895E-1,-1.039609909E-1,-1.150446832E-1,2.440519455E-1
1.109897950E-1,1.918499172E-1,-1.217365265E-1,-2.066116333E-1,3.071067235E-1
1.159019300E-1,1.873949170E-1,-1.279392242E-1,-2.661485374E-1,3.497432544E-1
1.208140660E-1,1.911767721E-1,-1.255455017E-1,-2.922212183E-1,3.710841840E-1
1.257262010E-1,1.734355986E-1,-8.147716522E-2,-3.117582798E-1,3.659394217E-1
1.306383890E-1,1.352887303E-1,-3.601551056E-2,-2.982335091E-1,3.294592288E-1
1.355505240E-1,1.183263585E-1,-6.094837189E-2,-2.668844461E-1,2.982333629E-1
1.404626590E-1,1.190740764E-1,-5.529308319E-2,-2.635951638E-1,2.944798314E-1
1.453747950E-1,1.366168857E-1,-5.916595459E-2,-2.300087810E-1,2.739869029E-1
1.502869300E-1,1.404645890E-1,-2.660465240E-2,-1.833700389E-1,2.325138264E-1
1.551990660E-1,1.221218109E-1,-2.488136292E-3,-1.649610698E-1,2.052610096E-1
1.601112530E-1,1.004888117E-1,9.111404419E-3,-1.139264703E-1,1.521849520E-1
1.650233890E-1,1.189393923E-1,2.252578735E-2,-1.023191810E-1,1.585030123E-1
1.699355240E-1,1.115540862E-1,3.084373474E-2,-4.351308942E-2,1.236488539E-1
1.748476590E-1,1.204962581E-1,7.795619965E-2,2.665436268E-2,1.459690801E-1
1.797597950E-1,1.198031679E-1,8.884906769E-2,5.749818683E-2,1.598530492E-1
1.846719300E-1,1.005040705E-1,8.563232422E-2,8.520108461E-2,1.571406630E-1
1.895840660E-1,1.369846910E-1,8.264160156E-2,8.928033710E-2,1.832086747E-1
1.944962530E-1,1.533692181E-1,6.597805023E-2,8.915868402E-2,1.892735880E-1
1.994083890E-1,1.618970186E-1,7.539939880E-2,4.788428545E-2,1.849016462E-1
2.043205240E-1,1.443991214E-1,7.531929016E-2,2.698248625E-2,1.650822713E-1
2.092326590E-1,1.017241478E-1,4.979991913E-2,1.409029961E-2,1.141331272E-1
