"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.704194300E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
5.195439100E-2,3.255817294E-2,-3.558158875E-3,1.543248631E-2,3.620575581E-2
5.686683900E-2,6.583215296E-2,2.001094818E-2,2.415767871E-2,7.292395938E-2
6.177928700E-2,7.463788986E-2,2.761363983E-2,4.052028805E-2,8.930409538E-2
6.669168300E-2,1.065777838E-1,5.658912659E-2,6.368102878E-2,1.364420268E-1
7.160413100E-2,1.304079890E-1,5.713939667E-2,6.345740706E-2,1.558781472E-1
7.651657800E-2,1.161216497E-1,5.307388306E-2,6.477122009E-2,1.431655879E-1
8.142902600E-2,6.031286716E-2,5.689430237E-2,8.809118718E-2,1.209738023E-1
8.634147400E-2,3.507363796E-2,5.906391144E-2,9.751345962E-2,1.192794220E-1
9.125387000E-2,3.423589468E-2,7.253074646E-2,1.376693249E-1,1.593287440E-1
9.616631800E-2,-3.531128168E-3,9.421730042E-2,1.542636901E-1,1.807945095E-1
1.010787660E-1,-5.850464106E-2,1.236715317E-1,1.516132206E-1,2.042155954E-1
1.059912140E-1,-1.568065137E-1,1.163806915E-1,1.420394182E-1,2.414703800E-1
1.109036100E-1,-1.962441802E-1,9.030246735E-2,1.078498363E-1,2.414495829E-1
1.158160580E-1,-2.746364176E-1,6.866264343E-2,8.575765789E-2,2.957940100E-1
1.207285060E-1,-3.383770585E-1,5.990409851E-2,4.976375401E-2,3.472232221E-1
1.256409530E-1,-4.111737609E-1,8.344841003E-2,4.964339733E-2,4.224830951E-1
1.305534010E-1,-4.135940671E-1,5.170631409E-2,3.349637985E-2,4.181573899E-1
1.354657970E-1,-4.013360739E-1,3.313922882E-2,4.279285669E-2,4.049692350E-1
1.403782450E-1,-3.336600661E-1,-9.431838989E-3,7.408906519E-2,3.419169327E-1
1.452906930E-1,-2.467046678E-1,-3.632640839E-2,1.356330365E-1,2.838646185E-1
1.502031410E-1,-1.590382755E-1,-3.009986877E-2,1.876835376E-1,2.478392331E-1
1.551155890E-1,-9.770149738E-2,-3.108978271E-2,1.965757161E-1,2.217073958E-1
1.600279850E-1,-6.139614433E-2,-4.587078094E-2,1.754153371E-1,1.914266323E-1
1.649404330E-1,-3.763154149E-2,-6.703662872E-2,1.573951393E-1,1.751664134E-1
1.698528810E-1,-3.971341252E-2,-7.138538361E-2,1.631742865E-1,1.824797959E-1
1.747653280E-1,-5.079914629E-2,-8.490657806E-2,1.482609212E-1,1.782441613E-1
1.796777760E-1,-4.069793224E-2,-7.728385925E-2,1.548925489E-1,1.778224348E-1
1.845901720E-1,-6.823626161E-2,-1.000709534E-1,1.338983327E-1,1.805523376E-1
1.895026200E-1,-8.610361069E-2,-1.175861359E-1,1.069346964E-1,1.807632718E-1
1.944150680E-1,-1.063679904E-1,-9.295845032E-2,7.878284156E-2,1.617472070E-1
1.993275160E-1,-1.267901063E-1,-6.455612183E-2,6.811287999E-2,1.577421578E-1
2.042399640E-1,-1.381455660E-1,-4.172134399E-2,5.826283991E-2,1.556259183E-1
2.091523600E-1,-1.428978443E-1,-4.051494598E-2,5.173692107E-2,1.572830689E-1
2.140648080E-1,-1.271684021E-1,-6.031703949E-2,2.275723219E-2,1.425757320E-1
2.189772560E-1,-1.287903786E-1,-1.075506210E-1,-1.430840790E-2,1.684007964E-1
2.238897030E-1,-1.775713414E-1,-9.534740448E-2,-6.208476424E-2,2.108962465E-1
2.288021510E-1,-2.071160376E-1,-5.788326263E-2,-9.017208219E-2,2.331920443E-1
2.337145470E-1,-1.944481134E-1,-8.438968658E-2,-1.528813094E-1,2.613510719E-1
2.386269950E-1,-1.753867716E-1,-1.079454422E-1,-1.630869508E-1,2.626977191E-1
2.435394430E-1,-1.780532300E-1,-1.403293610E-1,-1.665157676E-1,2.812877230E-1
2.484518910E-1,-1.221812069E-1,-1.509847641E-1,-1.516436934E-1,2.464152107E-1
2.533643390E-1,-3.230665624E-2,-1.544580460E-1,-9.309525788E-2,1.832149968E-1
2.582767350E-1,4.658214003E-2,-1.579370499E-1,-3.621909767E-2,1.685996160E-1
2.631891830E-1,1.664826274E-1,-1.497173309E-1,-2.059957385E-2,2.248468075E-1
2.681016310E-1,2.682111263E-1,-1.230201721E-1,-1.005201042E-2,2.952494097E-1
2.730140780E-1,3.639287949E-1,-7.821273804E-2,-1.379914582E-2,3.724940490E-1
2.779264740E-1,4.653580785E-1,-5.078983307E-2,1.296973228E-2,4.683011449E-1
2.828389220E-1,5.583354831E-1,-5.209732056E-2,-3.121871501E-2,5.616291042E-1
2.877513700E-1,6.757744551E-1,-6.044006348E-2,-7.937345654E-2,6.830990126E-1
2.926638180E-1,7.514427900E-1,-3.108596802E-2,-8.702664077E-2,7.571038504E-1
2.975762660E-1,8.873532414E-1,-6.101226807E-2,-1.137418747E-1,8.966914107E-1
3.024887140E-1,1.005203247E0,-6.691265106E-2,-1.124010682E-1,1.013678880E0
3.074011100E-1,1.082020760E0,-9.293556213E-3,-1.070547402E-1,1.087343557E0
3.123135580E-1,1.201005936E0,2.375221252E-2,-3.425070643E-2,1.201728978E0
3.172260060E-1,1.255550027E0,5.384635925E-2,-3.311902285E-3,1.256708506E0
3.221384530E-1,1.345455647E0,4.342365265E-2,4.800204933E-2,1.347011769E0
3.270508490E-1,1.458307981E0,1.670360565E-2,8.409999311E-2,1.460826474E0
3.319632970E-1,1.572450519E0,-1.678466797E-4,1.055085957E-1,1.575986271E0
3.368757450E-1,1.699509859E0,1.853942871E-2,9.821829200E-2,1.702446564E0
3.417881930E-1,1.810777903E0,3.693962097E-2,9.085436165E-2,1.813432012E0
