"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.732860200E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
6.224105000E-2,5.787122250E-2,-5.152702332E-3,-7.407224178E-2,9.413992637E-2
6.715344600E-2,1.317942739E-1,9.355545044E-4,-1.340779066E-1,1.880092841E-1
7.206584200E-2,1.807225943E-1,1.825809479E-2,-1.765551567E-1,2.533095684E-1
7.697828900E-2,1.749991179E-1,2.764320374E-2,-2.037503719E-1,2.700056518E-1
8.189068500E-2,2.220338583E-1,5.861282349E-2,-2.097470164E-1,3.110117493E-1
8.680308100E-2,2.467504740E-1,6.636714935E-2,-1.869077086E-1,3.165831431E-1
9.171552900E-2,2.490265369E-1,8.505725861E-2,-1.486862302E-1,3.022524580E-1
9.662792500E-2,3.131544590E-1,8.176803589E-2,-1.136316061E-1,3.430216739E-1
1.015403730E-1,3.130575418E-1,1.185998917E-1,-4.526865482E-2,3.378168289E-1
1.064527690E-1,3.037686348E-1,1.815538406E-1,4.431235790E-2,3.566521633E-1
1.113651640E-1,2.260488272E-1,2.582921982E-1,7.830202579E-2,3.520570112E-1
1.162776120E-1,1.607873440E-1,3.021669388E-1,1.035518646E-1,3.576037158E-1
1.211900080E-1,1.260882616E-1,3.379850388E-1,1.343137026E-1,3.849315612E-1
1.261024040E-1,9.256851673E-2,3.641653061E-1,1.503336430E-1,4.047042187E-1
1.310148000E-1,6.417489052E-2,3.611183167E-1,1.705635786E-1,4.044957225E-1
1.359272480E-1,6.946313381E-2,3.866863251E-1,2.016156912E-1,4.415884146E-1
1.408396440E-1,5.194199085E-2,4.099540710E-1,2.565762997E-1,4.864069370E-1
1.457520920E-1,7.118713856E-2,4.537611008E-1,2.915588617E-1,5.440342959E-1
1.506644870E-1,1.069873571E-1,4.831008911E-1,3.282144070E-1,5.937654946E-1
1.555768830E-1,1.424664259E-1,4.850149155E-1,4.147080183E-1,6.538492878E-1
1.604893310E-1,1.820846796E-1,4.926376343E-1,4.945279360E-1,7.213907046E-1
1.654017270E-1,2.257554531E-1,4.689779282E-1,5.501528978E-1,7.573467057E-1
1.703141230E-1,2.413402796E-1,4.587221146E-1,5.645720959E-1,7.664285749E-1
1.752265710E-1,2.393472195E-1,4.818601608E-1,5.556037426E-1,7.734156870E-1
1.801389670E-1,2.805536985E-1,4.887332916E-1,4.963630438E-1,7.509639667E-1
1.850513620E-1,2.877353430E-1,4.752893448E-1,4.111827612E-1,6.912039149E-1
1.899638100E-1,2.970319986E-1,4.606657028E-1,3.370956182E-1,6.434860945E-1
1.948762060E-1,3.155393600E-1,4.679756165E-1,2.267515659E-1,6.082618992E-1
1.997886020E-1,3.132805824E-1,4.710111618E-1,1.153409481E-1,5.773212036E-1
2.047009980E-1,3.419376612E-1,4.652881622E-1,6.020772457E-2,5.805509522E-1
2.096134460E-1,3.660656214E-1,4.973859787E-1,5.473530293E-2,6.199941970E-1
2.145258420E-1,3.766943216E-1,5.150880814E-1,3.009641171E-2,6.388428113E-1
2.194382370E-1,4.207625389E-1,5.582456589E-1,6.152832508E-2,7.017585515E-1
2.243506850E-1,4.601968527E-1,5.912084579E-1,1.037503481E-1,7.563548894E-1
2.292630810E-1,4.603649378E-1,5.955848694E-1,1.568870544E-1,7.689413244E-1
2.341755290E-1,4.455131292E-1,6.373081207E-1,2.070637941E-1,8.046856553E-1
2.390879250E-1,4.019449949E-1,6.617870331E-1,2.592914104E-1,8.165499933E-1
2.440003210E-1,3.605232239E-1,6.858129501E-1,3.323029280E-1,8.430549410E-1
2.489127690E-1,2.717531919E-1,7.327833176E-1,3.931326866E-1,8.748568438E-1
2.538251640E-1,1.433502436E-1,8.138895035E-1,4.259064198E-1,9.297105434E-1
2.587375600E-1,8.105766773E-2,8.700046539E-1,4.500117302E-1,9.828473944E-1
2.636499560E-1,-8.119702339E-3,9.134473801E-1,4.517954588E-1,1.019103126E0
2.685624040E-1,-1.120445728E-1,9.188108444E-1,4.574484825E-1,1.032485578E0
2.734748000E-1,-1.767096519E-1,9.478445053E-1,4.127599001E-1,1.048811824E0
2.783872480E-1,-2.709642649E-1,9.860134125E-1,3.678238392E-1,1.086709924E0
2.832996440E-1,-3.543457985E-1,1.058903694E0,3.413171768E-1,1.167619541E0
2.882120390E-1,-4.270582199E-1,1.118957520E0,3.162964582E-1,1.238744567E0
2.931244870E-1,-4.750368595E-1,1.114814758E0,3.255741596E-1,1.254779063E0
2.980368830E-1,-4.961662292E-1,1.122763634E0,3.450050354E-1,1.275071597E0
3.029492790E-1,-5.493942499E-1,1.116689682E0,3.274340630E-1,1.286873325E0
3.078617270E-1,-6.150548458E-1,1.127327919E0,3.486082554E-1,1.330672167E0
3.127741230E-1,-6.714483500E-1,1.081486702E0,4.053629637E-1,1.335954904E0
3.176865190E-1,-7.372499704E-1,1.045957565E0,4.285910130E-1,1.349538811E0
3.225989670E-1,-8.684301376E-1,1.006401062E0,3.810400963E-1,1.382825208E0
3.275113620E-1,-9.884514809E-1,1.007522583E0,3.648849726E-1,1.457833711E0
3.324237580E-1,-1.168136120E0,1.041554451E0,3.183569908E-1,1.597100135E0
3.373362060E-1,-1.366662502E0,1.018589973E0,3.335523605E-1,1.736821553E0
3.422486020E-1,-1.558121204E0,1.022000313E0,3.340389729E-1,1.893094916E0
3.471609980E-1,-1.775924325E0,1.065546036E0,3.222310543E-1,2.095979106E0
3.520734460E-1,-1.998966455E0,1.087444305E0,3.383171558E-1,2.300621765E0
3.569858420E-1,-2.223098516E0,1.109343529E0,3.983390331E-1,2.516244039E0
3.618982370E-1,-2.448949814E0,1.147835732E0,4.897849560E-1,2.748594434E0
3.668106850E-1,-2.592360258E0,1.214554787E0,5.838922262E-1,2.921712712E0
3.717230810E-1,-2.697413206E0,1.311421394E0,6.928615570E-1,3.078298429E0
3.766354770E-1,-2.750904560E0,1.376644135E0,8.077467680E-1,3.180421326E0
3.815479250E-1,-2.779849768E0,1.398830414E0,9.174803495E-1,3.244389226E0
3.864603210E-1,-2.803643942E0,1.380868912E0,9.993016720E-1,3.281131228E0
3.913727170E-1,-2.772800922E0,1.403460503E0,1.044604063E0,3.278616169E0
3.962851640E-1,-2.746876240E0,1.397523880E0,1.101335168E0,3.272818544E0
4.011975600E-1,-2.690119267E0,1.379895210E0,1.183757663E0,3.246865360E0
4.061099560E-1,-2.630944252E0,1.315272331E0,1.220719099E0,3.184645048E0
4.110224040E-1,-2.616170406E0,1.258527756E0,1.201065302E0,3.141782546E0
4.159348000E-1,-2.628278494E0,1.157578468E0,1.167805552E0,3.100258950E0
4.208471960E-1,-2.661978006E0,1.086237907E0,1.073514819E0,3.068953203E0
4.257596440E-1,-2.728533745E0,9.780054092E-1,9.845733643E-1,3.061172273E0
4.306720390E-1,-2.787150145E0,9.042797089E-1,8.365231752E-1,3.047244451E0
4.355844350E-1,-2.873295069E0,8.103389740E-1,6.979213953E-1,3.065871504E0
4.404968830E-1,-2.989105940E0,7.437915802E-1,5.514063835E-1,3.129221826E0
4.454092790E-1,-3.018305779E0,6.948852539E-1,4.461705685E-1,3.129233687E0
4.503216750E-1,-3.011491776E0,7.178287506E-1,4.189829826E-1,3.124085077E0
4.552341230E-1,-2.933384657E0,7.597503662E-1,4.401545525E-1,3.061976844E0
4.601465190E-1,-2.879256725E0,8.227491379E-1,5.164185762E-1,3.038704260E0
4.650589140E-1,-2.811094522E0,8.805351257E-1,5.433446169E-1,2.995466223E0
4.699713100E-1,-2.769358158E0,9.023694992E-1,6.142687798E-1,2.976733353E0
4.748837580E-1,-2.720735788E0,9.122629166E-1,6.701700687E-1,2.946821131E0
4.797961540E-1,-2.717305183E0,8.629693985E-1,7.187405825E-1,2.940246872E0
4.847086020E-1,-2.642654657E0,8.758440018E-1,8.005057573E-1,2.896814772E0
4.896209980E-1,-2.585158348E0,9.075670242E-1,8.655253649E-1,2.873300497E0
4.945333940E-1,-2.596760273E0,9.366331100E-1,9.211575985E-1,2.910150652E0
4.994457890E-1,-2.648448706E0,9.654493332E-1,9.888634682E-1,2.987343957E0
5.043582370E-1,-2.711551666E0,9.964036942E-1,1.063816547E0,3.078479886E0
5.092706330E-1,-2.809987068E0,9.939441681E-1,1.112981319E0,3.181615902E0
5.141830290E-1,-2.886561632E0,9.347410202E-1,1.202994585E0,3.263920159E0
5.190954770E-1,-2.906053782E0,8.762416840E-1,1.335743308E0,3.316196353E0
5.240078730E-1,-2.871330500E0,8.492002487E-1,1.489650249E0,3.344359097E0
5.289203210E-1,-2.823031187E0,8.129682541E-1,1.631626487E0,3.360450484E0
