"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.490237200E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
5.981476800E-2,-2.519237995E-2,6.380081177E-3,8.941531181E-3,2.748294786E-2
6.472716400E-2,-5.429935455E-2,-1.907348633E-6,1.999312639E-2,5.786315763E-2
6.963950700E-2,-8.918339014E-2,-3.531932831E-2,3.149902821E-2,1.009619770E-1
7.455190300E-2,-1.063612700E-1,-6.599712372E-2,4.001170397E-2,1.314126194E-1
7.946424700E-2,-8.289361000E-2,-1.045064926E-1,5.460572243E-2,1.441344598E-1
8.437664300E-2,-6.626832485E-2,-1.326055527E-1,8.126461506E-2,1.690552015E-1
8.928903900E-2,-5.167543888E-3,-1.540603638E-1,1.087439060E-1,1.886439405E-1
9.420138200E-2,2.753418684E-2,-1.440238953E-1,1.136667728E-1,1.855293753E-1
9.911377800E-2,4.596686363E-2,-1.155195236E-1,9.083700180E-2,1.539775106E-1
1.040261740E-1,5.808812380E-2,-8.223152161E-2,4.763281345E-2,1.113783560E-1
1.089385180E-1,6.861472130E-2,-5.681514740E-2,-1.840722561E-2,9.096574579E-2
1.138509140E-1,6.852400303E-2,-4.029369354E-2,-9.619438648E-2,1.247897461E-1
1.187632570E-1,6.033158302E-2,-2.946186066E-2,-1.641540527E-1,1.773540362E-1
1.236756530E-1,4.857546091E-2,-3.269100189E-2,-2.170597315E-1,2.248181577E-1
1.285880490E-1,3.518456221E-2,-4.909038544E-2,-2.494935393E-1,2.566999134E-1
1.335003930E-1,1.777338982E-2,-7.125473022E-2,-2.625921369E-1,2.726678571E-1
1.384127890E-1,-1.527786255E-3,-9.222412109E-2,-2.617163658E-1,2.774942860E-1
1.433251840E-1,-2.491724491E-2,-1.054172516E-1,-2.583823204E-1,2.801697513E-1
1.482375280E-1,-5.209237337E-2,-1.090469360E-1,-2.590132952E-1,2.858194127E-1
1.531499240E-1,-6.894767284E-2,-1.036167145E-1,-2.584428191E-1,2.868499536E-1
1.580623200E-1,-7.801151276E-2,-9.182929993E-2,-2.494081259E-1,2.769888621E-1
1.629746640E-1,-8.639329672E-2,-8.080101013E-2,-2.295592427E-1,2.582441691E-1
1.678870590E-1,-9.414726496E-2,-5.897712708E-2,-2.014060020E-1,2.300138837E-1
1.727994550E-1,-1.013693511E-1,-3.589630127E-2,-1.673610210E-1,1.989321522E-1
1.777117990E-1,-1.083239615E-1,-1.612377167E-2,-1.274126172E-1,1.680119986E-1
1.826241950E-1,-1.176591814E-1,9.790420532E-3,-8.412235975E-2,1.449693302E-1
1.875365910E-1,-1.249515414E-1,3.478240967E-2,-3.974592686E-2,1.356556023E-1
1.924489340E-1,-1.443252861E-1,5.897331238E-2,3.332138062E-3,1.559446791E-1
1.973613300E-1,-1.617398262E-1,8.477497101E-2,3.825783730E-2,1.865749962E-1
2.022736740E-1,-1.773661077E-1,1.121921539E-1,5.607479811E-2,2.172330512E-1
2.071860700E-1,-1.726388931E-1,1.319417953E-1,7.129228115E-2,2.286819060E-1
2.120984660E-1,-1.431462467E-1,1.465845108E-1,8.403974771E-2,2.214510012E-1
2.170108090E-1,-1.007772386E-1,1.585807800E-1,9.216576815E-2,2.092807789E-1
2.219232050E-1,-5.723527074E-2,1.633472443E-1,1.005530357E-1,2.001727040E-1
2.268356010E-1,-7.675707340E-3,1.564216614E-1,1.138711572E-1,1.936318493E-1
2.317479450E-1,3.849518299E-2,1.520748138E-1,1.180576086E-1,1.963319308E-1
2.366603410E-1,7.439345121E-2,1.362266541E-1,1.158204079E-1,1.936658301E-1
2.415727360E-1,9.557634592E-2,1.161537170E-1,1.189556718E-1,1.917732404E-1
2.464850800E-1,1.256527901E-1,9.660530090E-2,1.156224012E-1,1.961880411E-1
2.513974760E-1,1.573266983E-1,7.756710052E-2,1.081077456E-1,2.060476395E-1
2.563098720E-1,1.882512569E-1,6.837272644E-2,9.157544374E-2,2.202258553E-1
2.612222160E-1,2.044132352E-1,5.710697174E-2,6.838524342E-2,2.229854669E-1
2.661346110E-1,2.037847042E-1,4.148864746E-2,3.604555130E-2,2.110658554E-1
2.710470070E-1,1.869934797E-1,3.566360474E-2,-5.616843700E-3,1.904468511E-1
2.759593510E-1,1.543859243E-1,3.708267212E-2,-5.190712214E-2,1.670463634E-1
2.808717470E-1,1.157724857E-1,3.622627258E-2,-9.823894501E-2,1.560977309E-1
2.857841430E-1,8.061748743E-2,3.080844879E-2,-1.353881955E-1,1.605562309E-1
2.906964860E-1,5.129355192E-2,3.028964996E-2,-1.588929296E-1,1.696922344E-1
2.956088820E-1,3.927451372E-2,2.987289429E-2,-1.642086506E-1,1.714624104E-1
3.005212780E-1,3.488492966E-2,3.423023224E-2,-1.538590789E-1,1.614350745E-1
3.054336740E-1,3.324061632E-2,3.620147705E-2,-1.231352687E-1,1.325812200E-1
3.103460180E-1,3.905719519E-2,4.050350189E-2,-8.387994766E-2,1.010041770E-1
3.152584140E-1,4.747253656E-2,5.176830292E-2,-4.766082764E-2,8.488317505E-2
3.201707570E-1,5.115926266E-2,5.811309814E-2,-1.181620359E-2,7.832001659E-2
3.250831530E-1,5.711656809E-2,6.197834015E-2,1.909458637E-2,8.641886499E-2
3.299955490E-1,5.818295479E-2,6.339454651E-2,4.066222906E-2,9.517111761E-2
3.349078930E-1,5.425351858E-2,6.712245941E-2,5.302798748E-2,1.012957862E-1
3.398202890E-1,4.318034649E-2,5.898571014E-2,5.878698826E-2,9.380706963E-2
3.447326840E-1,3.210139275E-2,4.860019684E-2,5.802869797E-2,8.221805359E-2
3.496450800E-1,1.626372337E-2,4.071903229E-2,4.836714268E-2,6.528344950E-2
3.545574240E-1,2.883434296E-3,2.588081360E-2,3.218418360E-2,4.139990797E-2
3.594698200E-1,-8.289009333E-3,1.362514496E-2,2.134412527E-2,2.664439781E-2
3.643822160E-1,-1.495987177E-2,-8.077621460E-4,1.105558872E-2,1.861924502E-2
3.692945590E-1,-2.186545730E-2,-1.738452911E-2,-3.534674644E-3,2.815695296E-2
3.742069550E-1,-3.352585435E-2,-3.137493134E-2,-2.235323191E-2,5.106893579E-2
3.791193510E-1,-5.932006240E-2,-4.989433289E-2,-3.361916542E-2,8.449001444E-2
3.840316950E-1,-9.420362115E-2,-6.580448151E-2,-3.987240791E-2,1.216320720E-1
3.889440910E-1,-1.260643899E-1,-8.150100708E-2,-4.845023155E-2,1.577405132E-1
3.938564860E-1,-1.573102474E-1,-8.990383148E-2,-5.470579863E-2,1.892668414E-1
3.987688820E-1,-1.761687696E-1,-9.583187103E-2,-6.582087278E-2,2.110724288E-1
4.036812260E-1,-1.875346601E-1,-1.063861847E-1,-7.719665766E-2,2.290122114E-1
4.085936220E-1,-1.986997128E-1,-1.191358566E-1,-9.360384941E-2,2.498731855E-1
4.135060180E-1,-1.978893429E-1,-1.316747665E-1,-1.104408503E-1,2.620984883E-1
4.184183610E-1,-1.921785027E-1,-1.463546753E-1,-1.279335022E-1,2.733482190E-1
4.233307570E-1,-1.839317530E-1,-1.537055969E-1,-1.437169313E-1,2.794831957E-1
4.282431530E-1,-1.777824014E-1,-1.561698914E-1,-1.509303451E-1,2.806698885E-1
4.331554970E-1,-1.737769693E-1,-1.514596939E-1,-1.447912455E-1,2.722186230E-1
4.380678930E-1,-1.718970239E-1,-1.302061081E-1,-1.254884005E-1,2.494986093E-1
4.429802890E-1,-1.746115535E-1,-9.499168396E-2,-9.288704395E-2,2.194097026E-1
4.478926840E-1,-1.773212850E-1,-4.836177826E-2,-5.157929659E-2,1.908982021E-1
4.528050280E-1,-1.755741984E-1,-2.316474915E-3,-5.784571171E-3,1.756847360E-1
4.577174240E-1,-1.744772047E-1,3.603363037E-2,5.438601971E-2,1.862754858E-1
4.626298200E-1,-1.694786698E-1,7.621574402E-2,1.221123338E-1,2.223584521E-1
4.675422160E-1,-1.607787162E-1,1.158132553E-1,1.811806560E-1,2.684938282E-1
4.724545590E-1,-1.698578298E-1,1.500844955E-1,2.367131710E-1,3.277348982E-1
4.773669550E-1,-1.894699037E-1,1.790809631E-1,2.865853310E-1,3.874273967E-1
4.822793510E-1,-2.170396298E-1,1.981344223E-1,3.237138987E-1,4.372117775E-1
4.871916950E-1,-2.403891236E-1,2.073793411E-1,3.432787657E-1,4.675825412E-1
4.921040910E-1,-2.616447210E-1,2.022228241E-1,3.379373550E-1,4.728146429E-1
4.970164860E-1,-2.780083418E-1,1.852321625E-1,3.027033806E-1,4.508091933E-1
5.019288820E-1,-2.776998580E-1,1.542253494E-1,2.467414737E-1,4.022238486E-1
5.068412260E-1,-2.726170421E-1,1.094007492E-1,1.768149734E-1,3.428587324E-1
5.117536220E-1,-2.555906177E-1,6.279182434E-2,9.957557917E-2,2.813977132E-1
5.166660180E-1,-2.288094163E-1,1.208496094E-2,2.636241913E-2,2.306399194E-1
5.215783610E-1,-1.969545484E-1,-2.608966827E-2,-4.546612501E-2,2.038110238E-1
5.264907570E-1,-1.764085591E-1,-5.187129974E-2,-1.065548658E-1,2.125195306E-1
5.314031530E-1,-1.646839529E-1,-6.540870667E-2,-1.450340748E-1,2.289846853E-1
5.363155490E-1,-1.569797695E-1,-6.448173523E-2,-1.655933857E-1,2.371111798E-1
5.412278930E-1,-1.674428284E-1,-6.112384796E-2,-1.799253821E-1,2.532713342E-1
5.461402890E-1,-1.842099279E-1,-6.013202667E-2,-1.781860590E-1,2.632478486E-1
5.510526840E-1,-2.073815465E-1,-6.626796722E-2,-1.529296041E-1,2.660564096E-1
5.559650800E-1,-2.348351181E-1,-7.475280762E-2,-1.229773164E-1,2.754250084E-1
5.608774240E-1,-2.667838931E-1,-8.081722260E-2,-8.591306210E-2,2.916952576E-1
5.657898200E-1,-3.105447888E-1,-8.686161041E-2,-5.591595173E-2,3.272760286E-1
5.707022160E-1,-3.638604581E-1,-8.339786530E-2,-3.288716078E-2,3.747415139E-1
5.756145590E-1,-4.246882796E-1,-7.288169861E-2,-1.192414761E-2,4.310615526E-1
5.805269550E-1,-4.929461181E-1,-6.011676788E-2,4.569292068E-3,4.966193508E-1
5.854393510E-1,-5.542556047E-1,-4.749965668E-2,1.189231873E-2,5.564143420E-1
5.903517470E-1,-6.082542539E-1,-3.505134583E-2,2.210259438E-2,6.096641361E-1
5.952640910E-1,-6.497281790E-1,-2.280521393E-2,2.822923660E-2,6.507408656E-1
