"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.712557800E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
6.203771300E-2,-1.598384976E-2,-3.237247467E-2,-4.079082608E-2,5.447340693E-2
6.694984900E-2,-3.240939975E-2,-1.588678360E-1,-1.030333042E-1,1.921073145E-1
7.186198400E-2,-5.321668833E-2,-2.645616531E-1,-2.103415728E-1,3.421526873E-1
7.677412000E-2,-9.343500435E-2,-2.230815887E-1,-2.035588026E-1,3.161197264E-1
8.168625500E-2,-1.334490627E-1,-1.559181213E-1,-1.145974100E-1,2.350567575E-1
8.659839100E-2,-1.532822698E-1,-1.171903610E-1,-2.888432145E-2,1.950982803E-1
9.151052600E-2,-1.126386523E-1,-1.213903427E-1,8.546233177E-3,1.658195387E-1
9.642266100E-2,-6.063862890E-2,-1.164388657E-1,4.696282744E-2,1.394294084E-1
1.013348490E-1,3.549188375E-3,-1.393213272E-1,7.645019889E-2,1.589580506E-1
1.062469840E-1,2.791945823E-2,-1.245508194E-1,8.064380288E-2,1.509828656E-1
1.111591200E-1,3.580350056E-2,-1.383953094E-1,7.442343235E-2,1.611645110E-1
1.160712550E-1,3.727218136E-2,-1.676158905E-1,6.043675542E-2,1.820354462E-1
1.209833910E-1,4.369099811E-2,-2.313156128E-1,5.883482099E-2,2.426465582E-1
1.258955260E-1,2.795611694E-2,-2.361021042E-1,1.181801558E-1,2.655038555E-1
1.308076610E-1,7.222106308E-2,-2.753419876E-1,2.941371799E-1,4.093235550E-1
1.357197970E-1,1.576850265E-1,-2.255134583E-1,3.603102863E-1,4.533700363E-1
1.406319320E-1,1.719630063E-1,-1.544113159E-1,3.480451107E-1,4.177912506E-1
1.455440680E-1,4.005256295E-1,-1.805887222E-1,4.454910159E-1,6.256958620E-1
1.504562030E-1,3.083453774E-1,-1.014032364E-1,3.810380101E-1,5.005491517E-1
1.553683380E-1,2.333351225E-1,-1.715278625E-2,2.182480991E-1,3.199558254E-1
1.602804740E-1,1.463054866E-1,-6.930541992E-2,7.437136769E-2,1.781562150E-1
1.651926610E-1,8.111625910E-2,-1.124238968E-1,-5.018159747E-2,1.474353173E-1
1.701047970E-1,-2.120799944E-2,-1.516141891E-1,-1.177274883E-1,1.931227669E-1
1.750169320E-1,-1.000695527E-1,-1.710577011E-1,-1.537838280E-1,2.508468023E-1
1.799290680E-1,-1.567013115E-1,-1.646604538E-1,-1.663992852E-1,2.817039016E-1
1.848412030E-1,-1.687411964E-1,-1.541051865E-1,-1.607656181E-1,2.794057691E-1
1.897533380E-1,-1.858859360E-1,-1.672019958E-1,-1.651204377E-1,2.996245110E-1
1.946654740E-1,-1.521361768E-1,-2.008543015E-1,-1.419368982E-1,2.891953488E-1
1.995776090E-1,-1.149455234E-1,-1.803913116E-1,-1.590688974E-1,2.665640876E-1
2.044897450E-1,-7.189067453E-2,-1.932220459E-1,-1.527166218E-1,2.565646014E-1
2.094019320E-1,-3.669145331E-2,-2.081661224E-1,-1.677675843E-1,2.698617417E-1
2.143140680E-1,-2.285863832E-2,-2.112445831E-1,-1.874529421E-1,2.833467783E-1
2.192262030E-1,7.571902126E-3,-1.981468201E-1,-1.979138553E-1,2.801595798E-1
2.241383380E-1,3.780441731E-2,-2.088327408E-1,-2.297932655E-1,3.128022258E-1
2.290504740E-1,7.473412156E-2,-2.240247726E-1,-2.431360185E-1,3.389504554E-1
2.339626090E-1,1.157349721E-1,-2.319698334E-1,-2.430830896E-1,3.553786372E-1
2.388747450E-1,9.972728789E-2,-2.212057114E-1,-2.533147633E-1,3.507789446E-1
2.437868800E-1,5.360917002E-2,-1.735296249E-1,-2.781524360E-1,3.321976091E-1
2.486990160E-1,5.732376873E-2,-1.458168030E-1,-2.937995791E-1,3.329665857E-1
2.536112030E-1,4.887674004E-2,-1.118497849E-1,-2.911200821E-1,3.156742186E-1
2.585233380E-1,4.259533435E-2,-8.108425140E-2,-2.844206691E-1,2.988045102E-1
2.634354740E-1,5.938217044E-2,-3.002452850E-2,-2.971072197E-1,3.044674276E-1
2.683476090E-1,6.595040858E-2,1.518344879E-2,-2.840965390E-1,2.920459501E-1
2.732597450E-1,1.351293325E-1,6.173706055E-2,-2.692644298E-1,3.075300543E-1
2.781718800E-1,1.275335401E-1,9.325504303E-2,-2.712273002E-1,3.138878068E-1
2.830840160E-1,1.409087181E-1,1.311740875E-1,-2.286173850E-1,2.988775950E-1
2.879962030E-1,1.444941461E-1,1.636705399E-1,-1.962087154E-1,2.935378406E-1
2.929083380E-1,1.504712850E-1,2.166776657E-1,-1.597177982E-1,3.083838412E-1
2.978204740E-1,1.870362163E-1,2.593278885E-1,-1.215393618E-1,3.420603988E-1
3.027326090E-1,1.950478554E-1,2.660331726E-1,-7.700695097E-2,3.387438344E-1
3.076447450E-1,2.009145766E-1,2.562732697E-1,-2.623432875E-2,3.266969480E-1
3.125568800E-1,2.445798069E-1,2.843732834E-1,4.862144589E-3,3.751147647E-1
3.174690680E-1,2.783476710E-1,2.697515488E-1,7.541376352E-2,3.948804373E-1
3.223812030E-1,3.096045852E-1,2.437314987E-1,8.843673766E-2,4.038330090E-1
3.272933380E-1,3.314426839E-1,2.488164902E-1,1.344027966E-1,4.356925639E-1
3.322054740E-1,3.277733922E-1,2.468242645E-1,1.281148344E-1,4.298500029E-1
3.371176090E-1,2.943541408E-1,2.355194092E-1,1.645249873E-1,4.113176677E-1
3.420297450E-1,2.409442365E-1,2.503595352E-1,1.675875038E-1,3.857714264E-1
3.469419320E-1,2.288934439E-1,2.650184631E-1,1.424216926E-1,3.780356240E-1
3.518540680E-1,2.363579869E-1,2.347669601E-1,1.129356325E-1,3.517599759E-1
3.567662030E-1,2.324565649E-1,1.838655472E-1,9.799885750E-2,3.121640115E-1
3.616783380E-1,1.912709773E-1,1.385326385E-1,9.033441544E-2,2.528560565E-1
