"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.664220400E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
5.155486100E-2,6.487496197E-3,2.559471130E-2,2.566289902E-2,3.682066322E-2
5.646746500E-2,4.696883261E-3,3.832149506E-2,2.969264984E-2,4.870576096E-2
6.138012100E-2,-9.120911360E-3,4.000473022E-2,2.889871597E-3,4.113296515E-2
6.629277700E-2,-3.303769231E-2,2.481746674E-2,-5.631113052E-2,6.984510856E-2
7.120543400E-2,-6.736345589E-2,-2.723693848E-3,-1.381466389E-1,1.537197044E-1
7.611803800E-2,-1.208253652E-1,-7.143497467E-2,-2.314782143E-1,2.707099706E-1
8.103069400E-2,-1.654187143E-1,-1.266002655E-1,-3.253682852E-1,3.863359927E-1
8.594335000E-2,-1.682241112E-1,-1.413307190E-1,-4.065482616E-1,4.621203445E-1
9.085595400E-2,-1.256352514E-1,-1.433620453E-1,-4.379642606E-1,4.776500664E-1
9.576861100E-2,-5.732501671E-2,-1.575517654E-1,-4.188293219E-1,4.511393545E-1
1.006812670E-1,4.320931807E-2,-1.938829422E-1,-3.627416492E-1,4.135687905E-1
1.055939230E-1,1.639834791E-1,-2.355289459E-1,-2.751325369E-1,3.975705958E-1
1.105065270E-1,2.107631266E-1,-2.312088013E-1,-2.438796759E-1,3.966811082E-1
1.154191840E-1,2.378021032E-1,-2.217321396E-1,-2.311006784E-1,3.989016239E-1
1.203318400E-1,2.668378353E-1,-2.363624573E-1,-2.106174231E-1,4.140402643E-1
1.252444960E-1,2.911155820E-1,-2.534122467E-1,-1.689352989E-1,4.213136410E-1
1.301571000E-1,3.293485045E-1,-2.727785110E-1,-1.179591417E-1,4.436134721E-1
1.350697570E-1,3.467607796E-1,-2.716588974E-1,-6.932890415E-2,4.459238632E-1
