"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.924804167E-2,2.739067508E-1,4.544438463E-1,-4.138483822E-2,5.322187731E-1
2.921204167E-2,1.824362347E-1,5.991086394E-1,-7.850837186E-2,6.311716929E-1
3.917604167E-2,1.622379053E-1,8.396566594E-1,-2.345196868E-1,8.867603549E-1
4.914004168E-2,1.897351313E-1,1.154968933E0,-3.642873824E-2,1.171016528E0
5.910404168E-2,3.244776744E-1,1.590127493E0,4.289447236E-1,1.678625861E0
6.906804167E-2,2.503040628E-1,2.072274277E0,6.971610372E-1,2.200683147E0
7.903204167E-2,2.107904432E-1,2.765793230E0,8.606433396E-1,2.904264409E0
8.899604167E-2,3.061322911E-1,3.571139597E0,1.333894170E0,3.824399124E0
9.896004167E-2,6.858335917E-1,4.512061846E0,2.015372098E0,4.989067499E0
1.089240417E-1,1.200120328E0,5.563637388E0,2.526050956E0,6.226980265E0
1.188880417E-1,1.739499148E0,6.656647469E0,2.878733370E0,7.458144450E0
1.288520417E-1,2.265957595E0,7.635266132E0,3.024777521E0,8.519456073E0
1.388160417E-1,2.844109959E0,8.615351277E0,3.128455086E0,9.596898995E0
1.487800417E-1,3.735429108E0,9.402017545E0,3.379517570E0,1.066641943E1
1.587440417E-1,4.455910449E0,9.690688734E0,3.492882217E0,1.122340466E1
1.687080417E-1,4.601351752E0,9.441562264E0,3.276753339E0,1.100239285E1
1.786720417E-1,4.190697996E0,8.659374964E0,3.094831842E0,1.010567705E1
1.886360417E-1,3.790011112E0,7.314972616E0,3.016013714E0,8.773217615E0
1.986000417E-1,3.421797032E0,5.579931824E0,2.940785776E0,7.175831315E0
2.085640417E-1,2.879057890E0,3.660770397E0,2.504656579E0,5.288054350E0
2.185280417E-1,2.145311409E0,1.399486628E0,1.915135034E0,3.198228582E0
2.284920417E-1,1.204896992E0,-1.027994306E0,1.510711194E0,2.188789018E0
2.384560417E-1,4.171896274E-1,-3.436959447E0,1.138551267E0,3.644590020E0
2.484200417E-1,-7.851743504E-2,-5.736101598E0,3.484097799E-1,5.747209402E0
2.583840417E-1,-7.072081617E-1,-7.910741910E0,-6.907666683E-1,7.972273173E0
2.683480417E-1,-1.607831838E0,-1.011467385E1,-1.503119169E0,1.035138240E1
2.783120417E-1,-2.870335306E0,-1.245036519E1,-2.049469990E0,1.294027610E1
2.882760417E-1,-4.032524381E0,-1.457458262E1,-2.485725049E0,1.532509512E1
2.982400417E-1,-4.749723972E0,-1.618914505E1,-2.806674038E0,1.710338312E1
3.082040417E-1,-4.858899967E0,-1.741399288E1,-3.168816662E0,1.835476658E1
3.181680417E-1,-4.922367400E0,-1.842923441E1,-3.561184713E0,1.940485554E1
3.281320417E-1,-5.013843580E0,-1.936253306E1,-3.632985013E0,2.032842577E1
3.380960417E-1,-5.367708886E0,-2.023200701E1,-3.343312780E0,2.119726744E1
3.480600417E-1,-5.884633155E0,-2.078647041E1,-2.568159095E0,2.175549817E1
3.580240417E-1,-5.934643221E0,-2.076204776E1,-1.406850611E0,2.163935872E1
3.679880417E-1,-5.196524046E0,-1.993967897E1,-5.691679351E-1,2.061355408E1
3.779520417E-1,-4.037073222E0,-1.827216651E1,-3.201467514E-2,1.871285799E1
3.879160417E-1,-2.174623501E0,-1.569016354E1,5.389507306E-1,1.584931189E1
3.978790417E-1,-3.358557348E-1,-1.234102577E1,7.892051286E-1,1.237079467E1
4.078430417E-1,9.089752547E-1,-8.640765615E0,6.327405082E-1,8.711453781E0
4.178070417E-1,1.965563761E0,-4.165473985E0,1.014486507E0,4.716333034E0
4.277710417E-1,3.602866589E0,1.340920331E0,2.793052949E0,4.751826993E0
4.377350417E-1,6.504941459E0,8.089927495E0,5.488830450E0,1.174259128E1
4.476990417E-1,9.041528513E0,1.543572780E1,8.124997340E0,1.964755742E1
4.576630417E-1,1.098727255E1,2.159768504E1,1.002131253E1,2.622225890E1
4.676270417E-1,1.203244715E1,2.648511766E1,1.061317354E1,3.096579879E1
4.775906250E-1,1.205400232E1,2.976354857E1,1.067107735E1,3.383843506E1
4.875546250E-1,1.162439803E1,3.110310825E1,1.085840694E1,3.493472447E1
4.975186250E-1,1.091300590E1,3.083780838E1,1.102679739E1,3.452034740E1
5.074826250E-1,1.026622549E1,2.927320107E1,1.126285416E1,3.300253885E1
5.174466250E-1,9.976345099E0,2.656313589E1,1.168131717E1,3.068518895E1
5.274106250E-1,9.566043053E0,2.286338503E1,1.155577745E1,2.734555809E1
5.373746250E-1,8.875357077E0,1.870354250E1,1.094069363E1,2.341566233E1
5.473386250E-1,8.335353262E0,1.406218644E1,1.037325761E1,1.936046680E1
5.573026250E-1,7.820683680E0,9.015270422E0,9.364060929E0,1.516983293E1
5.672666250E-1,7.059925840E0,4.031378034E0,7.776764658E0,1.125045023E1
5.772306250E-1,5.759863513E0,-9.300353175E-1,5.991843023E0,8.363203704E0
