"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.501314500E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
4.992590600E-2,8.317124844E-2,-7.788085938E-2,2.219533920E-2,1.160840984E-1
5.483866600E-2,2.252842784E-1,-1.092405319E-1,4.390382767E-2,2.541929306E-1
5.975142600E-2,2.821823359E-1,9.814262390E-3,-1.862478256E-2,2.829665580E-1
6.466423900E-2,3.064575791E-1,6.322479248E-2,1.056828499E-1,3.302763796E-1
6.957699900E-2,2.500699759E-1,1.796083450E-1,-2.183818817E-2,3.086600993E-1
7.448976000E-2,1.596273184E-1,3.434658051E-1,-2.450318336E-1,4.510989243E-1
7.940252000E-2,6.227016449E-2,3.742065430E-1,-3.311710358E-1,5.035696229E-1
8.431533300E-2,-1.952077746E-1,4.158506393E-1,-4.275064468E-1,6.275345342E-1
8.922809300E-2,-3.011943698E-1,2.713165283E-1,-4.619801044E-1,6.146188444E-1
9.414085300E-2,-3.971083462E-1,1.107635498E-1,-5.390422344E-1,6.786237051E-1
9.905361400E-2,-3.927581310E-1,-1.309061050E-1,-5.906999111E-1,7.213333091E-1
1.039664260E-1,-4.477967322E-1,-2.916355133E-1,-6.747608185E-1,8.607411621E-1
1.088791870E-1,-4.095807374E-1,-4.857845306E-1,-6.200897694E-1,8.878368728E-1
1.137919470E-1,-4.027592242E-1,-6.483230591E-1,-4.653382301E-1,8.939113211E-1
1.187047080E-1,-3.713864088E-1,-6.839714050E-1,-2.992482185E-1,8.338430571E-1
1.236174680E-1,-3.613088429E-1,-6.702966690E-1,-2.237658501E-1,7.936704984E-1
1.285302810E-1,-3.571723104E-1,-5.647039413E-1,-1.872837543E-1,6.939292509E-1
1.334430410E-1,-4.068787992E-1,-4.322996140E-1,-3.034868240E-1,6.667365040E-1
1.383558010E-1,-1.936855614E-1,-4.000606537E-1,-6.313781738E-1,7.721405453E-1
1.432685620E-1,3.543602824E-1,-2.724838257E-1,-8.668725491E-1,9.753392545E-1
1.481813740E-1,3.255617619E-1,-2.541446686E-1,-4.210410118E-1,5.897927661E-1
1.530941350E-1,-2.042014599E-1,-3.137760162E-1,6.828022003E-2,3.805467291E-1
1.580068950E-1,-2.880746722E-1,-2.201843262E-1,8.175134659E-2,3.716872838E-1
1.629196560E-1,5.201852322E-2,-4.668045044E-2,-1.297135353E-1,1.473451474E-1
1.678324680E-1,2.242960036E-1,9.332656860E-2,-2.237095833E-1,3.302491836E-1
1.727452280E-1,1.464067698E-1,1.414031982E-1,-2.093086243E-1,2.919587418E-1
1.776579890E-1,2.794998884E-2,2.209720612E-1,-1.987750530E-1,2.985320341E-1
1.825707490E-1,-3.379583359E-2,2.802248001E-1,-2.055537701E-1,3.491710889E-1
1.874835100E-1,-1.183730960E-1,3.105268478E-1,-1.938076019E-1,3.847083306E-1
1.923963220E-1,-2.561518550E-1,2.314062119E-1,-2.395813465E-1,4.201926098E-1
1.973090830E-1,-3.438917696E-1,4.342174530E-2,-2.103645802E-1,4.054630116E-1
2.022218430E-1,-3.685250878E-1,-1.344394684E-1,-2.592697144E-1,4.702185617E-1
2.071346030E-1,-3.327367604E-1,-3.093843460E-1,-4.664030075E-1,6.511253264E-1
2.120474160E-1,-3.700433075E-1,-3.927679062E-1,-6.639661789E-1,8.555990675E-1
2.169601760E-1,-3.577984869E-1,-3.774366379E-1,-6.743731499E-1,8.516204073E-1
2.218729370E-1,-3.166289926E-1,-2.726888657E-1,-6.174421310E-1,7.455520918E-1
2.267856970E-1,-1.498332471E-1,-1.272153854E-1,-5.532758236E-1,5.871523594E-1
2.316985100E-1,3.008508682E-2,-4.907131195E-2,-5.147643089E-1,5.179723929E-1
2.366112700E-1,1.302464008E-1,-8.538055420E-2,-4.687571526E-1,4.939506372E-1
