"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.451250083E-4,-1.189217829E0,-3.442524827E-1,1.986372247E-1,1.253876216E0
1.060912501E-2,-1.044902846E0,-3.042996275E-1,-3.897125378E-1,1.155982735E0
2.057212501E-2,-8.169046316E-1,-6.787798762E-2,-7.593486607E-1,1.117385782E0
3.053612501E-2,-4.868230954E-1,3.284556448E-2,-5.145830441E-1,7.091341668E-1
4.049912501E-2,-2.565131114E-1,3.918219209E-3,-5.716384202E-2,2.628346127E-1
5.046312501E-2,-3.898784526E-2,-8.836780071E-2,3.430356771E-1,3.563739553E-1
6.042712500E-2,-9.114106201E-2,-3.104444665E-1,4.302325729E-1,5.383145239E-1
7.039012501E-2,-3.015626190E-1,-3.147135186E-1,2.262556708E-1,4.910969767E-1
8.035412501E-2,-8.876935825E-2,-2.043911773E-1,-2.466647923E-1,3.324143079E-1
9.031712501E-2,8.627296261E-2,-2.011547434E-1,-6.054619315E-1,6.438092927E-1
1.002811250E-1,6.057276875E-3,-2.366262925E-1,-3.967464459E-1,4.619918129E-1
1.102441250E-1,-1.601018809E-2,-4.061335659E-1,-4.296592534E-2,4.087136775E-1
1.202081250E-1,-3.779903322E-2,-5.394582689E-1,5.489366055E-2,5.435598447E-1
1.301721250E-1,3.903747350E-4,-6.472136825E-1,9.112066984E-2,6.535967256E-1
1.401351250E-1,-6.521238819E-2,-7.761219835E-1,8.096639514E-3,7.788989308E-1
1.500991250E-1,-7.838448398E-2,-7.654309344E-1,-9.725089073E-3,7.694954321E-1
1.600621250E-1,-2.002139995E-1,-8.668836343E-1,-4.223765463E-2,8.907058440E-1
1.700261250E-1,-3.413391805E-1,-9.040122843E-1,-2.371788543E-1,9.949896760E-1
1.799891250E-1,-2.616868740E-1,-7.212137049E-1,-3.319025785E-1,8.359357331E-1
1.899531250E-1,-4.060087278E-2,-5.801449496E-1,-3.407730970E-1,6.740496250E-1
1.999171250E-1,4.723746255E-3,-3.797064900E-1,-3.206744626E-1,4.970225783E-1
2.098801250E-1,2.278567846E-1,-4.988961339E-2,-2.962833872E-1,3.770829264E-1
2.198441250E-1,3.557009654E-1,3.311284071E-1,-2.370396906E-1,5.407004843E-1
2.298071250E-1,2.197171681E-1,9.096501696E-1,-8.245801985E-2,9.394351441E-1
2.397711250E-1,-6.474336840E-2,1.646320404E0,8.975709915E-2,1.650036034E0
2.497351250E-1,-9.743083879E-2,2.841900004E0,4.617554972E-1,2.880816992E0
2.596981250E-1,5.131384163E-1,4.600638392E0,1.109838368E0,4.760349341E0
2.696621250E-1,1.406325092E0,6.530318375E0,1.697154928E0,6.892252404E0
2.796251250E-1,2.148466713E0,8.230617936E0,2.290861617E0,8.809485102E0
2.895891250E-1,2.575412274E0,9.775778586E0,2.825408225E0,1.049673887E1
2.995521250E-1,3.030438795E0,1.130576220E1,3.551500262E0,1.223180168E1
3.095161250E-1,3.443796596E0,1.251362856E1,4.462816303E0,1.372469905E1
3.194801250E-1,3.755476579E0,1.332668623E1,5.243701136E0,1.480542373E1
3.294431250E-1,4.039371763E0,1.373831501E1,5.644882110E0,1.539228760E1
3.394071250E-1,4.021209434E0,1.359932553E1,6.126885638E0,1.544831731E1
3.493701250E-1,4.126082755E0,1.300764811E1,6.575099276E0,1.514778528E1
3.593341250E-1,4.525433258E0,1.196799914E1,6.668001593E0,1.442826375E1
3.692971250E-1,4.731748170E0,1.019612206E1,6.571022598E0,1.302031811E1
3.792611250E-1,4.314003203E0,7.907299654E0,6.249026957E0,1.096295350E1
3.892251250E-1,4.152400196E0,4.938590500E0,5.597222625E0,8.541721409E0
3.991881250E-1,3.359411334E0,2.344939299E0,5.077697514E0,6.524369462E0
4.091521250E-1,2.583083821E0,-1.066567218E-1,4.561525782E0,5.243206570E0
4.191151250E-1,2.262974784E0,-2.636251675E0,4.180767378E0,5.435962991E0
4.290791250E-1,1.463392309E0,-5.326353868E0,3.763604794E0,6.684031988E0
4.390421250E-1,3.800269175E-1,-8.028318892E0,3.237770537E0,8.664957169E0
4.490061250E-1,-3.733344868E-1,-1.031518540E1,2.652121603E0,1.065721246E1
4.589701250E-1,-5.861444852E-1,-1.215273841E1,1.963500863E0,1.232428301E1
4.689331250E-1,-5.353827596E-1,-1.336107488E1,1.253315592E0,1.343040418E1
4.788971250E-1,-4.754441214E-1,-1.422000279E1,6.338103294E-1,1.424205891E1
4.888601250E-1,-7.495615911E-1,-1.525485003E1,-4.128134251E-3,1.527325470E1
4.988241250E-1,-1.477535847E0,-1.655989711E1,-1.315493714E0,1.667764456E1
5.087871250E-1,-2.206373444E0,-1.754461968E1,-2.770003810E0,1.789845481E1
5.187511250E-1,-2.608379753E0,-1.814022642E1,-3.687064741E0,1.869400722E1
5.287151250E-1,-2.356770555E0,-1.855394383E1,-4.379106102E0,1.920884612E1
5.386781250E-1,-2.000623666E0,-1.889119836E1,-4.748197557E0,1.958124742E1
5.486421250E-1,-1.632396137E0,-1.907658083E1,-4.754124295E0,1.972770516E1
5.586051250E-1,-1.553238286E0,-1.915907452E1,-4.446154954E0,1.972944448E1
5.685691250E-1,-1.673728351E0,-1.906344681E1,-4.040900810E0,1.955876403E1
5.785331250E-1,-1.435909811E0,-1.870063527E1,-3.748893491E0,1.912667767E1
5.884961250E-1,-6.679987800E-1,-1.810198563E1,-3.128024147E0,1.838240031E1
5.984601250E-1,1.941208354E-1,-1.717435294E1,-2.099308294E0,1.730327070E1
6.084231250E-1,8.153872061E-1,-1.604740737E1,-1.195507606E0,1.611252240E1
6.183871250E-1,1.131067562E0,-1.473582310E1,-8.148036540E-1,1.480161145E1
6.283501250E-1,1.441502965E0,-1.321063537E1,-2.248031859E-1,1.329095009E1
6.383141250E-1,1.989516003E0,-1.131653394E1,7.911844110E-1,1.151729513E1
6.482781250E-1,2.888004715E0,-9.241249520E0,1.627503480E0,9.817842507E0
6.582411250E-1,3.598478254E0,-6.922919145E0,2.340283746E0,8.145721776E0
6.682051250E-1,4.031394407E0,-3.733675820E0,3.111715385E0,6.314685157E0
6.781681250E-1,4.521891600E0,3.737616259E-1,4.064401939E0,6.091515781E0
6.881321250E-1,5.496963342E0,5.329759287E0,4.927517627E0,9.105128775E0
6.980961250E-1,6.982966542E0,1.070465089E1,5.531237966E0,1.392644843E1
7.080591250E-1,8.754753576E0,1.576113471E1,6.019719624E0,1.900779056E1
7.180231250E-1,9.853054218E0,2.019269735E1,6.595685568E0,2.341646369E1
7.279861250E-1,9.779748845E0,2.371205927E1,7.376233310E0,2.668921243E1
7.379501250E-1,9.210481471E0,2.620577044E1,8.234054929E0,2.897196980E1
7.479123750E-1,8.801217306E0,2.775652922E1,9.032589290E0,3.048727619E1
7.578763750E-1,8.646139791E0,2.844089202E1,9.892058655E0,3.132878702E1
7.678403750E-1,8.490008023E0,2.789593152E1,1.042574455E1,3.096706930E1
7.778033750E-1,8.202190527E0,2.641293730E1,1.013896201E1,2.945704902E1
7.877673750E-1,7.829006606E0,2.431772556E1,9.297738301E0,2.718626599E1
7.977303750E-1,7.751308220E0,2.176466982E1,8.235717877E0,2.452775327E1
8.076943750E-1,7.871104805E0,1.894499976E1,7.236431646E0,2.175392493E1
8.176573750E-1,7.838867936E0,1.582023135E1,6.707704187E0,1.888705551E1
8.276213750E-1,7.904697059E0,1.232775025E1,6.449850748E0,1.600181979E1
8.375853750E-1,7.800970377E0,8.433200569E0,6.146337571E0,1.302887087E1
8.475483750E-1,7.168953608E0,4.095981581E0,5.579218463E0,9.964870275E0
8.575123750E-1,5.808219402E0,-1.785920924E-1,4.900112312E0,7.601210984E0
8.674753750E-1,4.260117895E0,-3.927429158E0,4.564629484E0,7.376255594E0
8.774393750E-1,3.169705439E0,-7.025688053E0,4.677521676E0,9.015904515E0
8.874033750E-1,2.384688963E0,-9.840637071E0,4.760248083E0,1.118860319E1
8.973663750E-1,1.199594006E0,-1.217313233E1,4.228127486E0,1.294222695E1
9.073303750E-1,2.037538308E-1,-1.378652764E1,3.372960502E0,1.419460188E1
9.172933750E-1,-3.421594718E-1,-1.514770097E1,2.373181350E0,1.533629380E1
9.272573750E-1,-6.598366517E-1,-1.639795029E1,1.132134386E0,1.645022451E1
9.372203750E-1,-7.827284601E-1,-1.748685621E1,-1.693821430E-1,1.750518478E1
9.471843750E-1,-1.152873583E0,-1.877811906E1,-1.263411541E0,1.885585006E1
9.571483750E-1,-1.605874044E0,-2.004767003E1,-2.244265155E0,2.023671493E1
9.671113750E-1,-2.079310524E0,-2.098318010E1,-3.018687061E0,2.130093544E1
9.770753750E-1,-2.523351004E0,-2.150042245E1,-3.489946915E0,2.192749861E1
9.870383750E-1,-2.775439966E0,-2.171445627E1,-3.426246178E0,2.215761362E1
9.970023750E-1,-2.511667683E0,-2.146118296E1,-2.757034686E0,2.178283932E1
1.006966375E0,-1.804766208E0,-2.062786117E1,-2.168488018E0,2.081989861E1
1.016929375E0,-1.097612425E0,-1.939959038E1,-2.102992040E0,1.954408952E1
1.026893375E0,-2.001130620E-1,-1.798374207E1,-2.049040804E0,1.810120417E1
1.036856375E0,6.362440136E-1,-1.634858926E1,-1.643324876E0,1.644328720E1
1.046820375E0,1.342851959E0,-1.463958963E1,-1.317559096E0,1.475997283E1
1.056783375E0,2.069295706E0,-1.296470967E1,-1.114844316E0,1.317606009E1
1.066747375E0,2.741221768E0,-1.136151891E1,-7.688901472E-1,1.171279646E1
1.076711375E0,2.922664378E0,-9.921038625E0,-1.347126858E-1,1.034345793E1
1.086674375E0,2.397046176E0,-8.399140538E0,8.018905898E-1,8.771226862E0
1.096638375E0,1.951929370E0,-6.167952973E0,1.977538859E0,6.764934004E0
1.106601375E0,2.398096190E0,-2.778690434E0,3.268420472E0,4.914728705E0
1.116565375E0,4.166565368E0,1.047795317E0,4.221226602E0,6.023030468E0
1.126528375E0,5.635629476E0,5.120135436E0,4.666071074E0,8.930191809E0
1.136492375E0,6.800401851E0,9.054423963E0,5.170880497E0,1.244853661E1
