"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.819374971E-3,-1.429826660E0,7.645650787E0,6.592291260E0
1.182937500E-2,-5.355862427E-1,7.405101013E0,6.588549042E0
2.183937503E-2,-2.183958435E-1,6.836583252E0,6.652466125E0
3.184837499E-2,-1.399589539E-1,6.508465576E0,6.917714539E0
4.185837501E-2,-2.505789185E-1,6.465205536E0,7.748187561E0
5.186837498E-2,-5.514532471E-1,6.432723083E0,8.016729126E0
6.187837501E-2,-5.803431702E-1,6.361321564E0,7.409292297E0
7.188837498E-2,-4.953199768E-1,6.133794708E0,6.775061188E0
8.189837501E-2,-1.374142456E-1,5.812413025E0,6.491101685E0
9.190737503E-2,3.586541748E-1,5.658832397E0,6.334826660E0
1.019173750E-1,9.222322083E-1,5.632487183E0,6.618636475E0
1.119273750E-1,1.326691132E0,5.485193481E0,7.114405518E0
1.219373750E-1,1.481918335E0,5.460045776E0,7.443271637E0
1.319473750E-1,1.452878723E0,5.463488617E0,7.873626709E0
1.419563750E-1,1.348695374E0,5.475763092E0,8.388106842E0
1.519663750E-1,1.223555603E0,5.441933441E0,8.735234985E0
1.619763750E-1,1.056952057E0,5.417833557E0,8.888815613E0
1.719863750E-1,8.985813904E-1,5.479954376E0,8.696465607E0
1.819963750E-1,6.388714600E-1,5.576353912E0,8.126750336E0
1.920053750E-1,2.695893860E-1,5.638774109E0,7.663014679E0
2.020153750E-1,-1.257385254E-2,5.779331818E0,7.524402924E0
2.120253750E-1,-1.332229614E-1,5.878276062E0,7.723488922E0
2.220353750E-1,-9.190887451E-2,6.021677856E0,7.788154449E0
2.320453750E-1,-1.317260742E-2,6.188431091E0,7.883506165E0
2.420553750E-1,-5.298980713E-2,6.180497589E0,8.136180725E0
2.520643750E-1,-1.079255676E-1,6.175857239E0,8.498128052E0
2.620743750E-1,-2.119592285E-1,6.234235840E0,8.795260162E0
2.720843750E-1,-3.864962769E-1,6.494544525E0,8.978778534E0
2.820943750E-1,-8.701405334E-1,7.022496643E0,9.077124023E0
2.921043750E-1,-1.878892822E0,7.791148224E0,9.407337341E0
3.021130000E-1,-3.212319946E0,9.061855774E0,9.989177399E0
3.121230000E-1,-5.333558807E0,1.015383499E1,1.059227325E1
3.221330000E-1,-8.768465881E0,1.066502197E1,1.177825699E1
3.321430000E-1,-1.209589645E1,1.132799332E1,1.294208679E1
