"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.254475900E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
5.745710300E-2,-5.135637522E-2,5.548286438E-2,4.364645481E-2,8.729741424E-2
6.236939400E-2,-2.522900701E-2,3.434276581E-2,2.279446125E-1,2.318936712E-1
6.728173800E-2,3.542137146E-2,-5.628108978E-2,3.307057619E-1,3.373255632E-1
7.219408200E-2,5.500417948E-2,-8.481788635E-2,3.922505379E-1,4.050679178E-1
7.710642600E-2,7.509975135E-2,-6.848621368E-2,4.615386724E-1,4.725973765E-1
8.201876900E-2,4.673999548E-2,-2.387619019E-2,4.577107430E-1,4.607101300E-1
8.693106100E-2,-5.080312490E-3,2.490043640E-2,3.456797600E-1,3.466126624E-1
9.184340500E-2,-5.846023560E-2,5.571746826E-2,1.693234444E-1,1.875965464E-1
9.675574900E-2,-8.420136571E-2,5.175495148E-2,1.729166508E-2,1.003366666E-1
1.016680920E-1,-5.454903841E-2,7.697677612E-2,-1.013113260E-1,1.384377349E-1
1.065804360E-1,-6.330925226E-2,8.982181549E-2,-1.585806608E-1,1.929348231E-1
1.114927280E-1,-4.570806026E-2,1.200771332E-1,-2.219628096E-1,2.564668273E-1
1.164050720E-1,-3.863951564E-2,1.356525421E-1,-2.494047880E-1,2.865263908E-1
1.213174150E-1,1.468276978E-2,1.331081390E-1,-2.277121544E-1,2.641707510E-1
1.262297590E-1,5.812636018E-2,1.246757507E-1,-2.201160192E-1,2.595645941E-1
1.311421030E-1,6.116917729E-2,1.240673065E-1,-2.097476721E-1,2.512537577E-1
1.360543940E-1,4.165700078E-2,1.511220932E-1,-2.055791616E-1,2.585265643E-1
1.409667380E-1,9.611874819E-3,1.364660263E-1,-2.027195692E-1,2.445620335E-1
1.458790820E-1,-1.867672801E-2,1.161661148E-1,-2.283098698E-1,2.568438884E-1
1.507914260E-1,-1.625159383E-2,7.894229889E-2,-1.852715015E-1,2.020433868E-1
1.557037690E-1,1.098003983E-2,7.560825348E-2,-1.356643438E-1,1.556983733E-1
1.606161130E-1,4.608404636E-2,5.653762817E-2,-7.702088356E-2,1.060776095E-1
1.655284050E-1,6.137245893E-2,4.061126709E-2,2.524268627E-2,7.780132994E-2
1.704407490E-1,9.908023477E-2,5.286502838E-2,1.011557579E-1,1.511426197E-1
1.753530920E-1,9.848989546E-2,8.763790131E-2,1.358850002E-1,1.893288001E-1
1.802654360E-1,5.181853473E-2,9.578037262E-2,1.010552645E-1,1.485638139E-1
1.851777800E-1,9.687718749E-2,1.129074097E-1,6.818556786E-2,1.636537329E-1
1.900901240E-1,1.243843436E-1,1.434135437E-1,6.226110458E-2,1.997882744E-1
1.950024670E-1,1.582940370E-1,1.614894867E-1,-1.110553741E-3,2.261351140E-1
