"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.518458336E-3,3.742497588E-1,2.235706294E-1,-4.922842486E-1,6.575640575E-1
1.648145834E-2,4.606053864E-1,1.292614728E-1,-1.839447798E-1,5.125441760E-1
2.644545834E-2,3.654017155E-1,5.463287473E-2,8.090309903E-2,3.782174984E-1
3.640945833E-2,3.326457596E-1,-8.682588995E-2,2.074637429E-1,4.015384679E-1
4.637245834E-2,3.476495688E-1,-1.727746975E-1,1.201542883E-1,4.063845122E-1
5.633645834E-2,3.801370278E-1,-1.171606600E-1,-8.116461575E-2,4.059784170E-1
6.629945834E-2,6.282033612E-1,-4.540538371E-2,-3.150830626E-2,6.306297529E-1
7.626345834E-2,8.659611630E-1,-3.341040552E-2,1.115403163E-1,8.737541034E-1
8.622645834E-2,8.872570878E-1,-2.815258920E-2,1.232153057E-1,8.962141037E-1
9.619045834E-2,9.601744983E-1,-2.296201587E-3,6.074540779E-2,9.620968476E-1
1.061534583E-1,1.016715904E0,-4.575797081E-2,8.210177824E-2,1.021051284E0
1.161174583E-1,1.171440832E0,-3.910559356E-2,1.818641943E-1,1.186118651E0
1.260814583E-1,1.537457820E0,1.289486468E-2,4.975249618E-1,1.616005543E0
1.360444583E-1,1.615552356E0,-6.244943261E-2,5.558064991E-1,1.709628676E0
1.460084583E-1,1.561914531E0,-8.878412247E-2,2.566499363E-1,1.585348167E0
1.559714583E-1,1.874787931E0,-4.154212832E-2,3.756048144E-1,1.912494316E0
1.659354583E-1,2.318664835E0,-2.533949375E-2,5.505451745E-1,2.383264294E0
1.758984583E-1,2.616872833E0,1.182716310E-2,5.266255309E-1,2.669362800E0
1.858624583E-1,2.967480655E0,9.652349710E-2,4.679754728E-1,3.005704454E0
1.958254583E-1,3.228790968E0,2.219497812E-1,3.797762181E-1,3.258616700E0
2.057894583E-1,3.569378708E0,3.763893646E-1,2.287271427E-1,3.596449558E0
2.157534583E-1,3.937177636E0,5.371416020E-1,9.492998466E-2,3.974783081E0
2.257164583E-1,4.161434436E0,6.315396363E-1,9.694508135E-2,4.210199191E0
2.356804583E-1,4.253855527E0,5.964013785E-1,1.987382354E-1,4.300055620E0
2.456434583E-1,4.181642998E0,5.086030966E-1,2.984744851E-1,4.223020518E0
2.556074583E-1,4.180298431E0,4.737963760E-1,2.577234851E-1,4.214949510E0
2.655704583E-1,4.261035615E0,4.825981897E-1,1.629309100E-1,4.291371810E0
2.755344583E-1,4.225104767E0,4.123140728E-1,2.826440258E-1,4.254574107E0
2.854974583E-1,3.936960704E0,1.768975693E-1,2.704967277E-1,3.950205161E0
2.954614583E-1,3.778598809E0,2.111488044E-2,4.395977658E-1,3.804142609E0
3.054244583E-1,3.593523324E0,-2.016307068E-1,7.238977231E-1,3.671252202E0
3.153884583E-1,3.348196082E0,-2.690876949E-1,6.471100406E-1,3.420756728E0
3.253524583E-1,3.416469926E0,-2.005758691E-1,4.951034836E-1,3.457979886E0
3.353154583E-1,3.403186514E0,-1.250327665E-1,4.139132132E-1,3.430544532E0
3.452794583E-1,3.158029718E0,-8.495244205E-2,3.228685572E-1,3.175627926E0
