"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.816288400E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
6.307538400E-2,-4.963052273E-2,1.098632812E-2,4.564428329E-2,6.831755843E-2
6.798788400E-2,-9.089845419E-2,1.691818237E-2,7.040441036E-2,1.162133162E-1
7.290038400E-2,-1.165961623E-1,1.955413818E-2,2.587735653E-2,1.210234150E-1
7.781293600E-2,-1.232905984E-1,1.496696472E-2,-3.892755508E-2,1.301535102E-1
8.272543600E-2,-6.147813797E-2,-6.434345245E-2,-1.110664606E-1,1.423214671E-1
8.763793600E-2,-3.181046247E-2,-1.261577606E-1,-1.873558760E-1,2.281006584E-1
9.255043600E-2,-1.034349203E-3,-2.102203369E-1,-3.034762144E-1,3.691767499E-1
9.746293600E-2,5.119439960E-2,-2.223396301E-1,-3.942114115E-1,4.554760308E-1
1.023754880E-1,9.845522046E-2,-2.596864700E-1,-4.442372322E-1,5.239057278E-1
1.072879880E-1,1.184014976E-1,-2.809181213E-1,-5.011233091E-1,5.865649806E-1
1.122004880E-1,1.882256716E-1,-2.630968094E-1,-5.206083059E-1,6.129289052E-1
1.171129880E-1,3.029248714E-1,-2.947387695E-1,-5.760717392E-1,7.144879766E-1
1.220254880E-1,4.005167484E-1,-3.123626709E-1,-5.673395991E-1,7.614842905E-1
1.269379880E-1,4.895225167E-1,-2.877893448E-1,-5.629750490E-1,7.996223528E-1
1.318505400E-1,5.802842975E-1,-2.815761566E-1,-5.735567808E-1,8.631236173E-1
1.367630400E-1,6.462714076E-1,-2.879409790E-1,-6.001656055E-1,9.277798735E-1
1.416755400E-1,6.893854737E-1,-2.993240356E-1,-5.943951011E-1,9.582028730E-1
1.465880400E-1,7.291724682E-1,-2.813959122E-1,-5.646436214E-1,9.642087777E-1
1.515005400E-1,7.182505131E-1,-2.468118668E-1,-5.231432319E-1,9.222140414E-1
1.564130400E-1,6.954516768E-1,-2.166442871E-1,-4.564852118E-1,8.596316249E-1
1.613255920E-1,6.405439377E-1,-1.699666977E-1,-4.063224196E-1,7.773564968E-1
1.662380920E-1,5.545505881E-1,-1.485147476E-1,-2.935538888E-1,6.447921143E-1
1.711505920E-1,4.634163082E-1,-1.190452576E-1,-1.497510672E-1,5.013500076E-1
1.760630920E-1,3.482407928E-1,-7.719230652E-2,-4.416966438E-2,3.594179478E-1
1.809755920E-1,2.296994030E-1,-6.705284119E-2,4.152560234E-2,2.428626668E-1
1.858880920E-1,1.162388325E-1,-3.901576996E-2,8.558905125E-2,1.495298705E-1
1.908006440E-1,-1.176234335E-2,-2.826595306E-2,7.816421986E-2,8.394618567E-2
1.957131440E-1,-1.037912965E-1,-4.110908508E-2,7.653391361E-2,1.353515055E-1
2.006256440E-1,-2.240804136E-1,-4.899692535E-2,7.109868526E-2,2.401411116E-1
2.055381440E-1,-3.076074421E-1,-4.283809662E-2,7.355165482E-2,3.191665504E-1
2.104506440E-1,-3.584695160E-1,-5.318737030E-2,3.709280491E-2,3.642872033E-1
2.153631960E-1,-3.641181886E-1,-6.562614441E-2,-3.264713287E-2,3.714225106E-1
2.202756960E-1,-2.936363816E-1,-9.638500214E-2,-7.208192348E-2,3.173455482E-1
2.251881960E-1,-1.443759203E-1,-1.752176285E-1,-8.223074675E-2,2.414694999E-1
2.301006960E-1,3.299944475E-2,-2.427339554E-1,-1.196978688E-1,2.726468710E-1
2.350131960E-1,2.176115811E-1,-3.598947525E-1,-1.744533181E-1,4.553163662E-1
2.399257480E-1,4.127011001E-1,-3.856906891E-1,-1.994392276E-1,5.990455001E-1
2.448382480E-1,5.512989163E-1,-3.737907410E-1,-1.885065436E-1,6.922317027E-1
2.497507480E-1,7.033271194E-1,-3.694400787E-1,-1.963896751E-1,8.183666129E-1
2.546632480E-1,8.879923820E-1,-3.490619659E-1,-2.228318453E-1,9.798105725E-1
2.595757480E-1,1.042062163E0,-4.088182449E-1,-2.465238571E-1,1.146211116E0
2.644883000E-1,1.180665016E0,-4.650373459E-1,-2.889099717E-1,1.301421755E0
2.694008000E-1,1.260155916E0,-5.248746872E-1,-3.310063481E-1,1.404653542E0
2.743133000E-1,1.300774097E0,-5.321102142E-1,-3.496773243E-1,1.448250242E0
2.792258000E-1,1.319616914E0,-5.183086395E-1,-3.879388571E-1,1.469873873E0
2.841383000E-1,1.307590246E0,-4.651479721E-1,-4.384301901E-1,1.455464159E0
2.890508520E-1,1.267450571E0,-4.554357529E-1,-4.798953533E-1,1.429738516E0
2.939633520E-1,1.290839553E0,-4.366760254E-1,-4.866943359E-1,1.447005210E0
2.988758520E-1,1.263507605E0,-4.113597870E-1,-4.619143307E-1,1.406781145E0
3.037883520E-1,1.286755443E0,-4.006938934E-1,-4.178649783E-1,1.410994793E0
3.087008520E-1,1.344734907E0,-3.691234589E-1,-4.112891555E-1,1.453864804E0
3.136134040E-1,1.412750483E0,-3.029069901E-1,-4.272243977E-1,1.506697467E0
3.185259040E-1,1.558239460E0,-1.955747604E-1,-3.287643194E-1,1.604507924E0
3.234384040E-1,1.716133356E0,-3.607845306E-2,-2.207332253E-1,1.730646847E0
3.283509040E-1,1.926207304E0,1.417999268E-1,-1.026405096E-1,1.934144998E0
3.332634040E-1,2.121725082E0,3.378047943E-1,4.959088564E-2,2.149020395E0
3.381759560E-1,2.279462814E0,4.834671021E-1,1.349496245E-1,2.334074241E0
3.430884560E-1,2.510799170E0,5.961685181E-1,2.468587756E-1,2.592386666E0
3.480009560E-1,2.699599028E0,6.411571503E-1,3.854008317E-1,2.801330256E0
3.529134560E-1,2.893954754E0,6.336526871E-1,5.341207385E-1,3.010278195E0
3.578259560E-1,2.995285273E0,6.616210938E-1,6.035748124E-1,3.126304350E0
3.627385090E-1,3.090241432E0,6.608915329E-1,6.326562166E-1,3.222828512E0
3.676510090E-1,3.156022310E0,6.106653214E-1,5.864475965E-1,3.267615299E0
3.725635090E-1,3.273927689E0,5.234661102E-1,5.055150390E-1,3.353828370E0
3.774760090E-1,3.410903692E0,3.785686493E-1,3.826310635E-1,3.453112328E0
3.823885090E-1,3.526957035E0,2.216224670E-1,2.598805428E-1,3.543455988E0
3.873010610E-1,3.669752121E0,5.043029785E-2,1.315441728E-1,3.672455270E0
3.922135610E-1,3.768137455E0,-1.230297089E-1,6.535679102E-2,3.770711829E0
3.971260610E-1,3.872215033E0,-2.539196014E-1,3.229022026E-3,3.880532805E0
4.020385610E-1,3.915934563E0,-3.853940964E-1,-6.933134794E-2,3.935464260E0
4.069510610E-1,3.907085419E0,-4.490337372E-1,-1.380656362E-1,3.935226790E0
4.118636130E-1,3.919486523E0,-4.836072922E-1,-1.934007406E-1,3.953941636E0
4.167761130E-1,3.853466272E0,-5.131330490E-1,-2.874279618E-1,3.898092184E0
4.216886130E-1,3.915502548E0,-5.991353989E-1,-2.918667793E-1,3.971814403E0
4.266011130E-1,3.943315268E0,-6.890039444E-1,-2.356691957E-1,4.009987744E0
4.315136130E-1,3.930213451E0,-6.835212708E-1,-2.183716297E-1,3.995180255E0
4.364261650E-1,3.912008286E0,-6.382846832E-1,-2.295982838E-1,3.970381787E0
4.413386650E-1,3.822321892E0,-5.821599960E-1,-2.235831022E-1,3.872859965E0
4.462511650E-1,3.640773296E0,-5.578899384E-1,-1.927785873E-1,3.688310584E0
4.511636650E-1,3.417726755E0,-5.201263428E-1,-1.038589478E-1,3.458637632E0
4.560762170E-1,3.105667114E0,-4.452581406E-1,-4.598915577E-3,3.137426363E0
4.609887170E-1,2.704921722E0,-3.950481415E-1,2.186721563E-2,2.733704946E0
4.659012170E-1,2.274860144E0,-3.193378448E-1,1.299763322E-1,2.300838799E0
4.708137170E-1,1.838613510E0,-2.229690552E-1,3.164169192E-1,1.878918440E0
4.757262170E-1,1.542340517E0,-1.439285278E-1,4.671017528E-1,1.617935023E0
4.806387690E-1,1.346356392E0,-1.624202728E-1,5.564939380E-1,1.465858582E0
4.855512690E-1,1.192597866E0,-2.465391159E-1,6.941060424E-1,1.401732644E0
4.904637690E-1,1.019080877E0,-3.269014359E-1,9.005336165E-1,1.398696242E0
4.953762690E-1,8.691833019E-1,-3.705015182E-1,1.030166268E0,1.397853185E0
5.002888210E-1,7.313144207E-1,-3.778162003E-1,1.035947323E0,1.323160126E0
5.052013210E-1,6.297051907E-1,-3.848752975E-1,9.424301982E-1,1.197009733E0
5.101138210E-1,5.028128624E-1,-4.391241074E-1,9.209296107E-1,1.137436637E0
5.150263210E-1,3.559143543E-1,-5.353975296E-1,9.256116152E-1,1.126979327E0
5.199388210E-1,2.601552010E-1,-6.827106476E-1,8.825219274E-1,1.145696081E0
5.248513730E-1,2.008316517E-1,-8.189592361E-1,7.467732430E-1,1.126364887E0
5.297638730E-1,1.089000702E-1,-9.371604919E-1,6.041848063E-1,1.120342936E0
5.346763730E-1,3.457427025E-2,-1.084921837E0,5.302399397E-1,1.208058428E0
5.395888730E-1,-4.326128960E-2,-1.224132538E0,5.214974880E-1,1.331289465E0
5.445014250E-1,-2.307454348E-1,-1.300509453E0,4.989710450E-1,1.411927901E0
5.494139250E-1,-5.216152668E-1,-1.253171921E0,4.721798897E-1,1.437176467E0
5.543264250E-1,-8.789494038E-1,-1.161668777E0,4.768748283E-1,1.532787006E0
5.592389250E-1,-1.221277952E0,-1.123712540E0,5.676397085E-1,1.753985333E0
5.641514770E-1,-1.510576725E0,-1.089090347E0,6.184156537E-1,1.962243040E0
5.690639770E-1,-1.816412687E0,-9.794826508E-1,6.941568851E-1,2.177290769E0
5.739764770E-1,-2.139383316E0,-8.997840881E-1,7.500358820E-1,2.439083066E0
5.788889770E-1,-2.463671684E0,-8.162879944E-1,7.744158506E-1,2.708454203E0
5.838014770E-1,-2.918289423E0,-7.193202972E-1,8.553165793E-1,3.124964207E0
5.887140290E-1,-3.386888981E0,-5.660743713E-1,8.856559992E-1,3.546243606E0
5.936265290E-1,-3.768440723E0,-4.090108871E-1,8.351482749E-1,3.881482711E0
5.985390290E-1,-3.962431431E0,-3.381462097E-1,8.062236309E-1,4.057733634E0
6.034515290E-1,-4.080180645E0,-4.308834076E-1,7.579106092E-1,4.172285117E0
6.083640810E-1,-4.207730293E0,-4.959497452E-1,7.562751770E-1,4.303825335E0
6.132765810E-1,-4.270849705E0,-5.289735794E-1,7.793225646E-1,4.373478468E0
6.181890810E-1,-4.292629719E0,-4.877748489E-1,7.176169157E-1,4.379448395E0
6.231015810E-1,-4.352556229E0,-4.350194931E-1,7.048194408E-1,4.430661139E0
6.280141340E-1,-4.403662682E0,-4.090738297E-1,7.593145967E-1,4.487331620E0
6.329266340E-1,-4.428166866E0,-3.743209839E-1,7.995333076E-1,4.515310787E0
6.378391340E-1,-4.539202213E0,-3.214874268E-1,7.539756298E-1,4.612612074E0
6.427516340E-1,-4.697824478E0,-2.103481293E-1,7.369343638E-1,4.759923678E0
6.476641860E-1,-4.961121082E0,-8.870124817E-2,7.597929835E-1,5.019748568E0
6.525766860E-1,-5.284064293E0,7.209205627E-2,8.958362937E-1,5.359949196E0
6.574891860E-1,-5.579698563E0,2.292499542E-1,9.854942560E-1,5.670695770E0
6.624016860E-1,-5.871254921E0,3.498210907E-1,1.086941719E0,5.981258349E0
6.673142380E-1,-6.119771957E0,4.603862762E-1,1.198764443E0,6.253047299E0
6.722267380E-1,-6.255371571E0,5.563774109E-1,1.304985881E0,6.414219942E0
6.771392380E-1,-6.255749702E0,6.949319839E-1,1.408614516E0,6.449924779E0
6.820517380E-1,-6.107878685E0,8.234128952E-1,1.469846964E0,6.335979871E0
6.869642900E-1,-5.879333019E0,9.061937332E-1,1.536953211E0,6.144100341E0
6.918767900E-1,-5.527699471E0,1.029051781E0,1.588877678E0,5.842853864E0
6.967892900E-1,-5.186298847E0,1.032389641E0,1.552193284E0,5.511154878E0
7.017017900E-1,-4.851891041E0,1.028645515E0,1.529831171E0,5.190312291E0
7.066143420E-1,-4.570931435E0,9.963560104E-1,1.512009263E0,4.916534500E0
7.115268420E-1,-4.356260300E0,9.807701111E-1,1.472279906E0,4.701757324E0
7.164393420E-1,-4.187485218E0,1.005458832E0,1.362746000E0,4.516974272E0
7.213518420E-1,-4.092081547E0,1.029699326E0,1.230924606E0,4.395519022E0
7.262643940E-1,-4.085625648E0,9.940891266E-1,1.088225484E0,4.343361007E0
7.311768940E-1,-4.074450016E0,9.751586914E-1,1.000578046E0,4.307346496E0
7.360893940E-1,-4.129809856E0,9.680957794E-1,9.219322205E-1,4.340794617E0
7.410018940E-1,-4.146563053E0,1.001386642E0,8.732383251E-1,4.354228466E0
7.459144460E-1,-4.098741055E0,9.987220764E-1,7.993669510E-1,4.293729328E0
7.508269460E-1,-4.044094563E0,9.723033905E-1,7.146613598E-1,4.220286196E0
7.557394460E-1,-4.033091545E0,9.723100662E-1,6.334309578E-1,4.196718844E0
