"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.113166667E-2,-4.100908153E-2,-1.883025634E-1,1.961729157E-1,2.749971146E-1
2.109566667E-2,-5.066605054E-2,-1.365892035E-1,1.896100191E-1,2.391142374E-1
3.105866667E-2,-5.174690835E-2,-2.099799460E-1,2.650776744E-1,3.421045070E-1
4.102266667E-2,-1.345511930E-1,-2.108833408E-1,1.905887882E-1,3.144835340E-1
5.098666667E-2,-1.687829496E-1,-1.039781123E-1,-4.684087515E-2,2.036987960E-1
6.094966667E-2,4.464661611E-2,-4.136144936E-2,-1.712088132E-1,1.817045611E-1
7.091366667E-2,2.362006883E-1,-1.455956697E-4,-1.174717319E-1,2.637999131E-1
8.087766667E-2,2.784317282E-1,5.784591973E-2,-9.774790406E-2,3.007075497E-1
9.084066667E-2,2.628297489E-1,4.738466620E-2,-1.552365589E-1,3.089064142E-1
1.008046667E-1,2.522481706E-1,3.744790792E-2,-1.850701861E-1,3.150911918E-1
1.107686667E-1,2.618855515E-1,3.359283864E-2,-9.867172759E-2,2.818663348E-1
1.207316667E-1,2.400039000E-1,3.377468705E-2,-3.507973077E-2,2.448942405E-1
1.306956667E-1,2.707777229E-1,3.698831677E-2,6.404575903E-2,2.806965801E-1
1.406596667E-1,2.935730383E-1,3.621531487E-2,1.439245721E-1,3.289543438E-1
1.506226667E-1,3.436060730E-1,9.071078002E-2,-1.520630557E-2,3.557032622E-1
1.605866667E-1,3.401417439E-1,1.196088892E-1,-1.413705083E-1,3.872832464E-1
1.705506667E-1,2.808261630E-1,1.251356775E-1,-1.753193692E-1,3.539196983E-1
1.805136667E-1,3.195641495E-1,1.271909738E-1,-1.744294413E-1,3.856480512E-1
1.904776667E-1,3.927021096E-1,1.154591203E-1,-4.695661347E-2,4.120081053E-1
2.004416667E-1,4.955559120E-1,1.542162198E-1,1.544331880E-1,5.414867624E-1
2.104050000E-1,4.885174723E-1,1.234487557E-1,2.459549769E-1,5.606984632E-1
2.203690000E-1,3.572004108E-1,7.492271304E-2,1.425773370E-1,3.918339488E-1
2.303330000E-1,3.279528574E-1,2.190133095E-2,1.063164322E-1,3.454503274E-1
2.402960000E-1,4.217518444E-1,4.444760978E-2,9.570368093E-2,4.347521165E-1
2.502600000E-1,5.413179758E-1,9.209540069E-2,-1.442511756E-2,5.492857160E-1
2.602240000E-1,7.278745607E-1,2.101951236E-1,-7.086353939E-2,7.609237854E-1
2.701880000E-1,9.959085142E-1,3.141954553E-1,-5.233139237E-2,1.045605627E0
2.801510000E-1,1.437507855E0,5.412282211E-1,1.087769222E-1,1.539866630E0
2.901150000E-1,2.023277534E0,7.899658513E-1,2.164124680E-1,2.182780882E0
3.000790000E-1,2.354733970E0,8.998391265E-1,1.055352259E-1,2.523018075E0
3.100420000E-1,2.463878974E0,8.868279022E-1,1.090716036E-1,2.620889151E0
3.200060000E-1,2.523035255E0,8.400992936E-1,3.314049804E-1,2.679795324E0
3.299700000E-1,2.611509767E0,6.678736496E-1,5.439243722E-1,2.749889488E0
3.399330000E-1,2.704475818E0,5.186638159E-1,6.771952808E-1,2.835805891E0
3.498970000E-1,2.803476488E0,3.772184998E-1,7.215908504E-1,2.919326561E0
3.598610000E-1,2.953047388E0,3.741563129E-1,4.771351361E-1,3.014654169E0
3.698240000E-1,3.279186366E0,4.430341744E-1,1.344695878E-1,3.311710218E0
3.797880000E-1,3.595507284E0,5.233123523E-1,-6.324933171E-2,3.633941238E0
3.897520000E-1,3.838028739E0,5.939812160E-1,-6.897960305E-3,3.883725772E0
3.997150000E-1,4.022147035E0,5.530062675E-1,1.810520160E-1,4.064020489E0
4.096790000E-1,4.066284450E0,5.587669444E-1,1.400279510E-1,4.106884166E0
4.196430000E-1,3.908672167E0,5.219797719E-1,-4.145616969E-2,3.943589686E0
4.296060000E-1,3.814810323E0,4.559103280E-1,-1.049890959E-1,3.843391047E0
4.395700000E-1,3.912600034E0,3.905378723E-1,5.838385900E-2,3.932476006E0
4.495340000E-1,3.941907741E0,3.580922574E-1,3.619028878E-1,3.974649721E0
4.594970000E-1,3.814374121E0,2.913883907E-1,5.410229838E-1,3.863555745E0
4.694610000E-1,3.588981206E0,2.330670923E-1,5.521128130E-1,3.638672138E0
4.794250000E-1,3.470509016E0,2.073796892E-1,5.319662315E-1,3.517161816E0
4.893880000E-1,3.251039624E0,1.601599145E-1,3.941070127E-1,3.278754363E0
4.993520000E-1,3.009195861E0,1.133845282E-1,3.518252116E-1,3.031814104E0
5.093160000E-1,2.947850967E0,7.686457336E-2,5.281491691E-1,2.995776198E0
5.192790000E-1,2.787129427E0,-4.032473803E-2,7.602117097E-1,2.889227989E0
5.292430000E-1,2.376047948E0,-2.075855112E-1,8.112409455E-1,2.519287095E0
5.392070000E-1,2.113506065E0,-2.334863377E-1,7.272989023E-1,2.247306710E0
5.491700000E-1,1.797693562E0,-3.558364016E-1,7.316667724E-1,1.973235402E0
5.591340000E-1,1.447196984E0,-4.376506430E-1,8.399151063E-1,1.729559071E0
5.690980000E-1,1.043711768E0,-6.029198545E-1,1.018555731E0,1.578069194E0
5.790610000E-1,3.552923182E-1,-8.489677656E-1,1.033168507E0,1.383624249E0
5.890250000E-1,-1.980862708E-1,-1.006235647E0,9.011629361E-1,1.365226350E0
5.989890000E-1,-4.506714421E-1,-1.063745937E0,8.984398878E-1,1.463507567E0
6.089530000E-1,-8.063668527E-1,-1.144067384E0,9.323736191E-1,1.681796137E0
6.189160000E-1,-1.369648286E0,-1.285330267E0,9.242664546E-1,2.093389310E0
6.288800000E-1,-1.760636394E0,-1.339570794E0,1.006188285E0,2.430371430E0
6.388440000E-1,-1.910800786E0,-1.326333282E0,1.288843859E0,2.659217575E0
6.488070000E-1,-1.933390042E0,-1.264822912E0,1.451662502E0,2.728570701E0
6.587710000E-1,-1.910731789E0,-1.081236713E0,1.246467918E0,2.524609092E0
6.687350000E-1,-2.096715200E0,-9.209779805E-1,1.144219412E0,2.560010377E0
6.786980000E-1,-2.371028990E0,-8.095867682E-1,1.340653113E0,2.841577023E0
6.886620000E-1,-2.615627376E0,-7.245460331E-1,1.618326859E0,3.159977112E0
6.986260000E-1,-2.714751130E0,-5.802630633E-1,1.768058850E0,3.291293214E0
7.085890000E-1,-2.746618456E0,-4.093583053E-1,1.757413993E0,3.286333992E0
7.185530000E-1,-2.943784521E0,-3.724325538E-1,1.854664884E0,3.499193499E0
7.285170000E-1,-3.272021188E0,-4.552361441E-1,1.790236754E0,3.757433996E0
7.384800000E-1,-3.621139138E0,-5.381701273E-1,1.725309856E0,4.047094000E0
7.484440000E-1,-3.961607303E0,-6.172303301E-1,1.588133007E0,4.312478655E0
7.584080000E-1,-4.037011242E0,-6.603997386E-1,1.351364043E0,4.308105426E0
7.683710000E-1,-4.119713091E0,-5.915785950E-1,1.190398382E0,4.328862378E0
7.783350000E-1,-4.159581161E0,-6.292738402E-1,1.237103602E0,4.385034358E0
7.882990000E-1,-4.116152721E0,-6.256468123E-1,1.173868303E0,4.325750103E0
7.982620000E-1,-3.957133598E0,-6.018012822E-1,1.149578385E0,4.164444928E0
8.082260000E-1,-3.912205640E0,-5.950658745E-1,1.098490677E0,4.106840407E0
8.181900000E-1,-3.893178508E0,-6.092787015E-1,8.763175321E-1,4.036829430E0
8.281530000E-1,-3.967636367E0,-7.025014454E-1,8.446811718E-1,4.116932463E0
8.381170000E-1,-4.106915290E0,-7.046310014E-1,7.685802448E-1,4.237212956E0
8.480810000E-1,-3.929045328E0,-4.551513594E-1,6.273173618E-1,4.004758048E0
8.580440000E-1,-3.536291361E0,-1.738704658E-1,5.430216352E-1,3.581963153E0
8.680080000E-1,-3.156479329E0,2.297926515E-1,4.199060977E-1,3.192567548E0
8.779720000E-1,-2.881368710E0,6.915344077E-1,2.406409907E-1,2.972946950E0
8.879360000E-1,-2.484353000E0,1.281530161E0,-3.120249689E-2,2.795586339E0
8.978990000E-1,-1.973823245E0,2.057952692E0,-1.913676739E-1,2.857930908E0
9.078630000E-1,-1.418495341E0,2.957813453E0,-6.072567344E-2,3.280926251E0
9.178270000E-1,-9.081038003E-1,3.908897578E0,2.025317627E-1,4.018103022E0
9.277900000E-1,-6.462143203E-1,4.695258036E0,5.179416482E-1,4.767735785E0
9.377540000E-1,-8.350300500E-1,5.247806466E0,7.750835180E-1,5.370056085E0
9.477180000E-1,-1.147434722E0,5.699291621E0,9.785631144E-1,5.895431892E0
9.576810000E-1,-1.181761314E0,6.085312520E0,1.385457403E0,6.351935176E0
