"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.660563900E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
6.151829500E-2,-3.468570113E-2,1.202297211E-2,4.837185144E-3,3.702766643E-2
6.643089900E-2,-5.479151011E-2,3.322601318E-3,4.113304615E-2,6.859356198E-2
7.134350300E-2,-4.258488119E-2,1.339912415E-2,5.155622959E-2,6.819863227E-2
7.625616000E-2,-2.635246515E-2,3.960418701E-2,8.221167326E-2,9.498264720E-2
8.116876400E-2,1.481577754E-3,4.912662506E-2,9.314578772E-2,1.053174161E-1
8.608142000E-2,-4.077911377E-3,7.509613037E-2,1.258056462E-1,1.465712072E-1
9.099402400E-2,-2.448578179E-2,1.182136536E-1,1.447207332E-1,1.884624950E-1
9.590662800E-2,-3.732627630E-2,1.328401566E-1,1.538457274E-1,2.066597831E-1
1.008192850E-1,3.942012787E-3,1.454591751E-1,1.777576208E-1,2.297208803E-1
1.057318890E-1,5.421033502E-2,1.583509445E-1,1.804653704E-1,2.461331590E-1
1.106445450E-1,7.428221405E-2,1.407070160E-1,1.613611579E-1,2.266136248E-1
1.155571490E-1,1.287215054E-1,1.187305450E-1,1.170262098E-1,2.106212289E-1
1.204697530E-1,1.646487117E-1,8.121871948E-2,4.601871967E-2,1.892707088E-1
1.253824100E-1,1.925566792E-1,5.331707001E-2,-4.650905728E-2,2.051435524E-1
1.302950140E-1,1.683890373E-1,4.087734222E-2,-1.088261604E-1,2.046190562E-1
1.352076180E-1,1.603347659E-1,7.667446136E-2,-1.771913171E-1,2.509640871E-1
1.401202740E-1,1.288504601E-1,4.972457886E-2,-2.042352855E-1,2.465502518E-1
1.450328780E-1,6.118040532E-2,1.983737946E-2,-1.968745589E-1,2.071138710E-1
1.499455350E-1,6.096728146E-2,-3.803825378E-2,-1.909167171E-1,2.039929190E-1
