"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.398266000E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
5.889479600E-2,-2.346098423E-3,8.313179016E-3,1.171359420E-2,1.455408576E-2
6.380693100E-2,-2.054151893E-2,1.184654236E-2,1.384118199E-2,2.745674570E-2
6.871906600E-2,-4.957251251E-2,1.421165466E-2,1.334941387E-2,5.326924042E-2
7.363120200E-2,-8.810657263E-2,1.516914368E-2,9.929239750E-3,8.995254784E-2
7.854333700E-2,-1.406916976E-1,1.862907410E-2,9.442090988E-3,1.422334323E-1
8.345547300E-2,-1.928262562E-1,2.010726929E-2,1.354923844E-2,1.943446660E-1
8.836760800E-2,-2.456124276E-1,2.812767029E-2,1.555946469E-2,2.477069385E-1
9.327974300E-2,-3.019825220E-1,3.784275055E-2,1.359641552E-2,3.046479606E-1
9.819182700E-2,-3.383563161E-1,3.844833374E-2,5.750238895E-3,3.405823487E-1
1.031039620E-1,-3.542729616E-1,2.415180206E-2,7.390916348E-3,3.551721646E-1
1.080160980E-1,-3.487511873E-1,2.469062805E-3,1.539278030E-2,3.490994480E-1
1.129282330E-1,-3.268333375E-1,-1.090526581E-2,2.281975746E-2,3.278104585E-1
1.178403680E-1,-2.908194363E-1,-1.672458649E-2,3.208824992E-2,2.930619595E-1
1.227525040E-1,-2.472998649E-1,-1.553440094E-2,4.764586687E-2,2.523265135E-1
1.276646390E-1,-2.070534974E-1,-3.256797791E-3,6.705141068E-2,2.176640742E-1
1.325767750E-1,-1.555329114E-1,1.543045044E-3,9.248310328E-2,1.809585365E-1
1.374889100E-1,-9.732298553E-2,-6.752014160E-4,1.101295948E-1,1.469719261E-1
1.424010460E-1,-4.157038033E-2,-9.552955627E-3,1.180090010E-1,1.254809938E-1
1.473131290E-1,-4.008844495E-3,-2.935981750E-2,1.188069582E-1,1.224465722E-1
1.522252640E-1,2.755625546E-2,-4.142665863E-2,1.080260575E-1,1.189333610E-1
1.571374000E-1,3.962635994E-2,-6.215476990E-2,9.073418379E-2,1.169023350E-1
1.620495350E-1,3.065934777E-2,-8.208465576E-2,6.010946631E-2,1.062592785E-1
1.669616710E-1,8.082717657E-3,-8.985137939E-2,1.893511415E-2,9.217992868E-2
1.718738060E-1,-2.086764574E-2,-9.974575043E-2,-2.572256327E-2,1.051014920E-1
1.767859410E-1,-5.137470365E-2,-1.024913788E-1,-6.701976061E-2,1.327986868E-1
1.816980770E-1,-7.416310906E-2,-1.052703857E-1,-1.004485190E-1,1.633154182E-1
1.866102120E-1,-8.476042747E-2,-1.057729721E-1,-1.353429854E-1,1.915462748E-1
1.915223480E-1,-9.735020995E-2,-1.110162735E-1,-1.621955931E-1,2.193378371E-1
1.964344830E-1,-1.070604324E-1,-1.115913391E-1,-1.788112670E-1,2.364064982E-1
2.013465660E-1,-1.232251227E-1,-1.192216873E-1,-1.855801195E-1,2.526622693E-1
2.062587540E-1,-1.270820498E-1,-1.244144440E-1,-1.851449758E-1,2.567244891E-1
2.111708370E-1,-1.213297546E-1,-1.272354126E-1,-1.825999618E-1,2.534807796E-1
2.160829730E-1,-1.064522266E-1,-1.300649643E-1,-1.829933226E-1,2.484663511E-1
2.209951080E-1,-8.736664057E-2,-1.259174347E-1,-1.817850471E-1,2.377686556E-1
2.259072430E-1,-6.429502368E-2,-1.033315659E-1,-1.838351190E-1,2.204690762E-1
2.308193790E-1,-3.945884109E-2,-6.509780884E-2,-1.702432632E-1,1.864872476E-1
2.357315140E-1,-1.268687844E-2,-1.389884949E-2,-1.411633492E-1,1.424121696E-1
2.406436500E-1,1.601845026E-2,4.299545288E-2,-8.960735798E-2,1.006711395E-1
2.455557850E-1,4.665347934E-2,1.031627655E-1,-2.267238498E-2,1.154692182E-1
2.504679210E-1,8.158716559E-2,1.479005814E-1,4.571247101E-2,1.749876497E-1
2.553800560E-1,1.228389889E-1,1.752662659E-1,1.135009825E-1,2.422605089E-1
2.602921910E-1,1.560891867E-1,1.880121231E-1,1.761965156E-1,3.012600284E-1
2.652043270E-1,1.672054827E-1,1.771030426E-1,2.387769222E-1,3.410829514E-1
2.701164620E-1,1.752259433E-1,1.500682831E-1,2.941831648E-1,3.738560622E-1
2.750285460E-1,1.943618655E-1,1.119136810E-1,3.261733353E-1,3.958411947E-1
2.799406810E-1,2.386678457E-1,6.516933441E-2,3.613429666E-1,4.379247906E-1
2.848528160E-1,2.889178395E-1,3.342437744E-2,3.876741529E-1,4.846462171E-1
2.897649520E-1,3.310160935E-1,1.169681549E-2,3.787844181E-1,5.031760180E-1
2.946770870E-1,3.674037755E-1,-7.244110107E-3,3.323799372E-1,4.954941311E-1
2.995892230E-1,3.957878053E-1,-2.579307556E-2,2.768982053E-1,4.837208758E-1
3.045013580E-1,4.138446450E-1,-4.396533966E-2,2.239779830E-1,4.726166292E-1
3.094134930E-1,4.168566167E-1,-7.588958740E-2,1.783707142E-1,4.597225033E-1
3.143256290E-1,4.190348387E-1,-1.072540283E-1,1.425718665E-1,4.554342540E-1
3.192377640E-1,4.132148325E-1,-1.451568604E-1,1.142634153E-1,4.526291418E-1
3.241499000E-1,4.182686806E-1,-1.848163605E-1,8.881056309E-2,4.658251736E-1
3.290620350E-1,4.315022230E-1,-2.238826752E-1,6.152385473E-2,4.900028627E-1
3.339741710E-1,4.482003748E-1,-2.600269318E-1,3.477329016E-2,5.193329981E-1
3.388863060E-1,4.778756499E-1,-2.862567902E-1,8.659243584E-3,5.571203364E-1
