"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.982663100E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
5.473892300E-2,1.022548825E-1,9.732246399E-3,-9.547305107E-2,1.402350922E-1
5.965121500E-2,2.838317156E-1,-9.196376801E-2,-3.451529741E-1,4.562327837E-1
6.456350600E-2,1.340516806E-1,1.312198639E-1,-3.145761490E-1,3.662603708E-1
6.947579800E-2,8.675333858E-2,2.515811920E-1,-1.930844784E-1,3.287869427E-1
7.438809000E-2,6.963375211E-2,2.805290222E-1,-1.022597551E-1,3.065981886E-1
7.930038100E-2,1.275223196E-1,1.613969803E-1,-2.851486206E-3,2.057159649E-1
8.421272500E-2,1.686730087E-1,8.007049561E-3,1.365127563E-1,2.171414961E-1
8.912501700E-2,1.482009292E-1,-8.794021606E-2,1.925625801E-1,2.584131271E-1
9.403730800E-2,1.008018553E-1,-1.431941986E-1,1.335214376E-1,2.202125493E-1
9.894960000E-2,-1.076489687E-3,-1.187667847E-1,6.165802479E-2,1.338223449E-1
1.038618920E-1,-1.597483754E-1,-2.275085449E-2,2.480506897E-2,1.632557389E-1
1.087741830E-1,-3.248830736E-1,7.021141052E-2,-2.025866508E-2,3.330001009E-1
1.136864750E-1,-4.514865279E-1,1.304149628E-1,-2.476704121E-2,4.705970184E-1
1.185988190E-1,-4.897659421E-1,2.008638382E-1,-5.007147789E-3,5.293789107E-1
1.235111100E-1,-4.769273996E-1,2.320909500E-1,1.517117023E-2,5.306186182E-1
1.284234020E-1,-4.514920712E-1,2.625589371E-1,4.497265816E-2,5.242182997E-1
1.333356940E-1,-3.661752939E-1,2.969150543E-1,6.602823734E-2,4.760279650E-1
1.382479850E-1,-2.075217962E-1,3.100872040E-1,1.402288675E-1,3.986019384E-1
1.431602770E-1,-5.125726014E-2,3.212966919E-1,2.311645746E-1,3.991189441E-1
