"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.362541669E-3,-5.650734589E-2,-5.861950636E-2,6.440379135E-1,6.491642017E-1
1.332554167E-2,-7.425744608E-3,-6.569229841E-2,5.879192613E-1,5.916246087E-1
2.328854166E-2,5.904664546E-3,4.119071066E-2,3.519829403E-1,3.544340982E-1
3.325254167E-2,-1.360774990E-1,-2.477699161E-2,2.958639957E-1,3.265983604E-1
4.321554166E-2,-2.165302163E-1,-4.048436701E-2,4.348976277E-1,4.875041180E-1
5.317854167E-2,-1.811197706E-1,-6.087653160E-2,3.995487240E-1,4.428876903E-1
6.314154167E-2,-2.656514324E-1,-6.016200185E-3,1.223377848E-1,2.925293349E-1
7.310454168E-2,-2.308089707E-1,2.575113773E-2,-1.749562937E-1,2.907672725E-1
8.306754167E-2,-1.573419951E-1,7.567817330E-2,-2.777516605E-1,3.280696180E-1
9.303054167E-2,-5.391395956E-2,4.912772119E-2,4.019814581E-3,7.305071481E-2
1.029945417E-1,-1.587138981E-2,1.158333421E-3,1.008540912E-1,1.021018632E-1
1.129575417E-1,1.409646749E-2,3.407055616E-2,7.399695262E-2,8.267443493E-2
1.229205417E-1,6.462964006E-2,3.784844220E-2,1.769102870E-1,1.921112818E-1
1.328835417E-1,1.585431594E-1,4.365531206E-2,3.529246344E-1,3.893552583E-1
1.428465417E-1,1.772696715E-1,3.768998265E-2,3.606486601E-1,4.036242401E-1
1.528095417E-1,1.082296959E-1,7.683416784E-2,1.556977580E-1,2.045945950E-1
1.627725417E-1,1.788541207E-1,1.150351971E-1,1.258135159E-1,2.470848718E-1
1.727355417E-1,1.878219954E-1,6.050874174E-2,2.531342979E-1,3.209600949E-1
1.826995417E-1,1.382640653E-1,3.291222274E-2,2.101058073E-1,2.536624064E-1
1.926625417E-1,1.643897172E-1,-3.053416014E-3,1.229597823E-1,2.053105222E-1
2.026255417E-1,2.318591306E-1,1.795562983E-2,-5.967317462E-2,2.400873776E-1
2.125885417E-1,4.403657245E-1,1.472802526E-1,-1.060657145E-1,4.763017740E-1
2.225515417E-1,6.294424593E-1,1.761596507E-1,-1.277558148E-2,6.537532008E-1
2.325145417E-1,6.982443801E-1,2.259925461E-1,1.451126897E-1,7.481146556E-1
2.424775417E-1,9.682883871E-1,3.534729570E-1,2.158071350E-1,1.053137337E0
2.524415417E-1,1.286720442E0,5.281269497E-1,1.547569411E-1,1.399470358E0
2.624045417E-1,1.418057384E0,6.062258703E-1,1.127061050E-1,1.546317955E0
2.723675417E-1,1.419603388E0,6.044547486E-1,1.966675901E-1,1.555415528E0
2.823305417E-1,1.547483310E0,6.020807791E-1,5.495232274E-1,1.749051639E0
2.922935417E-1,1.829815972E0,6.232623178E-1,8.902855070E-1,2.128213028E0
3.022565417E-1,2.329584218E0,7.949307221E-1,9.024795829E-1,2.621706864E0
3.122195417E-1,2.820120295E0,9.699308699E-1,7.748964071E-1,3.081283631E0
3.221825417E-1,3.190879668E0,1.188499206E0,4.651641315E-1,3.436658419E0
3.321465417E-1,3.518802924E0,1.320734573E0,3.486395024E-1,3.774634199E0
3.421095417E-1,3.758398433E0,1.343638701E0,5.500890917E-1,4.029084480E0
3.520725417E-1,4.039427019E0,1.349446156E0,8.980695397E-1,4.352528514E0
3.620355417E-1,4.304865467E0,1.232232871E0,1.127502222E0,4.617523773E0
3.719985417E-1,4.525478574E0,1.155336723E0,1.138764690E0,4.807446754E0
3.819615417E-1,4.747522496E0,1.124672754E0,1.091691535E0,4.999564887E0
3.919245417E-1,4.984605163E0,1.016118026E0,1.258932281E0,5.240581548E0
4.018885417E-1,5.047152829E0,9.266041714E-1,1.397664050E0,5.318440727E0
4.118515417E-1,4.990870455E0,7.641194040E-1,1.676406668E0,5.320056924E0
4.218145417E-1,4.701341479E0,4.559284544E-1,1.939107595E0,5.105939749E0
4.317775417E-1,4.237998755E0,2.551222050E-1,1.516462516E0,4.508367703E0
4.417405417E-1,3.875804383E0,2.351615649E-1,7.289893323E-1,3.950770308E0
4.517035417E-1,3.713959594E0,1.549050218E-1,8.511850297E-2,3.718163067E0
4.616665417E-1,3.817989162E0,2.179426843E-1,1.876056484E-1,3.828803486E0
4.716305417E-1,4.001443506E0,7.048116803E-2,9.890231985E-1,4.122460990E0
4.815935417E-1,4.049330741E0,1.472469234E-1,1.561787792E0,4.342573225E0
4.915565417E-1,4.257792165E0,2.565009785E-1,1.502277170E0,4.522325018E0
5.015195417E-1,4.106296654E0,3.096393049E-1,1.094196555E0,4.260846725E0
5.114825417E-1,3.664957880E0,8.234984636E-2,1.134740563E0,3.837490574E0
5.214455417E-1,3.003781339E0,-2.567389601E-1,1.331612148E0,3.295725738E0
5.314085417E-1,2.058309226E0,-7.406638831E-1,9.294201905E-1,2.376771286E0
5.413725417E-1,1.140595454E0,-1.280492281E0,1.591512332E-1,1.722192668E0
5.513355417E-1,6.895236965E-1,-1.734608683E0,1.817425722E-1,1.875457431E0
5.612985417E-1,4.797220540E-1,-2.069053046E0,4.664937884E-1,2.174564373E0
5.712615417E-1,3.127772862E-1,-2.144607258E0,4.036326752E-1,2.204561013E0
5.812245417E-1,2.486121344E-1,-2.220533354E0,2.117978454E-1,2.244423021E0
5.911875417E-1,2.472621585E-1,-2.039318200E0,-8.954893827E-2,2.056204345E0
6.011505417E-1,3.682777051E-1,-1.630528829E0,-3.704415768E-1,1.712156445E0
6.111145417E-1,2.444122073E-1,-1.528596658E0,-1.581011099E-1,1.556065882E0
6.210775417E-1,-5.634323281E-1,-1.863072011E0,2.868123597E-1,1.967423349E0
6.310405417E-1,-1.644662426E0,-2.136600081E0,6.865788194E-1,2.782330836E0
6.410035417E-1,-2.570173168E0,-2.381147597E0,1.059281003E0,3.660291004E0
6.509665417E-1,-3.486495011E0,-2.616826640E0,1.148298941E0,4.507995074E0
6.609295417E-1,-4.066803683E0,-2.589389166E0,1.170218471E0,4.961173220E0
6.708935417E-1,-4.001959231E0,-2.195057620E0,1.217927731E0,4.724119346E0
6.808565417E-1,-3.484002051E0,-1.462267013E0,1.406740099E0,4.031800195E0
6.908195417E-1,-2.943459708E0,-5.731826699E-1,1.480161247E0,3.344154713E0
7.007816667E-1,-2.768408105E0,-1.296620071E-2,1.641552585E0,3.218531722E0
7.107446667E-1,-3.093919969E0,2.054717427E-1,1.989625053E0,3.684177963E0
7.207076667E-1,-3.752728680E0,1.903853416E-1,2.115459473E0,4.312121045E0
7.306706667E-1,-4.351781479E0,1.509119582E-1,2.189245634E0,4.873763730E0
7.406346667E-1,-5.100475343E0,1.447712123E-2,2.392768353E0,5.633861793E0
7.505976667E-1,-5.560309153E0,-8.650253892E-2,2.780380279E0,6.217317352E0
7.605606667E-1,-5.543563312E0,8.596517980E-2,3.114968483E0,6.359364186E0
7.705236667E-1,-5.470316411E0,2.287863457E-1,2.883476046E0,6.187983430E0
7.804866667E-1,-5.262246165E0,4.813182342E-1,2.301233554E0,5.763556005E0
7.904496667E-1,-4.990338943E0,6.752165830E-1,1.661619644E0,5.302865267E0
8.004126667E-1,-4.777488891E0,7.478875333E-1,1.085101138E0,4.955923763E0
8.103766667E-1,-4.590401672E0,6.880214006E-1,8.395900011E-1,4.716998232E0
8.203396667E-1,-4.342660114E0,6.246527857E-1,6.756399214E-1,4.439073921E0
