"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.453302900E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
5.944532000E-2,1.011937857E-3,1.193046570E-3,-1.058283448E-2,1.069783922E-2
6.435766400E-2,-2.659071982E-2,-1.357173920E-2,-1.011016965E-2,3.151942283E-2
6.926995600E-2,-5.593585223E-2,-1.197147369E-2,-2.201130986E-2,6.129138201E-2
7.418224700E-2,-7.548218966E-2,1.149940491E-2,-1.781356335E-2,7.840357331E-2
7.909453900E-2,-6.312179565E-2,1.159191132E-2,-2.913945913E-2,7.048291689E-2
8.400688300E-2,-5.856936425E-2,-1.261520386E-2,-2.340847254E-2,6.432317144E-2
8.891917400E-2,-6.225109845E-2,-3.615474701E-2,-1.256737113E-2,7.307738232E-2
9.383146600E-2,-4.726027697E-2,-2.147674561E-2,-5.254924297E-3,5.217660981E-2
9.874381000E-2,-3.643849865E-2,-3.008651733E-2,3.153359890E-2,5.680959926E-2
1.036561010E-1,-2.030647546E-2,-1.645660400E-2,4.361245036E-2,5.084504487E-2
1.085683930E-1,-2.295384556E-2,-3.482913971E-2,5.290883780E-2,6.737427637E-2
1.134807370E-1,-1.205687225E-2,-4.982662201E-2,5.091926455E-2,7.225532459E-2
1.183930290E-1,-3.733485192E-2,-1.959228516E-2,3.161755204E-2,5.270121823E-2
1.233053200E-1,-3.419188410E-2,-2.645492554E-3,3.828907013E-2,5.140171651E-2
1.282176120E-1,-7.170379162E-2,-4.725456238E-3,2.900090814E-2,7.749075004E-2
1.331299560E-1,-8.705638349E-2,1.583385468E-2,5.411583185E-2,1.037210110E-1
1.380422470E-1,-1.019882634E-1,3.078556061E-2,8.028423786E-2,1.333975842E-1
1.429545390E-1,-1.099192500E-1,5.864906311E-2,7.600587606E-2,1.459412461E-1
1.478668830E-1,-8.630837500E-2,5.798435211E-2,9.742271900E-2,1.424868656E-1
1.527791740E-1,-1.009159684E-1,4.836940765E-2,8.636748791E-2,1.413611518E-1
1.576914660E-1,-6.752060354E-2,3.014850616E-2,9.237256646E-2,1.183243650E-1
1.626037580E-1,-5.889743194E-2,3.109073639E-2,9.171822667E-2,1.133480237E-1
1.675161010E-1,-6.229833513E-2,4.516601562E-3,6.155067682E-2,8.769246300E-2
1.724283930E-1,-3.598728776E-2,1.578712463E-2,2.810025215E-2,4.831089272E-2
1.773406850E-1,-1.316835731E-2,-9.651184082E-4,2.568358183E-2,2.887877185E-2
1.822530290E-1,2.719109878E-2,-2.399921417E-2,1.380762458E-2,3.880681165E-2
1.871653200E-1,4.533213750E-2,-3.468513489E-2,-1.415142417E-2,5.880751719E-2
1.920776120E-1,4.911437258E-2,-3.116893768E-2,-6.744951010E-3,5.855953069E-2
1.969899560E-1,5.068001151E-2,-9.281158447E-3,1.635250449E-2,5.405559982E-2
2.019022470E-1,8.024773747E-2,-1.127719879E-2,2.708256245E-2,8.544202578E-2
2.068145390E-1,9.304845333E-2,-1.323127747E-2,4.692447186E-2,1.050475484E-1
2.117268310E-1,1.223045811E-1,-3.140068054E-2,9.894087911E-2,1.604173022E-1
2.166391740E-1,1.281379312E-1,-3.281593323E-2,1.103286743E-1,1.722458454E-1
2.215514660E-1,1.320704818E-1,-3.424072266E-2,7.769629359E-2,1.570087682E-1
2.264637580E-1,1.482330561E-1,-4.498291016E-2,7.200738788E-2,1.708261251E-1
2.313761010E-1,1.319038868E-1,-4.849624634E-2,2.485713363E-2,1.427178978E-1
2.362883930E-1,9.551102668E-2,-9.391880035E-2,2.101251483E-2,1.355899077E-1
2.412006850E-1,5.109935254E-2,-8.925151825E-2,-2.251780033E-2,1.052807137E-1
2.461130290E-1,-1.778403670E-2,-9.875583649E-2,-5.125528574E-2,1.126769343E-1
2.510253200E-1,-7.801357657E-2,-1.010656357E-1,-6.801748276E-2,1.446608406E-1
2.559376120E-1,-1.253872365E-1,-1.173810959E-1,-8.257097006E-2,1.905734657E-1
2.608499560E-1,-1.344473958E-1,-1.193351746E-1,-6.680586934E-2,1.917811521E-1
2.657622470E-1,-1.434549689E-1,-9.556198120E-2,-3.999397159E-2,1.769489704E-1
2.706745390E-1,-1.523928940E-1,-6.767559052E-2,-1.633876562E-2,1.675426363E-1
2.755868310E-1,-1.778906733E-1,-3.573799133E-2,1.607710123E-2,1.821558916E-1
2.804991740E-1,-1.916070879E-1,-4.432868958E-2,4.783910513E-2,2.024027886E-1
2.854114660E-1,-2.243910581E-1,-3.400421143E-2,8.836701512E-2,2.435495077E-1
2.903237580E-1,-2.385222614E-1,-5.149841309E-3,1.189825237E-1,2.666012584E-1
2.952361010E-1,-2.484563440E-1,1.842117310E-2,1.259160042E-1,2.791500217E-1
3.001483930E-1,-2.377648950E-1,2.039813995E-2,1.120113432E-1,2.636186078E-1
3.050606850E-1,-2.325240374E-1,1.763343811E-2,1.058622599E-1,2.560960448E-1
3.099730290E-1,-1.503896713E-1,3.370666504E-2,1.142776608E-1,1.918660373E-1
3.148853200E-1,-6.061207503E-2,4.243278503E-2,1.275929809E-1,1.474935038E-1
3.197976120E-1,1.336956769E-2,7.215309143E-2,1.246576309E-1,1.446524763E-1
3.247099040E-1,6.253512949E-2,5.667400360E-2,1.269494295E-1,1.524425884E-1
3.296222470E-1,1.275649965E-1,-1.968955994E-2,1.085613370E-1,1.686596306E-1
3.345345390E-1,1.376800984E-1,-8.299160004E-2,8.142802119E-2,1.802052658E-1
3.394468310E-1,1.476947814E-1,-9.817886353E-2,2.900427580E-2,1.797055528E-1
3.443591740E-1,9.870047867E-2,-1.060771942E-1,-1.314967871E-2,1.454890706E-1
3.492714660E-1,9.053155780E-2,-1.020860672E-1,-4.780927300E-2,1.445795790E-1
3.541837580E-1,6.372566521E-2,-1.264410019E-1,-1.364425421E-1,1.966338085E-1
3.590961010E-1,6.096930429E-2,-1.457080841E-1,-1.534506679E-1,2.202162785E-1
3.640083930E-1,5.596147850E-2,-1.222705841E-1,-1.566639841E-1,2.064591648E-1
3.689206850E-1,6.529779732E-2,-8.977127075E-2,-1.273799688E-1,1.689625397E-1
3.738330290E-1,7.464987785E-2,-7.898998260E-2,-1.061305404E-1,1.519069229E-1
3.787453200E-1,1.102237031E-1,-6.837368011E-2,-9.028351307E-2,1.580358744E-1
3.836576120E-1,1.246983781E-1,-6.972312927E-2,-6.306669116E-2,1.561678834E-1
3.885699560E-1,1.041811332E-1,-3.803253174E-2,-2.463439107E-2,1.136091335E-1
3.934822470E-1,6.091094017E-2,-2.332401276E-2,-1.044392586E-2,6.605473330E-2
3.983945390E-1,1.376261562E-2,-1.826286316E-2,-1.545709372E-2,2.760187504E-2
4.033068830E-1,-3.736817837E-2,1.269340515E-2,-6.329327822E-3,3.996953439E-2
