"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.092516000E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
5.583797300E-2,3.157550097E-2,1.351165771E-2,3.527617455E-2,4.923398873E-2
6.075078500E-2,5.782464147E-2,3.816699982E-2,6.763434410E-2,9.682362076E-2
6.566359800E-2,8.431528509E-2,7.392406464E-2,7.763087749E-2,1.363832386E-1
7.057635800E-2,9.172871709E-2,1.054048538E-1,1.320261955E-1,1.922375017E-1
7.548917000E-2,9.354706109E-2,1.159162521E-1,1.780136824E-1,2.321131217E-1
8.040198300E-2,9.561928362E-2,8.085727692E-2,1.724243164E-1,2.130987835E-1
8.531479500E-2,1.288111806E-1,6.635856628E-2,1.324377060E-1,1.963046753E-1
9.022755600E-2,1.201144010E-1,5.651473999E-2,1.084108353E-1,1.713893064E-1
9.514036800E-2,8.177809417E-2,4.607772827E-2,9.331238270E-2,1.323556364E-1
1.000531810E-1,3.710993752E-2,5.217075348E-2,8.344256878E-2,1.051741283E-1
1.049659930E-1,-4.506178200E-2,1.063632965E-1,4.064178467E-2,1.224559909E-1
1.098788060E-1,-1.829824448E-1,1.261415482E-1,-2.702832222E-3,2.222646408E-1
1.147915660E-1,-2.941794991E-1,1.163415909E-1,-4.510164261E-2,3.195482775E-1
1.197043790E-1,-3.523693979E-1,1.480340958E-1,-1.051695347E-1,3.964075139E-1
1.246171910E-1,-3.656056523E-1,1.425676346E-1,-1.197340488E-1,4.102794973E-1
1.295300040E-1,-3.318237662E-1,1.470956802E-1,-1.592918634E-1,3.963811912E-1
1.344427640E-1,-2.803692520E-1,1.587982178E-1,-1.730961800E-1,3.657677937E-1
1.393555770E-1,-2.548511922E-1,1.796350479E-1,-1.787081957E-1,3.593807171E-1
1.442683890E-1,-2.037435323E-1,1.750698090E-1,-1.968404055E-1,3.330270412E-1
1.491812020E-1,-1.277799457E-1,1.644744873E-1,-2.177611589E-1,3.013295436E-1
1.540939620E-1,-7.319226861E-2,1.320075989E-1,-2.023502588E-1,2.524455220E-1
1.590067750E-1,-1.583202183E-2,9.673786163E-2,-1.862082481E-1,2.104337864E-1
1.639195870E-1,2.817945182E-2,6.548404694E-2,-1.485087872E-1,1.647334264E-1
1.688324000E-1,7.086068392E-2,1.037883759E-2,-9.914660454E-2,1.223070153E-1
1.737452120E-1,8.922202885E-2,-1.952838898E-2,-6.817543507E-2,1.139728843E-1
1.786579730E-1,4.018685222E-2,-2.530670166E-2,-5.686175823E-2,7.408557072E-2
1.835707850E-1,2.762039006E-2,-4.020690918E-2,-1.801013947E-3,4.881316568E-2
1.884835980E-1,-1.440797746E-2,-6.861400604E-2,3.119802475E-2,7.673844140E-2
1.933964100E-1,-6.185169518E-2,-8.701801300E-2,6.617403030E-2,1.256056092E-1
1.983091700E-1,-1.425328702E-1,-6.564712524E-2,4.284620285E-2,1.626682551E-1
2.032219830E-1,-1.977134943E-1,-4.741859436E-2,-1.398789883E-2,2.038009083E-1
2.081347950E-1,-2.235240340E-1,-7.627773285E-2,-4.090702534E-2,2.396970401E-1
2.130476080E-1,-2.394537777E-1,-8.116817474E-2,-7.607507706E-2,2.640337130E-1
2.179604200E-1,-2.226425558E-1,-7.901859283E-2,-3.585278988E-2,2.389541132E-1
2.228731810E-1,-1.809374988E-1,-1.002664566E-1,-2.008759975E-2,2.078346758E-1
2.277859930E-1,-1.568562835E-1,-1.046848297E-1,-4.221010208E-2,1.932472509E-1
2.326988060E-1,-1.567018926E-1,-1.113739014E-1,-5.922985077E-2,2.011661112E-1
2.376116180E-1,-1.119326204E-1,-1.272706985E-1,-1.109745502E-1,2.025884820E-1
2.425243790E-1,-9.817349911E-2,-1.498470306E-1,-1.334705353E-1,2.233977446E-1
2.474371910E-1,-6.548433006E-2,-1.953315735E-1,-9.464490414E-2,2.267162962E-1
2.523500040E-1,-3.300881386E-2,-2.398757935E-1,-7.058227062E-2,2.522138676E-1
2.572628160E-1,2.015390992E-2,-2.788839340E-1,-3.511142731E-2,2.818070990E-1
2.621756290E-1,1.615531743E-2,-3.125286102E-1,-2.586257458E-2,3.140127374E-1
2.670883890E-1,7.314422727E-2,-3.409471512E-1,-4.935026169E-2,3.521796221E-1
2.720012020E-1,9.135598689E-2,-4.134349823E-1,-1.097103357E-1,4.373908535E-1
2.769140140E-1,1.440613121E-1,-4.353389740E-1,-1.198642254E-1,4.739632016E-1
2.818268270E-1,2.234428078E-1,-4.357995987E-1,-1.445033550E-1,5.106164884E-1
2.867396390E-1,2.866425812E-1,-3.964824677E-1,-1.904392242E-1,5.250042044E-1
2.916524000E-1,2.753346860E-1,-3.720960617E-1,-2.291781902E-1,5.165145800E-1
2.965652120E-1,3.104827404E-1,-3.294544220E-1,-2.116539478E-1,4.997370728E-1
3.014780250E-1,3.114174008E-1,-3.041019440E-1,-1.811422110E-1,4.714565626E-1
3.063908370E-1,3.635991812E-1,-2.886686325E-1,-1.258939505E-1,4.810231083E-1
3.113035980E-1,4.358083010E-1,-2.665443420E-1,-3.667557240E-2,5.121717086E-1
3.162164100E-1,4.880029559E-1,-2.284832001E-1,3.229010105E-2,5.398093259E-1
3.211292230E-1,5.206675529E-1,-1.747751236E-1,8.396422863E-2,5.555997086E-1
3.260420350E-1,5.553418398E-1,-1.479873657E-1,1.092188358E-1,5.850073278E-1
3.309548480E-1,6.178631783E-1,-1.405839920E-1,1.132606268E-1,6.436977050E-1
3.358676080E-1,7.055062652E-1,-1.639814377E-1,4.929792881E-2,7.259884902E-1
3.407804200E-1,7.495818734E-1,-1.917819977E-1,1.256489754E-2,7.738289192E-1
3.456932330E-1,8.474099040E-1,-2.427453995E-1,-1.165354252E-2,8.815694411E-1
3.506060450E-1,9.439126849E-1,-2.222986221E-1,-5.893397331E-2,9.715251141E-1
3.555188580E-1,1.053265452E0,-2.234449387E-1,-1.383877993E-1,1.085562958E0
3.604316180E-1,1.208239913E0,-2.010831833E-1,-2.588958740E-1,1.251920608E0
3.653444310E-1,1.415271282E0,-1.838579178E-1,-3.373297453E-1,1.466488286E0
3.702572430E-1,1.668680549E0,-1.056585312E-1,-4.238811731E-1,1.724915577E0
3.751700560E-1,1.965236783E0,6.722450256E-3,-5.397776365E-1,2.038028631E0
3.800828680E-1,2.277914047E0,2.118377686E-1,-6.423127651E-1,2.376201451E0
3.849956290E-1,2.615522146E0,3.409910202E-1,-7.320795655E-1,2.737365789E0
3.899084410E-1,3.019926071E0,4.237346649E-1,-7.389330268E-1,3.137758206E0
3.948212540E-1,3.299180746E0,4.443178177E-1,-6.738544703E-1,3.396482263E0
3.997340660E-1,3.509618044E0,4.036331177E-1,-5.661649704E-1,3.577831925E0
4.046468270E-1,3.636379957E0,3.803672791E-1,-4.396109581E-1,3.682552953E0
4.095596390E-1,3.742933989E0,3.245725632E-1,-2.985988855E-1,3.768827866E0
4.144724520E-1,3.854072809E0,2.790794373E-1,-2.161076069E-1,3.870202197E0
4.193852640E-1,3.944729328E0,2.554826736E-1,-1.889631748E-1,3.957507795E0
4.242980770E-1,3.966251850E0,2.227592468E-1,-1.789739132E-1,3.976532042E0
4.292108370E-1,4.009802341E0,2.518634796E-1,-1.931203604E-1,4.022343285E0
4.341236500E-1,4.120131969E0,2.687234879E-1,-2.548868656E-1,4.136745952E0
4.390364620E-1,4.237280846E0,3.112993240E-1,-2.857283354E-1,4.258297420E0
4.439492750E-1,4.325561047E0,3.674564362E-1,-3.073713779E-1,4.352008705E0
4.488620870E-1,4.397137642E0,3.660774231E-1,-2.561383247E-1,4.419778158E0
4.537748480E-1,4.518557072E0,3.504066467E-1,-1.684410572E-1,4.535252498E0
4.586876600E-1,4.582671165E0,3.229780197E-1,-2.587866783E-2,4.594111396E0
4.636004730E-1,4.580346584E0,2.839183807E-1,2.278600931E-1,4.594791040E0
4.685132850E-1,4.488064289E0,2.617082596E-1,4.762114286E-1,4.520839480E0
4.734260980E-1,4.308639050E0,1.921682358E-1,6.846466064E-1,4.366925700E0
4.783389100E-1,4.033236504E0,9.695339203E-2,8.382997513E-1,4.120575582E0
4.832516700E-1,3.747941494E0,-4.277610779E-2,9.507482052E-1,3.866887300E0
4.881644830E-1,3.445537567E0,-1.343812943E-1,9.950414896E-1,3.588857064E0
4.930772950E-1,3.116182804E0,-2.139797211E-1,9.867856503E-1,3.275687486E0
4.979901080E-1,2.832871914E0,-3.148031235E-1,9.124152660E-1,2.992785643E0
5.029029200E-1,2.532655239E0,-3.725357056E-1,7.249537706E-1,2.660579520E0
5.078156810E-1,2.243352413E0,-4.513473511E-1,4.342224598E-1,2.329140104E0
5.127284930E-1,1.933163643E0,-5.033960342E-1,1.447057724E-1,2.002865197E0
5.176413060E-1,1.698628068E0,-5.547447205E-1,-1.351372004E-1,1.792021507E0
5.225541180E-1,1.564316392E0,-6.075210571E-1,-4.442732334E-1,1.735956887E0
5.274668790E-1,1.486091971E0,-6.472482681E-1,-7.503475547E-1,1.786174997E0
5.323796910E-1,1.465634942E0,-7.188529968E-1,-9.955182076E-1,1.912038681E0
5.372925040E-1,1.583098412E0,-7.649850845E-1,-1.150711060E0,2.101318325E0
5.422053160E-1,1.757233500E0,-8.332729340E-1,-1.241386294E0,2.307217651E0
5.471181290E-1,1.967233181E0,-8.690710068E-1,-1.242546439E0,2.483789938E0
5.520309410E-1,2.265922070E0,-8.751983643E-1,-1.091144562E0,2.662887804E0
5.569437020E-1,2.606123447E0,-8.402833939E-1,-7.788685560E-1,2.846856483E0
5.618565140E-1,2.836744070E0,-8.076467514E-1,-4.559252262E-1,2.984506325E0
5.667693270E-1,2.948007107E0,-7.775630951E-1,-1.475403309E-1,3.052395521E0
5.716821390E-1,2.970570326E0,-7.906789780E-1,1.760647297E-1,3.079035579E0
5.765949520E-1,2.932275772E0,-8.303222656E-1,4.469665289E-1,3.080171318E0
5.815077120E-1,2.822363853E0,-8.395690918E-1,7.067852020E-1,3.028227089E0
5.864205250E-1,2.549054384E0,-9.137048721E-1,8.967329264E-1,2.852483968E0
5.913333370E-1,2.201193333E0,-9.904851913E-1,1.013101220E0,2.617763756E0
5.962461500E-1,1.773899555E0,-9.985952377E-1,1.054157615E0,2.292413653E0
6.011589620E-1,1.333268642E0,-9.953851700E-1,1.020391226E0,1.951818425E0
6.060717230E-1,9.423259497E-1,-9.712152481E-1,9.477882385E-1,1.652131895E0
6.109845350E-1,7.040842772E-1,-9.402656555E-1,8.719303608E-1,1.462906944E0
6.158973480E-1,5.001887083E-1,-9.261045456E-1,8.136545420E-1,1.330372913E0
6.208101600E-1,3.034995794E-1,-8.784885406E-1,8.147765398E-1,1.236007654E0
6.257229730E-1,8.488619328E-2,-8.283357620E-1,8.408554792E-1,1.183378104E0
6.306357850E-1,-9.158241749E-2,-8.183259964E-1,8.986235857E-1,1.218839253E0
6.355485450E-1,-1.833494902E-1,-8.505487442E-1,9.760744572E-1,1.307582329E0
6.404613580E-1,-3.211281300E-1,-9.367036819E-1,1.120953560E0,1.495685110E0
6.453741700E-1,-5.561139584E-1,-1.029068947E0,1.269028187E0,1.725884750E0
6.502869830E-1,-8.608629704E-1,-1.056514740E0,1.311310530E0,1.891254545E0
6.551997950E-1,-1.262792349E0,-1.076734543E0,1.393866301E0,2.167225197E0
6.601125560E-1,-1.723219275E0,-1.094587326E0,1.502501726E0,2.534781553E0
6.650253680E-1,-2.161095381E0,-1.110126495E0,1.580344915E0,2.898310565E0
6.699381810E-1,-2.560516596E0,-1.085267067E0,1.622903109E0,3.219916823E0
6.748509930E-1,-2.972319365E0,-1.051054955E0,1.637387395E0,3.552525356E0
6.797638060E-1,-3.397109270E0,-1.028725624E0,1.575990319E0,3.883603132E0
6.846766180E-1,-3.742653370E0,-1.048835754E0,1.481150150E0,4.159485119E0
6.895893790E-1,-4.004779816E0,-1.120424271E0,1.323563814E0,4.364107364E0
6.945021910E-1,-4.219367027E0,-1.157508850E0,1.183514476E0,4.532503874E0
6.994150040E-1,-4.400654793E0,-1.110467911E0,1.107967257E0,4.671883242E0
7.043278160E-1,-4.429484367E0,-9.895315170E-1,1.048824906E0,4.658276298E0
7.092406290E-1,-4.384705067E0,-8.737440109E-1,9.819597006E-1,4.577478779E0
7.141533890E-1,-4.344798565E0,-7.750301361E-1,1.052473187E0,4.537140740E0
7.190662020E-1,-4.309282303E0,-7.052631378E-1,1.254984736E0,4.543379441E0
7.239790140E-1,-4.282515049E0,-5.716657639E-1,1.482117534E0,4.567648112E0
7.288918270E-1,-4.316505432E0,-4.271516800E-1,1.741764903E0,4.674229635E0
7.338046390E-1,-4.425166607E0,-2.552795410E-1,1.987144709E0,4.857572566E0
7.387174520E-1,-4.634269714E0,-1.276788712E-1,2.193203926E0,5.128635407E0
7.436302120E-1,-4.867398739E0,-9.642410278E-2,2.346880198E0,5.404508743E0
7.485430250E-1,-5.050994873E0,-1.133432388E-1,2.422906399E0,5.603201881E0
7.534558370E-1,-5.211907387E0,-1.115102768E-1,2.421962261E0,5.748244458E0
7.583686500E-1,-5.298319340E0,-1.028881073E-1,2.396836758E0,5.816149949E0
7.632814620E-1,-5.401479244E0,5.364418030E-3,2.282963037E0,5.864122017E0
7.681942230E-1,-5.533412933E0,8.670616150E-2,2.075599194E0,5.910523552E0
7.731070350E-1,-5.636907101E0,1.866703033E-1,1.803075433E0,5.921203297E0
7.780198480E-1,-5.754717827E0,2.623958588E-1,1.550888181E0,5.965809501E0
7.829326600E-1,-5.832096100E0,3.260259628E-1,1.339906573E0,5.992911435E0
7.878454730E-1,-5.852445126E0,4.418544769E-1,1.134016633E0,5.977653641E0
7.927582850E-1,-5.832808495E0,5.406131744E-1,9.924869537E-1,5.941291770E0
7.976710450E-1,-5.875986576E0,7.152395248E-1,9.790741205E-1,5.999780992E0
8.025838580E-1,-5.867592812E0,9.296741486E-1,9.618749619E-1,6.018151117E0
8.074966700E-1,-5.795750141E0,1.119419098E0,9.218506813E-1,5.974414406E0
8.124094830E-1,-5.776640415E0,1.308279991E0,9.544405937E-1,5.999343953E0
8.173222950E-1,-5.768720150E0,1.446123123E0,1.092876911E0,6.046799501E0
8.222350560E-1,-5.711644173E0,1.637721062E0,1.213291168E0,6.064411339E0
8.271478680E-1,-5.740564346E0,1.837327957E0,1.263925076E0,6.158519273E0
8.320606810E-1,-5.744949818E0,2.023329735E0,1.333621740E0,6.235130999E0
8.369734930E-1,-5.712702274E0,2.248084068E0,1.320123196E0,6.279456545E0
8.418863060E-1,-5.707909107E0,2.487572670E0,1.245178699E0,6.349701895E0
8.467991180E-1,-5.842088699E0,2.708473206E0,1.189815760E0,6.548395912E0
8.517118790E-1,-5.964700222E0,2.982382774E0,1.199018955E0,6.775684630E0
8.566246910E-1,-6.021463871E0,3.361457825E0,1.200937271E0,6.999976870E0
8.615375040E-1,-6.010693550E0,3.723885536E0,1.173872471E0,7.167547490E0
8.664503160E-1,-6.064233780E0,4.169964790E0,1.158010721E0,7.450136007E0
8.713631290E-1,-6.182837009E0,4.680410385E0,1.267346382E0,7.857472985E0
8.762759410E-1,-6.351089478E0,5.300216675E0,1.503882408E0,8.407752176E0
8.811887020E-1,-6.527527809E0,5.985873222E0,1.765497923E0,9.030851590E0
8.861015140E-1,-6.630114555E0,6.589237213E0,1.998618603E0,9.558814905E0
8.910143270E-1,-6.803619385E0,7.081913948E0,2.309816360E0,1.008850799E1
8.959271390E-1,-6.951876163E0,7.464181900E0,2.674269915E0,1.054487142E1
9.008399520E-1,-7.066858768E0,7.700630188E0,2.997943163E0,1.087326360E1
9.057527640E-1,-6.992360592E0,7.827479362E0,3.184644699E0,1.096834088E1
9.106655250E-1,-6.772432327E0,7.818976402E0,3.276259184E0,1.085062698E1
9.155783370E-1,-6.444748402E0,7.704216003E0,3.245222807E0,1.055562396E1
9.204911500E-1,-6.036685467E0,7.581318855E0,3.011231422E0,1.014817627E1
9.254039620E-1,-5.605989456E0,7.536032677E0,2.670236349E0,9.764684759E0
9.303167750E-1,-5.157359123E0,7.539491653E0,2.245703459E0,9.406671651E0
9.352295870E-1,-4.688440323E0,7.546515465E0,1.803114414E0,9.065461373E0
