"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.361916669E-3,-8.325499535E-1,-1.453746450E-1,-1.492044543E0,1.714779907E0
1.832491667E-2,-1.624622557E-1,1.960103631E-2,-1.121259150E0,1.133137355E0
2.828891667E-2,2.547916546E-1,5.611105084E-2,-2.649415074E-1,3.718349629E-1
3.825191667E-2,2.574852476E-1,-9.571307302E-3,3.308880866E-2,2.597790059E-1
4.821591667E-2,-7.896971717E-2,-1.824652880E-1,-1.317605728E-1,2.385176013E-1
5.817891668E-2,-2.405381528E-1,-2.332337379E-1,-1.477894720E-1,3.661943576E-1
6.814291667E-2,-1.978635650E-1,-2.465332299E-1,-2.688951753E-2,3.172564735E-1
7.810591668E-2,-2.261948597E-1,-2.892927486E-1,8.548461176E-2,3.770438009E-1
8.806991667E-2,-2.812864120E-1,-3.033488703E-1,9.268545784E-2,4.239494979E-1
9.803291668E-2,-2.441026886E-1,-2.295839059E-1,-4.250925779E-4,3.351045705E-1
1.079969167E-1,-9.896383256E-2,-8.576812863E-2,7.410103306E-3,1.311675329E-1
1.179599167E-1,8.704040967E-2,1.147808433E-2,1.629764452E-1,1.851191536E-1
1.279239167E-1,1.655392067E-1,5.568128049E-2,3.238842916E-1,3.679737332E-1
1.378869167E-1,1.995034532E-1,1.107369089E-1,1.981043241E-1,3.021748071E-1
1.478509167E-1,8.946630981E-2,7.951453149E-2,9.337309040E-2,1.518068356E-1
1.578139167E-1,1.535606738E-2,8.256911695E-2,6.925091386E-2,1.088538330E-1
1.677779167E-1,2.140113819E-2,7.115418255E-2,4.047157623E-2,8.461013470E-2
1.777409167E-1,3.302945942E-2,4.697068334E-2,8.871110536E-2,1.056733197E-1
1.877049167E-1,7.797389980E-2,6.937779844E-2,1.381013665E-1,1.731045794E-1
1.976679167E-1,1.047088316E-1,9.419279695E-2,1.149100667E-1,1.817705857E-1
2.076319167E-1,2.497912985E-1,1.703907877E-1,1.191627467E-1,3.250053439E-1
2.175949167E-1,4.275730034E-1,2.554063797E-1,2.249991041E-1,5.465122952E-1
2.275589167E-1,5.452904280E-1,2.071633422E-1,4.484826100E-1,7.357954557E-1
2.375219167E-1,4.509176099E-1,1.156380451E-1,4.165818825E-1,6.246913743E-1
2.474859167E-1,4.930399282E-1,1.398531193E-1,2.297043586E-1,5.616149553E-1
2.574489167E-1,6.683306095E-1,1.647938329E-1,2.409451190E-1,7.292992262E-1
2.674129167E-1,9.108868557E-1,2.242261022E-1,3.884048080E-1,1.015308083E0
2.773759167E-1,1.097148741E0,2.485095888E-1,3.820763665E-1,1.188055018E0
2.873399167E-1,1.061580055E0,2.415601730E-1,2.773323420E-1,1.123484205E0
2.973029167E-1,1.115043560E0,2.895611358E-1,1.832997588E-1,1.166519007E0
3.072669167E-1,1.480808387E0,3.314728081E-1,3.049955193E-1,1.547801657E0
3.172299167E-1,1.879572269E0,3.598312193E-1,5.705490109E-1,1.996946818E0
3.271939167E-1,2.171142069E0,3.781312501E-1,4.774426266E-1,2.254948467E0
3.371569167E-1,2.400275740E0,4.118825483E-1,3.000831272E-1,2.453776832E0
3.471209167E-1,2.539938678E0,3.827873880E-1,2.195991274E-1,2.577991166E0
3.570839167E-1,2.726686175E0,3.490308273E-1,6.986487150E-2,2.749822015E0
3.670479167E-1,2.874397952E0,3.461768013E-1,-1.536186343E-1,2.899241392E0
3.770109167E-1,2.921223332E0,2.874403507E-1,-1.766700395E-1,2.940642789E0
3.869749167E-1,2.947793080E0,2.102851707E-1,-1.522299937E-1,2.959202234E0
3.969379167E-1,2.917089643E0,1.920816189E-1,-9.619429886E-2,2.924989004E0
4.069019167E-1,2.892084317E0,7.318141222E-2,-1.094372191E-2,2.893030761E0
4.168649167E-1,2.838115686E0,-3.248186767E-2,-2.983666040E-2,2.838458375E0
4.268289167E-1,2.995306969E0,-7.083141625E-2,3.581178389E-2,2.996358359E0
4.367919167E-1,3.169877347E0,2.310293376E-2,2.305082776E-1,3.178331355E0
4.467559167E-1,3.620337485E0,2.285641515E-1,3.791013032E-1,3.647300766E0
4.567189167E-1,3.709284160E0,3.518602949E-1,3.711362261E-1,3.744374013E0
4.666829167E-1,3.695486193E0,5.128247863E-1,2.068316589E-1,3.736627731E0
4.766459167E-1,3.600369244E0,6.156825721E-1,1.030524250E-1,3.654085867E0
4.866099167E-1,3.460858186E0,5.418883717E-1,2.782175374E-1,3.514055690E0
4.965739167E-1,3.314834208E0,4.668200630E-1,3.813307735E-1,3.369192775E0
5.065369167E-1,3.215341203E0,4.264643347E-1,4.825310198E-1,3.279196100E0
5.164999167E-1,3.074998379E0,2.978735375E-1,4.868344244E-1,3.127515217E0
5.264639167E-1,2.748732224E0,1.424305719E-1,4.573102245E-1,2.790151958E0
5.364279167E-1,2.582421039E0,9.003016412E-2,6.525744098E-1,2.665118611E0
5.463909167E-1,2.621415243E0,-2.401509941E-2,6.180788342E-1,2.693402318E0
5.563549167E-1,2.342178536E0,-1.141470051E-1,3.902642226E-1,2.377211811E0
5.663179167E-1,2.005773017E0,-2.375507373E-1,6.834308247E-1,2.132283621E0
5.762819167E-1,1.727610589E0,-4.472383225E-1,9.396721137E-1,2.016840139E0
5.862449167E-1,1.517067556E0,-4.587257624E-1,9.294762506E-1,1.837348469E0
5.962089167E-1,1.380621025E0,-5.386624628E-1,1.039594597E0,1.810256498E0
6.061719167E-1,1.215371255E0,-5.975825161E-1,1.079190114E0,1.731728459E0
6.161359167E-1,1.043653003E0,-6.284061134E-1,1.123378254E0,1.657131418E0
6.260989167E-1,7.725822254E-1,-6.584654796E-1,1.208028833E0,1.577908028E0
6.360629167E-1,5.468634751E-1,-7.166756809E-1,1.070214638E0,1.399300920E0
6.460259167E-1,2.785432821E-1,-8.101235425E-1,7.281320574E-1,1.124305478E0
6.559899167E-1,-8.082993574E-2,-1.012398612E0,7.079732698E-1,1.238026890E0
6.659529167E-1,-3.373802866E-1,-1.189121935E0,5.403873184E-1,1.349019973E0
6.759169167E-1,-4.846452999E-1,-1.100052468E0,4.181401654E-1,1.272728446E0
6.858799167E-1,-4.794968265E-1,-1.053865896E0,6.622760370E-1,1.333851597E0
6.958439167E-1,-7.082499893E-1,-9.815902179E-1,5.749642434E-1,1.340045255E0
7.058069167E-1,-1.216004509E0,-7.556742704E-1,7.072908998E-2,1.433427073E0
7.157709167E-1,-1.639447879E0,-6.920080322E-1,2.071778141E-2,1.779633022E0
7.257339167E-1,-2.092542188E0,-7.077797270E-1,4.604249632E-1,2.256474263E0
7.356979167E-1,-2.916449080E0,-7.049777412E-1,7.566927823E-1,3.094390541E0
7.456609167E-1,-3.564814079E0,-8.132442015E-1,1.338890762E0,3.893827683E0
7.556249167E-1,-4.161518051E0,-9.515349448E-1,1.669713360E0,4.583840524E0
7.655879167E-1,-4.704252807E0,-7.258400220E-1,1.391844317E0,4.959240750E0
7.755519167E-1,-4.745580343E0,-2.032392758E-1,1.253231392E0,4.912476760E0
7.855149167E-1,-4.456527038E0,3.046083605E-1,1.437229820E0,4.692445956E0
7.954789167E-1,-4.326639036E0,5.722284043E-1,1.682162667E0,4.677277192E0
8.054419167E-1,-4.472238506E0,5.713004512E-1,1.847880360E0,4.872572553E0
8.154059167E-1,-4.239354140E0,6.521493173E-1,2.029538732E0,4.745150126E0
8.253689167E-1,-3.848151146E0,7.717184454E-1,2.042779752E0,4.424563902E0
8.353329167E-1,-3.559111875E0,7.403206515E-1,1.990941846E0,4.144780023E0
8.452959167E-1,-3.434595125E0,5.272410965E-1,1.936187934E0,3.977844965E0
8.552599167E-1,-3.391337424E0,3.559609473E-1,1.494882782E0,3.723244855E0
8.652229167E-1,-3.262439940E0,2.470483696E-1,1.086912678E0,3.447597196E0
8.751865833E-1,-3.009953952E0,1.172226405E-1,9.423214140E-1,3.156189726E0
8.851495833E-1,-2.635850264E0,1.714508879E-1,7.215341324E-1,2.738195305E0
8.951135833E-1,-2.351811531E0,2.315666968E-1,2.649735940E-1,2.377993191E0
9.050775833E-1,-2.191548852E0,1.567398781E-1,1.196895808E-1,2.200404362E0
9.150405833E-1,-1.905267127E0,7.275982797E-2,3.420124874E-1,1.937087855E0
9.250045833E-1,-1.643402205E0,5.889081717E-2,3.146890334E-1,1.674296307E0
9.349675833E-1,-1.441475191E0,-3.694855571E-3,3.414037923E-1,1.481357798E0
