"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-7.803332992E-4,-1.493743744E0,9.977801056E0,-3.791615295E-1
9.229666670E-3,-2.897973633E-1,9.681267700E0,1.029858398E-1
1.923866669E-2,5.084925842E-1,9.369765472E0,6.271957397E-1
2.924866666E-2,1.183289337E0,9.150321808E0,1.498084717E0
3.925866669E-2,1.830094299E0,9.253756714E0,2.572700043E0
4.926866665E-2,2.195933533E0,9.366472321E0,3.373983765E0
5.927866668E-2,2.078876953E0,9.271419983E0,4.014950867E0
6.928866671E-2,2.082020416E0,9.413175201E0,3.837120667E0
7.929866668E-2,1.767823792E0,9.431287537E0,3.183280334E0
8.930866671E-2,1.342109070E0,9.204958191E0,2.903961182E0
9.931866667E-2,1.035845947E0,9.253457336E0,2.910098419E0
1.093286667E-1,6.911128235E-1,9.238338776E0,2.838547211E0
1.193386667E-1,3.089575195E-1,9.288933563E0,3.122057648E0
1.293486667E-1,-1.862127686E-1,9.436077576E0,3.060685272E0
1.393586667E-1,-8.478369141E-1,9.533075867E0,2.627336426E0
1.493686667E-1,-1.350791016E0,9.646090851E0,2.399659882E0
1.593786667E-1,-1.621727600E0,9.709259491E0,2.233954468E0
1.693886667E-1,-1.460961914E0,9.767937469E0,2.258802795E0
1.793976667E-1,-9.635462952E-1,9.903854828E0,2.465672607E0
1.894076667E-1,-4.586462402E-1,9.903854828E0,2.639610901E0
1.994176667E-1,-8.322692871E-2,9.811646576E0,2.735561371E0
2.094276667E-1,1.377136230E-1,9.716145172E0,2.741698608E0
2.194376667E-1,8.861572266E-2,9.716444550E0,2.535577240E0
2.294476667E-1,-1.842668152E-1,9.664352875E0,2.111359406E0
2.394576667E-1,-4.285588074E-1,9.631720734E0,1.757794647E0
2.494672917E-1,-6.274951172E-1,9.595496063E0,1.556313629E0
2.594772917E-1,-6.917115784E-1,9.543853455E0,1.484463043E0
2.694872917E-1,-6.839277649E-1,9.666598206E0,1.613345032E0
2.794972917E-1,-7.499404907E-1,9.725874939E0,1.711540833E0
2.895072917E-1,-6.156697083E-1,9.901160431E0,1.556613007E0
2.995172917E-1,-7.075785828E-1,9.653126221E0,1.434167633E0
3.095272917E-1,-8.141569519E-1,9.577832794E0,1.333876190E0
3.195372917E-1,-6.491999817E-1,9.823771362E0,1.269360352E0
3.295462917E-1,-6.113287354E-1,9.793833618E0,1.196911011E0
3.395562917E-1,-6.201603699E-1,9.691147156E0,1.312919769E0
3.495662917E-1,-6.770420837E-1,9.620045013E0,1.585802307E0
3.595762917E-1,-6.197113037E-1,9.542206879E0,1.806892548E0
3.695862917E-1,-4.537065125E-1,9.563013611E0,2.070943451E0
3.795962917E-1,-2.433938599E-1,9.563312988E0,2.207908630E0
3.896062917E-1,-1.104702759E-1,9.538165283E0,2.282453613E0
3.996162917E-1,-4.041595459E-3,9.524393921E0,2.375859375E0
4.096262917E-1,7.589218140E-2,9.457932129E0,2.355352020E0
4.196362917E-1,1.082249451E-1,9.456135864E0,2.250869293E0
4.296462917E-1,1.933978271E-1,9.457333374E0,1.943558350E0
4.396562917E-1,2.537223816E-1,9.577683105E0,1.750160522E0
4.496662917E-1,1.230441284E-1,9.616452484E0,2.022743683E0
4.596762917E-1,-1.820214844E-1,9.487271118E0,2.226020966E0
4.696862917E-1,-3.531156921E-1,9.450896759E0,2.476450195E0
4.796952917E-1,-3.110531616E-1,9.481433258E0,2.577190704E0
4.897052917E-1,-1.695973206E-1,9.586215363E0,2.478096771E0
4.997152917E-1,-4.116439819E-2,9.697434082E0,2.659369812E0
5.097252917E-1,2.544708252E-2,9.644743652E0,2.417622528E0
5.197352917E-1,1.255888367E-1,9.654623108E0,2.077679443E0
5.297452917E-1,2.389031982E-1,9.751920776E0,1.933379517E0
5.397552917E-1,1.511856079E-1,9.793983307E0,1.959874420E0
5.497652917E-1,9.969268799E-2,9.753717041E0,2.023641815E0
5.597752917E-1,5.239105225E-2,9.775571594E0,2.179318085E0
5.697852917E-1,6.242019653E-2,9.763446808E0,2.361189880E0
5.797952917E-1,3.191363525E-1,9.844129028E0,2.350711670E0
5.898052917E-1,7.090754700E-1,9.964478760E0,2.556833038E0
5.998152917E-1,9.654922485E-1,9.977801056E0,2.341880035E0
6.098252917E-1,1.129251709E0,1.000175125E1,2.009870453E0
6.198352917E-1,1.308878174E0,1.004995102E1,1.720971222E0
6.298442917E-1,1.597927094E0,1.004920258E1,1.690434723E0
6.398542917E-1,1.867965546E0,9.978848877E0,2.043700104E0
6.498642917E-1,2.196232910E0,9.867181091E0,2.608775024E0
6.598742917E-1,2.536325684E0,9.877509613E0,3.183280334E0
6.698842917E-1,2.701132965E0,9.775421906E0,3.848497009E0
6.798942917E-1,2.605631561E0,9.545799408E0,3.995641022E0
6.899042917E-1,2.647694092E0,9.359137573E0,3.678750000E0
6.999142917E-1,3.056344299E0,9.353449402E0,3.244053955E0
7.099242917E-1,3.456761627E0,9.345665588E0,2.948867798E0
7.199342917E-1,3.773053894E0,9.467362518E0,3.048410797E0
7.299442917E-1,3.999832306E0,9.595795441E0,3.329526215E0
7.399542917E-1,3.912563782E0,9.677375793E0,3.707639923E0
7.499642917E-1,3.498973846E0,9.783355408E0,3.926634521E0
7.599742917E-1,3.079546051E0,9.944570160E0,3.872297516E0
7.699842917E-1,2.477048950E0,1.001118164E1,3.376528473E0
7.799942917E-1,1.788181458E0,9.986932068E0,2.779420166E0
7.900032917E-1,1.411714325E0,9.994416504E0,2.140848083E0
8.000132917E-1,1.223256226E0,9.768985291E0,1.436862030E0
8.100232917E-1,1.647623749E0,9.547296295E0,1.076561279E0
8.200332917E-1,2.652035065E0,9.566755829E0,1.544338531E0
8.300432917E-1,3.232976990E0,9.538464661E0,2.679428101E0
8.400532917E-1,3.436553650E0,9.220076752E0,3.805386658E0
8.500632917E-1,3.626957703E0,9.298513641E0,4.357588348E0
8.600732917E-1,3.075953522E0,9.438472595E0,4.926106110E0
8.700832917E-1,2.319277039E0,9.269474030E0,4.824168091E0
8.800932917E-1,1.933828583E0,9.404493256E0,3.996090088E0
8.901032917E-1,1.471290436E0,9.443711700E0,2.897823944E0
9.001132917E-1,7.746391296E-1,9.383087769E0,1.885179749E0
9.101232917E-1,-1.589694214E-1,9.340276794E0,1.528321838E0
9.201332917E-1,-9.062155151E-1,9.399553528E0,1.792073364E0
9.301432917E-1,-1.178050232E0,9.698182526E0,2.111958160E0
9.401532917E-1,-1.299298096E0,9.728569336E0,2.121388550E0
9.501622917E-1,-1.151854706E0,9.898915100E0,2.031575317E0
9.601722917E-1,-1.115330658E0,1.015203873E1,2.230960693E0
9.701822917E-1,-1.682201843E0,1.029858398E1,3.007845154E0
9.801922917E-1,-2.586621094E0,1.035606445E1,3.825894012E0
9.902022917E-1,-3.442840576E0,1.023361908E1,4.209097137E0
1.000212292E0,-3.866010590E0,1.057176590E1,4.177662506E0
1.010222292E0,-4.530329132E0,1.013422577E1,4.092489624E0
1.020232292E0,-5.076992340E0,9.272018738E0,3.577111359E0
1.030242292E0,-4.358037415E0,9.838889923E0,2.844983826E0
1.040252292E0,-4.187541962E0,9.476493530E0,1.847907257E0
1.050262292E0,-4.053720245E0,9.065448303E0,9.440867615E-1
1.060272292E0,-3.808530121E0,8.960366821E0,6.312373352E-1
1.070282292E0,-3.510649567E0,8.928932190E0,3.121009827E-1
1.080292292E0,-3.208577728E0,8.831035767E0,-1.152603149E-2
1.090302292E0,-3.067720642E0,8.812324677E0,5.703140259E-2
1.100312292E0,-3.160228271E0,8.853788452E0,4.320016479E-1
1.110322292E0,-3.543281708E0,8.934470673E0,1.058748322E0
1.120331292E0,-3.780089264E0,9.022487640E0,1.595232697E0
1.130341292E0,-3.452869720E0,9.200766907E0,1.669029236E0
1.140351292E0,-2.802322540E0,9.334289246E0,1.438957672E0
1.150361292E0,-2.054627380E0,9.475445709E0,1.408121796E0
1.160371292E0,-1.479074249E0,9.807305603E0,1.760788422E0
1.170381292E0,-1.288969574E0,1.011641281E1,2.193987579E0
1.180391292E0,-1.460063782E0,1.038839722E1,2.605332184E0
1.190401292E0,-1.923649750E0,1.070858139E1,2.864143982E0
1.200411292E0,-2.194286957E0,1.100346817E1,2.464026031E0
1.210421292E0,-2.509681091E0,1.119057907E1,1.859882355E0
1.220431292E0,-2.633323975E0,1.142454254E1,1.398691406E0
1.230441292E0,-2.383493500E0,1.163380737E1,8.611592102E-1
1.240451292E0,-1.972148895E0,1.192150909E1,6.960525513E-1
1.250461167E0,-1.608554993E0,1.220412140E1,9.848020935E-1
1.260471167E0,-1.361867981E0,1.242461288E1,1.190474396E0
1.270481167E0,-1.462758179E0,1.262744110E1,1.389410706E0
1.280491167E0,-1.660197601E0,1.281949173E1,1.338516541E0
1.290500167E0,-1.770368500E0,1.326466599E1,1.027164001E0
1.300510167E0,-2.485132141E0,1.283595749E1,1.101110229E0
1.310520167E0,-3.020868073E0,1.247565674E1,9.517208862E-1
1.320530167E0,-2.616558838E0,1.287757095E1,9.945318604E-1
1.330540167E0,-2.144590302E0,1.267803589E1,1.158740387E0
1.340550167E0,-1.432970123E0,1.275213181E1,1.425785065E0
1.350560167E0,-9.713301086E-1,1.288640259E1,1.830543365E0
1.360570167E0,-9.930349731E-1,1.298849030E1,2.172432404E0
1.370580167E0,-1.607058105E0,1.286170395E1,2.293231201E0
1.380590167E0,-2.364333344E0,1.274389893E1,1.940414886E0
1.390600167E0,-2.585423584E0,1.281410294E1,1.299298096E0
1.400610167E0,-2.483036499E0,1.281215698E1,5.998027039E-1
1.410620167E0,-2.460134125E0,1.264255966E1,5.183720398E-1
1.420630167E0,-2.628683624E0,1.238075409E1,8.598120117E-1
1.430640167E0,-2.313289490E0,1.216041229E1,1.004111938E0
1.440650167E0,-1.458566895E0,1.204919357E1,1.257385254E0
1.450660167E0,-7.797285461E-1,1.184112625E1,1.305135956E0
1.460669167E0,-3.468287659E-1,1.165162033E1,1.406325531E0
1.470679167E0,-1.652563477E-1,1.168500092E1,1.643881531E0
1.480689167E0,-3.710783386E-1,1.190324707E1,2.207908630E0
1.490699167E0,-9.839039612E-1,1.152393585E1,2.126927032E0
1.500709167E0,-1.650168457E0,1.103160965E1,1.417552185E0
1.510719167E0,-1.796713715E0,1.093311447E1,8.689430237E-1
1.520729167E0,-9.499246216E-1,1.076875626E1,2.083666992E-1
1.530739167E0,4.577481079E-1,1.093625793E1,-8.053253174E-2
1.540749167E0,1.483864288E0,1.082279388E1,2.466870117E-1
1.550759167E0,1.992356873E0,1.069316345E1,5.646258545E-1
1.560769167E0,1.647623749E0,1.047641418E1,1.096170502E0
1.570779167E0,8.452922058E-1,1.026460464E1,1.336720276E0
1.580789167E0,7.978408813E-2,1.005219635E1,1.110540619E0
1.590799167E0,-4.851411438E-1,9.919123077E0,5.028044128E-1
1.600809167E0,-6.631210327E-1,9.849817200E0,-5.906716919E-1
1.610819167E0,-8.327183533E-1,9.790989532E0,-8.869056702E-1
1.620829167E0,-6.800358582E-1,9.573042755E0,-1.329984283E0
1.630838167E0,-1.682501221E-1,9.223220215E0,-1.941762085E0
1.640848167E0,2.146536255E-1,8.973988495E0,-1.957778778E0
1.650858167E0,2.140548706E-1,8.645721130E0,-1.571132813E0
1.660868167E0,3.092568970E-1,8.374185791E0,-1.522034912E0
1.670878167E0,8.652008057E-1,8.165968781E0,-1.711391144E0
1.680888167E0,1.058598633E0,8.036038971E0,-1.143172760E0
1.690898167E0,2.972817993E-1,7.725883942E0,2.850073242E-1
1.700908167E0,4.096980286E-1,8.031847687E0,8.406518555E-1
1.710918167E0,1.064286804E-1,6.988367615E0,-1.179547119E-1
1.720928167E0,-3.487747192E-2,6.354136505E0,-1.088536377E0
1.730938167E0,5.364843750E-1,6.495592346E0,-1.280886383E0
1.740948167E0,1.089434509E0,6.322252808E0,-1.426982574E0
1.750958167E0,1.480271759E0,6.011798401E0,-1.153800659E0
1.760968167E0,1.649719391E0,5.546715546E0,-5.149291992E-1
1.770978167E0,1.425036621E0,5.028343506E0,2.661465454E-1
1.780988167E0,1.044078827E0,4.703968048E0,1.113235016E0
1.790998167E0,7.421566772E-1,4.526586914E0,1.118773499E0
1.801008167E0,9.651928711E-1,4.528383179E0,4.125421143E-1
1.811017167E0,1.799258423E0,4.973707123E0,-1.017284546E0
1.821027167E0,2.706970825E0,5.105433197E0,-2.310295715E0
1.831037167E0,3.185375977E0,5.056484985E0,-2.681374054E0
