"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.706666805E-4,-5.603733659E-1,-7.715756297E-1,4.377744794E-1
1.048066671E-2,-7.634622455E-1,-7.486592531E-1,4.783940911E-1
2.048966667E-2,-8.605664372E-1,-6.982573271E-1,4.412275553E-1
3.049966670E-2,-8.331853747E-1,-5.624932051E-1,3.407946527E-1
4.050966667E-2,-6.885057092E-1,-3.657577932E-1,1.697456837E-1
5.051966669E-2,-4.593297839E-1,-9.308771789E-2,1.900774427E-3
6.052966666E-2,-2.136894166E-1,2.489500493E-1,-1.550531536E-1
7.053966669E-2,-3.037366457E-2,5.601303577E-1,-2.958417237E-1
8.054966666E-2,8.447702229E-2,7.884935141E-1,-3.936569691E-1
9.055966669E-2,1.745896041E-1,8.969457150E-1,-4.600639939E-1
1.005696667E-1,2.274986207E-1,8.984687924E-1,-5.146225691E-1
1.105796667E-1,3.084965348E-1,7.519314885E-1,-5.470635295E-1
1.205896667E-1,3.652146757E-1,5.948334932E-1,-5.595500469E-1
1.305996667E-1,3.569895029E-1,3.387632966E-1,-5.213897228E-1
1.406096667E-1,2.861281335E-1,3.426891193E-2,-4.374985695E-1
1.506196667E-1,1.867240667E-1,-2.442276329E-1,-3.086455166E-1
1.606296667E-1,8.567840606E-2,-4.244442880E-1,-1.666255295E-1
1.706396667E-1,1.418693364E-2,-4.541862607E-1,-5.726476759E-2
1.806486667E-1,-3.230938688E-3,-4.069409966E-1,-5.096104927E-3
1.906586667E-1,3.262396157E-2,-3.196958303E-1,-1.436834037E-2
2.006686667E-1,1.056707427E-1,-1.863774359E-1,-5.223556235E-2
2.106786667E-1,1.896298379E-1,-2.278072760E-2,-1.089507937E-1
2.206886667E-1,2.526434362E-1,1.004426628E-1,-1.415838301E-1
2.306986667E-1,2.657233179E-1,1.635805517E-1,-1.497668624E-1
2.407086667E-1,2.443770021E-1,1.692418903E-1,-1.360760778E-1
2.507182917E-1,2.021328509E-1,1.205443218E-1,-1.106960103E-1
2.607282917E-1,1.569193006E-1,4.403969273E-2,-9.029725939E-2
2.707382917E-1,1.348667145E-1,-2.555958182E-2,-6.625574082E-2
2.807482917E-1,1.228726357E-1,-7.563287020E-2,-5.224245787E-2
2.907582917E-1,8.016008139E-2,-8.688971400E-2,-5.020795017E-2
3.007682917E-1,4.132320359E-2,-7.700619102E-2,-9.854404256E-3
3.107782917E-1,-2.064745408E-3,-3.360609338E-2,2.245019376E-2
3.207882917E-1,-6.204206496E-2,1.595507003E-2,4.153333977E-2
3.307972917E-1,-1.284008622E-1,2.186205238E-2,5.612327158E-2
3.408072917E-1,-1.797524691E-1,-9.225028567E-3,7.217627764E-2
3.508172917E-1,-2.116294503E-1,-8.851010352E-2,8.961709589E-2
3.608272917E-1,-2.205486447E-1,-1.500741392E-1,1.003331244E-1
3.708372917E-1,-2.062991261E-1,-1.608566195E-1,1.008803546E-1
3.808472917E-1,-1.716386229E-1,-1.348961294E-1,9.073424339E-2
3.908572917E-1,-1.412167847E-1,-7.082952559E-2,7.466140389E-2
4.008672917E-1,-9.456592798E-2,-5.085403100E-3,5.335452035E-2
4.108772917E-1,-6.153476238E-2,4.466615990E-2,3.254750371E-2
4.208872917E-1,-6.929707527E-2,1.048477441E-1,3.694549203E-3
4.308972917E-1,-9.228414297E-2,6.976022571E-2,-2.755998634E-2
4.409072917E-1,-1.257488877E-1,1.437074039E-2,-6.858251989E-2
4.509172917E-1,-1.390982121E-1,-6.536981463E-2,-8.498387784E-2
4.609272917E-1,-1.280074716E-1,-1.112800464E-1,-6.328497082E-2
4.709372917E-1,-1.066162214E-1,-1.121364012E-1,-2.910486236E-2
4.809462917E-1,-7.542421669E-2,-7.794380933E-2,-3.161146538E-3
4.909562917E-1,-6.779886317E-3,-1.906103455E-2,2.243689820E-2
5.009662917E-1,3.567223251E-2,1.053027287E-1,2.950040251E-2
5.109762917E-1,5.599559098E-2,1.761328876E-1,3.685167432E-2
5.209862917E-1,3.793695942E-2,1.828035712E-1,2.519022487E-2
5.309962917E-1,9.228358977E-3,1.635610163E-1,1.453912817E-2
5.410062917E-1,-1.748394594E-2,1.214702874E-1,2.585490048E-2
5.510162917E-1,-4.252240807E-2,5.536246300E-2,4.113011807E-2
5.610262917E-1,-7.086616755E-2,3.350003809E-2,6.186415628E-2
5.710362917E-1,-4.579494894E-2,-3.982518241E-2,1.032643616E-1
5.810462917E-1,-3.728456795E-3,-4.728522897E-2,1.261952370E-1
5.910562917E-1,3.048117459E-2,-3.280088305E-2,1.393801868E-1
6.010662917E-1,2.810909785E-2,-3.224055469E-2,1.508935541E-1
6.110762917E-1,-2.030475810E-2,-8.383375406E-2,1.717481315E-1
6.210862917E-1,-1.098242551E-1,-1.738805473E-1,1.808987558E-1
6.310952917E-1,-2.004590631E-1,-2.626157999E-1,1.776740998E-1
6.411052917E-1,-2.699390948E-1,-3.065121472E-1,1.435177326E-1
6.511152917E-1,-2.444896549E-1,-3.605372906E-1,9.972909838E-2
6.611252917E-1,-1.372588128E-1,-3.908645809E-1,4.606774077E-2
6.711352917E-1,-8.736542426E-3,-3.703518808E-1,-3.225384746E-3
6.811452917E-1,9.286811948E-2,-3.799539208E-1,-1.504076459E-2
6.911552917E-1,1.400399208E-1,-4.297169447E-1,-2.296842262E-2
7.011652917E-1,1.375988722E-1,-5.115976930E-1,-6.397284567E-2
7.111752917E-1,1.083559990E-1,-5.518387556E-1,-1.295139790E-1
7.211852917E-1,1.164152548E-1,-5.778852701E-1,-2.348654270E-1
7.311952917E-1,1.758735329E-1,-6.125461459E-1,-3.742235601E-1
